,aljazeera,alternet,americanconservative,ap,atlantic,bbc,breitbart,businessinsider,buzzfeed,cbs,cnn,commondreams,conversation,counterpunch,dailycaller,dailykos,dailymail,dailywire,economist,eff,federalist,fox,guardian,huffingtonpost,infowars,intercept,lewrockwell,mintpress,nationalreview,nbc,npr,nypost,nytimes,pjmedia,rawstory,redstate,rt,slate,spectator,techcrunch,time,usatoday,verge,vice,vox,wapo,wsj
cnn,77.27607358410594,75.5171342007236,71.9312710029568,64.44184131650286,64.44184131650286,71.9312710029568,75.5171342007236,77.27607358410594,70.87358027422594,71.58103057303732,,73.46353800734452,70.89216203062045,69.01820349685264,69.01091144451502,66.32268351477325,71.58103057303732,71.84575877182785,74.14698340366095,72.47843748116468,57.261124839324665,70.87358027422594,66.72668439246937,70.03663176363924,70.75785949483449,77.27607358410594,70.95875922262564,70.80311747115391,75.5171342007236,78.59349076391848,71.9312710029568,64.44184131650286,76.08677071410108,67.46650462141544,75.26068237012093,68.71958664946273,68.80528302316816,76.27084547620436,66.38691194013475,79.28087978583424,67.16453070948187,65.61889748966763,70.50252713428291,66.11471767121415,70.40117913352275,57.57495748157962,69.3840050544035
commondreams,70.95875922262564,78.59349076391848,64.44184131650286,73.47365410365987,73.47365410365987,64.44184131650286,78.59349076391848,70.95875922262564,66.72668439246937,71.84575877182785,73.46353800734452,,67.98506236287241,65.4387083170267,72.13538464670603,64.23651556074346,74.80040240608632,68.08442619508116,73.46353800734452,70.89216203062045,69.01820349685264,69.01091144451502,66.32268351477325,71.58103057303732,71.84575877182785,74.14698340366095,72.47843748116468,57.261124839324665,70.87358027422594,66.72668439246937,70.03663176363924,70.75785949483449,77.558876527862,71.55944886416677,69.45671790406438,76.57788015345625,78.33388665979236,73.3969478892529,62.960191599937865,76.08677071410108,66.22242803653143,76.30373086408179,67.55925242775956,68.3634559277235,75.63358820863948,65.14554234240768,77.57763722139835
conversation,70.80311747115391,71.9312710029568,73.47365410365987,67.16261641491916,67.16261641491916,73.47365410365987,71.9312710029568,70.80311747115391,70.03663176363924,74.14698340366095,70.89216203062045,67.98506236287241,,74.29597779483257,68.06598304586716,67.77425884347164,70.45845373130541,70.02121279598772,70.55430645799505,73.16778353102069,67.98506236287241,65.4387083170267,72.13538464670603,64.23651556074346,74.80040240608632,68.08442619508116,73.46353800734452,70.89216203062045,69.01820349685264,69.01091144451502,66.32268351477325,71.58103057303732,71.15686957948056,72.96140338018351,71.99079567118969,57.78741604169546,72.2320845109884,65.4586570551021,69.40203613476241,69.66073120171427,77.79040277893223,69.37171416141037,69.12868496029631,76.8054488741494,76.01627884345685,75.23483085177351,56.591767249361325
counterpunch,75.5171342007236,64.44184131650286,67.16261641491916,75.02713011196327,75.02713011196327,67.16261641491916,64.44184131650286,75.5171342007236,70.75785949483449,72.47843748116468,69.01820349685264,65.4387083170267,74.29597779483257,,69.93087862467729,78.88457592336019,70.01464807361995,69.90283473841092,72.91371041117715,64.90133903836886,71.66210675583771,71.60265311153363,74.29597779483257,68.06598304586716,67.77425884347164,70.45845373130541,70.02121279598772,70.55430645799505,73.16778353102069,67.98506236287241,65.4387083170267,72.13538464670603,63.6925286807497,73.73952319149197,70.33073829219857,73.19575781698533,70.44071212763812,69.05307872244772,72.31590404133131,68.98142475877395,75.37256580492802,70.19666722214,70.88151133250531,71.09474147474984,55.42704817668414,69.19595778474572,66.7064981982884
dailycaller,78.59349076391848,73.47365410365987,75.02713011196327,67.08695622243798,67.08695622243798,75.02713011196327,73.47365410365987,78.59349076391848,77.27607358410594,57.261124839324665,69.01091144451502,72.13538464670603,68.06598304586716,69.93087862467729,,74.2760455975062,67.56837044829976,64.12803950906705,74.43897045718826,71.47272612886132,74.4082390529211,75.0459659652472,69.82894075316541,69.62299566018197,69.93087862467729,78.88457592336019,70.01464807361995,69.90283473841092,72.91371041117715,64.90133903836886,71.66210675583771,71.60265311153363,76.37786122655112,68.03284252496329,67.4829679122442,73.88413774511268,70.12773154294962,71.65992800555978,74.0607187216317,67.94614179318322,67.80868140167983,69.65126600848133,61.654746261196244,72.72628650007395,71.067280866064,75.68265136073524,71.83333679463503
dailykos,71.9312710029568,67.16261641491916,67.08695622243798,69.02753567622564,69.02753567622564,67.08695622243798,67.16261641491916,71.9312710029568,70.95875922262564,70.87358027422594,66.32268351477325,64.23651556074346,67.77425884347164,78.88457592336019,74.2760455975062,,71.8410325269627,73.19292466864302,70.00934867190993,78.32165052800926,65.80319793066188,63.496960950389145,66.40359168880407,66.16003112486146,64.62436518906944,66.32404242448537,74.2760455975062,67.56837044829976,64.12803950906705,74.43897045718826,71.47272612886132,74.4082390529211,73.42880096754442,72.26278753164894,68.93139372013681,69.2612683249532,79.46679932605598,68.98147528490631,71.09941876666232,73.78849752179934,67.4786521203703,70.90622638420572,73.02991671380066,74.5607736285935,66.58786641242554,66.42088701332092,75.41391721816926
dailymail,64.44184131650286,75.02713011196327,69.02753567622564,76.74048900971972,76.74048900971972,69.02753567622564,75.02713011196327,64.44184131650286,70.80311747115391,66.72668439246937,71.58103057303732,74.80040240608632,70.45845373130541,70.01464807361995,67.56837044829976,71.8410325269627,,71.32935900603421,67.76376725604136,74.18530145369333,70.06704335520695,71.05341399589645,65.62068114254028,71.69254071797636,74.21657057891701,72.52859376686332,69.40464810137547,68.40592373922722,71.8410325269627,73.19292466864302,70.00934867190993,78.32165052800926,64.3658430728286,64.6034925661759,66.99694288504458,66.68536805081145,63.089130159823135,68.14503444765194,74.66204697910834,66.77550275866544,62.06228161876519,73.92812966867483,70.21019546138041,73.8032220979177,71.04342780038291,75.6218393579432,69.81302136342633
dailywire,73.47365410365987,67.08695622243798,76.74048900971972,66.61072659927612,66.61072659927612,76.74048900971972,67.08695622243798,73.47365410365987,75.5171342007236,70.03663176363924,71.84575877182785,68.08442619508116,70.02121279598772,69.90283473841092,64.12803950906705,73.19292466864302,71.32935900603421,,74.82533352011855,64.4850653614983,68.36021608932963,66.23449127325178,69.66309828075288,74.57867143385326,67.85311769537847,68.44514090291398,72.99141725739764,65.42966275036477,71.07529178409473,68.92725301724958,71.32935900603421,67.76376725604136,73.9092453993704,69.87041099259382,71.14060578160324,65.62187129851208,71.87550285767803,76.20821344025033,73.65377422310043,69.99455398067876,66.52888797526786,72.96705284241278,71.89961670192588,69.28243133289453,79.40434504108723,64.34102864002031,63.203513492052906
economist,67.16261641491916,69.02753567622564,66.61072659927612,78.17019738306583,78.17019738306583,66.61072659927612,69.02753567622564,67.16261641491916,78.59349076391848,70.75785949483449,74.14698340366095,73.46353800734452,70.55430645799505,72.91371041117715,74.43897045718826,70.00934867190993,67.76376725604136,74.82533352011855,,68.73295225950228,66.95850910366144,73.35585687377966,69.35877850656112,75.75067067719726,73.81708703786327,76.80797995134499,73.38462536055827,72.91631649671737,65.5119464951136,73.9494940391495,76.26835482086372,67.760088552659,77.81985719587689,64.84869092866533,67.98455389682138,68.03289975730132,71.26844343083879,77.48669547775134,67.05345913999705,67.9007472422246,70.79884119298868,63.63715593585406,68.88990394574155,67.03853141339057,67.15640057695596,73.64499674390666,73.74497438649064
eff,75.02713011196327,76.74048900971972,78.17019738306583,68.14447323592404,68.14447323592404,78.17019738306583,76.74048900971972,75.02713011196327,71.9312710029568,77.27607358410594,72.47843748116468,70.89216203062045,73.16778353102069,64.90133903836886,71.47272612886132,78.32165052800926,74.18530145369333,64.4850653614983,68.73295225950228,,74.17619841350378,69.666912743403,70.28968727854993,74.60575805607817,74.046780326715,75.75003913348202,76.52139465388534,78.2717240940543,72.29807565927841,70.96200018162718,73.78285068536535,64.40465724438104,74.47776937318946,76.87140309168083,68.67332661549166,66.94727386590944,71.6179697981149,71.63230195750627,75.72009338565736,73.51472995383821,75.71893434157039,73.60946598648943,72.72206590334937,63.54284097459877,76.7136541444412,75.44606317009763,71.29414691149859
