,aljazeera,alternet,ap,atlantic,breitbart,buzzfeed,cbs,cnn,commondreams,conversation,counterpunch,dailycaller,dailykos,dailymail,economist,federalist,fox,guardian,huffingtonpost,intercept,motherjones,nbc,npr,nypost,nytimes,pjmedia,rawstory,redstate,usatoday,vox,wapo,wsj
counterpunch,11.532562594670797,17.0,21.0,6.4031242374328485,6.4031242374328485,21.0,17.0,11.532562594670797,20.808652046684813,35.81898937714463,,9.848857801796104,9.848857801796104,13.601470508735444,33.391615714128,30.643106892089126,35.81898937714463,8.0,4.0,8.94427190999916,21.656407827707714,20.808652046684813,6.708203932499369,9.1104335791443,6.0,11.532562594670797,16.186414056238647,4.47213595499958,17.0,7.681145747868608,21.0,6.4031242374328485
dailycaller,16.186414056238647,7.681145747868608,6.4031242374328485,27.27636339397171,27.27636339397171,6.4031242374328485,7.681145747868608,16.186414056238647,6.708203932499369,8.0,9.848857801796104,,13.601470508735444,36.4828726939094,4.47213595499958,12.165525060596439,4.47213595499958,27.386127875258307,9.848857801796104,9.848857801796104,13.601470508735444,33.391615714128,30.643106892089126,35.81898937714463,8.0,4.0,8.94427190999916,21.656407827707714,20.808652046684813,6.708203932499369,9.1104335791443,6.0
dailykos,4.47213595499958,21.0,27.27636339397171,16.0312195418814,16.0312195418814,27.27636339397171,21.0,4.47213595499958,9.1104335791443,4.0,9.848857801796104,13.601470508735444,,23.706539182259394,13.601470508735444,12.165525060596439,33.49626844888845,13.601470508735444,19.4164878389476,17.0,13.601470508735444,36.4828726939094,4.47213595499958,12.165525060596439,4.47213595499958,27.386127875258307,9.848857801796104,9.848857801796104,13.601470508735444,33.391615714128,30.643106892089126,35.81898937714463
dailymail,17.0,6.4031242374328485,16.0312195418814,12.206555615733702,12.206555615733702,16.0312195418814,6.4031242374328485,17.0,6.0,8.94427190999916,13.601470508735444,36.4828726939094,23.706539182259394,,8.94427190999916,12.649110640673518,6.708203932499369,20.248456731316587,17.0,34.77067730142742,20.248456731316587,25.495097567963924,23.706539182259394,13.601470508735444,12.165525060596439,33.49626844888845,13.601470508735444,19.4164878389476,17.0,13.601470508735444,36.4828726939094,4.47213595499958
economist,7.681145747868608,27.27636339397171,12.206555615733702,24.1039415863879,24.1039415863879,12.206555615733702,27.27636339397171,7.681145747868608,11.532562594670797,21.656407827707714,33.391615714128,4.47213595499958,13.601470508735444,8.94427190999916,,13.45362404707371,9.219544457292887,16.401219466856727,17.4928556845359,12.36931687685298,12.806248474865697,1.0,27.76688675382964,8.94427190999916,8.94427190999916,12.649110640673518,6.708203932499369,20.248456731316587,17.0,34.77067730142742,20.248456731316587,25.495097567963924
federalist,21.0,16.0312195418814,24.1039415863879,12.041594578792296,12.041594578792296,24.1039415863879,16.0312195418814,21.0,16.186414056238647,20.808652046684813,30.643106892089126,12.165525060596439,12.165525060596439,12.649110640673518,13.45362404707371,,20.42057785666214,14.491376746189438,14.491376746189438,16.30950643030009,6.082762530298219,22.47220505424423,18.110770276274835,17.804493814764857,6.0,25.573423705088842,13.45362404707371,9.219544457292887,16.401219466856727,17.4928556845359,12.36931687685298,12.806248474865697
fox,6.4031242374328485,12.206555615733702,12.041594578792296,7.211102550927978,7.211102550927978,12.041594578792296,12.206555615733702,6.4031242374328485,4.47213595499958,6.708203932499369,35.81898937714463,4.47213595499958,33.49626844888845,6.708203932499369,9.219544457292887,20.42057785666214,,5.916079783099616,25.317977802344327,9.486832980505138,11.74734012447073,13.038404810405298,14.866068747318506,13.341664064126334,23.194827009486403,18.681541692269406,16.792855623746664,13.601470508735444,20.42057785666214,14.491376746189438,14.491376746189438,16.30950643030009
guardian,27.27636339397171,24.1039415863879,7.211102550927978,13.076696830622021,13.076696830622021,7.211102550927978,24.1039415863879,27.27636339397171,17.0,9.1104335791443,8.0,27.386127875258307,13.601470508735444,20.248456731316587,16.401219466856727,14.491376746189438,5.916079783099616,,29.0,17.549928774784245,11.40175425099138,25.475478405713993,22.825424421026653,28.583211855912904,9.055385138137417,10.344080432788601,5.830951894845301,15.811388300841896,10.723805294763608,12.24744871391589,5.916079783099616,25.317977802344327
huffingtonpost,16.0312195418814,12.041594578792296,13.076696830622021,16.15549442140351,16.15549442140351,13.076696830622021,12.041594578792296,16.0312195418814,7.681145747868608,6.0,4.0,9.848857801796104,19.4164878389476,17.0,17.4928556845359,14.491376746189438,25.317977802344327,29.0,,13.152946437965905,14.212670403551895,1.0,27.0,10.295630140987,9.486832980505138,13.92838827718412,17.05872210923198,16.15549442140351,15.748015748023622,18.138357147217054,26.019223662515376,24.657656011875904
intercept,12.206555615733702,7.211102550927978,16.15549442140351,11.832159566199232,11.832159566199232,16.15549442140351,7.211102550927978,12.206555615733702,21.0,11.532562594670797,8.94427190999916,9.848857801796104,17.0,34.77067730142742,12.36931687685298,16.30950643030009,9.486832980505138,17.549928774784245,13.152946437965905,,31.144823004794873,25.0,16.1245154965971,15.264337522473747,32.66496594212215,12.649110640673518,5.656854249492381,12.0,17.11724276862369,6.48074069840786,13.638181696985855,5.0
motherjones,24.1039415863879,13.076696830622021,11.832159566199232,13.152946437965905,13.152946437965905,11.832159566199232,13.076696830622021,24.1039415863879,6.4031242374328485,16.186414056238647,21.656407827707714,13.601470508735444,13.601470508735444,20.248456731316587,12.806248474865697,6.082762530298219,11.74734012447073,11.40175425099138,14.212670403551895,31.144823004794873,,4.242640687119285,13.416407864998739,9.0,13.92838827718412,3.605551275463989,28.089143810376278,11.045361017187261,13.038404810405298,15.033296378372908,14.7648230602334,25.942243542145693
nbc,12.041594578792296,16.15549442140351,13.152946437965905,20.024984394500787,20.024984394500787,13.152946437965905,16.15549442140351,12.041594578792296,27.27636339397171,4.47213595499958,20.808652046684813,33.391615714128,36.4828726939094,25.495097567963924,1.0,22.47220505424423,13.038404810405298,25.475478405713993,1.0,25.0,4.242640687119285,,13.0,18.973665961010276,33.13608305156178,30.14962686336267,30.528675044947494,18.681541692269406,24.55605831561735,26.076809620810597,19.79898987322333,28.42534080710379
npr,7.211102550927978,11.832159566199232,20.024984394500787,18.867962264113206,18.867962264113206,20.024984394500787,11.832159566199232,7.211102550927978,16.0312195418814,17.0,6.708203932499369,30.643106892089126,4.47213595499958,23.706539182259394,27.76688675382964,18.110770276274835,14.866068747318506,22.825424421026653,27.0,16.1245154965971,13.416407864998739,13.0,,19.72308292331602,22.0,25.317977802344327,41.048751503547585,35.94440151122286,29.546573405388315,25.768197453450252,24.779023386727733,26.248809496813376
nypost,13.076696830622021,13.152946437965905,18.867962264113206,24.919871588754223,24.919871588754223,18.867962264113206,13.152946437965905,13.076696830622021,12.206555615733702,7.681145747868608,9.1104335791443,35.81898937714463,12.165525060596439,13.601470508735444,8.94427190999916,17.804493814764857,13.341664064126334,28.583211855912904,10.295630140987,15.264337522473747,9.0,18.973665961010276,19.72308292331602,,12.083045973594572,18.439088914585774,11.704699910719626,11.045361017187261,15.165750888103101,14.45683229480096,22.494443758403985,10.04987562112089
nytimes,16.15549442140351,20.024984394500787,24.919871588754223,12.328828005937952,12.328828005937952,24.919871588754223,20.024984394500787,16.15549442140351,24.1039415863879,21.0,6.0,8.0,4.47213595499958,12.165525060596439,8.94427190999916,6.0,23.194827009486403,9.055385138137417,9.486832980505138,32.66496594212215,13.92838827718412,33.13608305156178,22.0,12.083045973594572,,24.186773244895647,10.295630140987,13.416407864998739,11.704699910719626,9.055385138137417,23.45207879911715,17.0
pjmedia,11.832159566199232,18.867962264113206,12.328828005937952,18.384776310850235,18.384776310850235,12.328828005937952,18.867962264113206,11.832159566199232,12.041594578792296,6.4031242374328485,11.532562594670797,4.0,27.386127875258307,33.49626844888845,12.649110640673518,25.573423705088842,18.681541692269406,10.344080432788601,13.92838827718412,12.649110640673518,3.605551275463989,30.14962686336267,25.317977802344327,18.439088914585774,24.186773244895647,,13.038404810405298,5.916079783099616,14.0,13.341664064126334,10.723805294763608,14.071247279470288
rawstory,13.152946437965905,24.919871588754223,18.384776310850235,21.470910553583888,21.470910553583888,18.384776310850235,24.919871588754223,13.152946437965905,7.211102550927978,27.27636339397171,16.186414056238647,8.94427190999916,9.848857801796104,13.601470508735444,6.708203932499369,13.45362404707371,16.792855623746664,5.830951894845301,17.05872210923198,5.656854249492381,28.089143810376278,30.528675044947494,41.048751503547585,11.704699910719626,10.295630140987,13.038404810405298,,31.400636936215164,25.729360660537214,9.848857801796104,24.535688292770594,20.09975124224178
redstate,20.024984394500787,12.328828005937952,21.470910553583888,19.924858845171276,19.924858845171276,21.470910553583888,12.328828005937952,20.024984394500787,13.076696830622021,16.0312195418814,4.47213595499958,21.656407827707714,9.848857801796104,19.4164878389476,20.248456731316587,9.219544457292887,13.601470508735444,15.811388300841896,16.15549442140351,12.0,11.045361017187261,18.681541692269406,35.94440151122286,11.045361017187261,13.416407864998739,5.916079783099616,31.400636936215164,,15.652475842498529,25.15949125081825,15.0,2.8284271247461903
usatoday,18.867962264113206,18.384776310850235,19.924858845171276,25.079872407968907,25.079872407968907,19.924858845171276,18.384776310850235,18.867962264113206,16.15549442140351,12.206555615733702,17.0,20.808652046684813,13.601470508735444,17.0,17.0,16.401219466856727,20.42057785666214,10.723805294763608,15.748015748023622,17.11724276862369,13.038404810405298,24.55605831561735,29.546573405388315,15.165750888103101,11.704699910719626,14.0,25.729360660537214,15.652475842498529,,18.027756377319946,9.219544457292887,9.433981132056603
vox,24.919871588754223,21.470910553583888,25.079872407968907,18.110770276274835,18.110770276274835,25.079872407968907,21.470910553583888,24.919871588754223,11.832159566199232,24.1039415863879,7.681145747868608,6.708203932499369,33.391615714128,13.601470508735444,34.77067730142742,17.4928556845359,14.491376746189438,12.24744871391589,18.138357147217054,6.48074069840786,15.033296378372908,26.076809620810597,25.768197453450252,14.45683229480096,9.055385138137417,13.341664064126334,9.848857801796104,25.15949125081825,18.027756377319946,,38.79432948254165,24.49489742783178
wapo,12.328828005937952,19.924858845171276,18.110770276274835,22.67156809750927,22.67156809750927,18.110770276274835,19.924858845171276,12.328828005937952,13.152946437965905,12.041594578792296,21.0,9.1104335791443,30.643106892089126,36.4828726939094,20.248456731316587,12.36931687685298,14.491376746189438,5.916079783099616,26.019223662515376,13.638181696985855,14.7648230602334,19.79898987322333,24.779023386727733,22.494443758403985,23.45207879911715,10.723805294763608,24.535688292770594,15.0,9.219544457292887,38.79432948254165,,11.532562594670797
wsj,18.384776310850235,25.079872407968907,22.67156809750927,17.72004514666935,17.72004514666935,22.67156809750927,25.079872407968907,18.384776310850235,20.024984394500787,7.211102550927978,6.4031242374328485,6.0,35.81898937714463,4.47213595499958,25.495097567963924,12.806248474865697,16.30950643030009,25.317977802344327,24.657656011875904,5.0,25.942243542145693,28.42534080710379,26.248809496813376,10.04987562112089,17.0,14.071247279470288,20.09975124224178,2.8284271247461903,9.433981132056603,24.49489742783178,11.532562594670797,
