,aljazeera,alternet,americanconservative,antiwar,ap,atlantic,axios,bbc,breitbart,businessinsider,buzzfeed,canary,cbs,cnbc,cnn,commondreams,consortium,conversation,counterpunch,dailycaller,dailykos,dailymail,economist,fox,globalresearch,guardian,huffingtonpost,infowars,intercept,lewrockwell,mintpress,motherjones,nationalreview,nbc,neweasternoutlook,npr,nypost,nytimes,pbs,pjmedia,rawstory,redstate,reuters,rt,slate,spectator,strategicculture,truthdig,usatoday,vice,vox,wapo,wsj
dailykos,30.380915061926625,1.4142135623730951,24.55605831561735,17.029386365926403,17.029386365926403,24.55605831561735,1.4142135623730951,30.380915061926625,34.597687784012386,12.68857754044952,18.275666882497067,5.0,18.275666882497067,16.278820596099706,5.0990195135927845,20.71231517720798,18.24828759089466,13.0,20.83266665599966,2.0,,14.177446878757825,5.0990195135927845,9.433981132056603,16.278820596099706,6.082762530298219,12.727922061357855,13.076696830622021,19.261360284258224,1.4142135623730951,13.0,8.774964387392123,5.830951894845301,12.569805089976535,25.019992006393608,14.177446878757825,2.0,4.58257569495584,18.027756377319946,3.0,7.211102550927978,16.76305461424021,14.317821063276353,5.830951894845301,8.12403840463596,9.0,1.7320508075688772,19.209372712298546,19.339079605813716,12.36931687685298,15.297058540778355,20.83266665599966,10.295630140987
dailymail,1.4142135623730951,6.4031242374328485,17.029386365926403,22.0,22.0,17.029386365926403,6.4031242374328485,1.4142135623730951,3.1622776601683795,10.099504938362077,15.297058540778355,19.82422760159901,17.69180601295413,16.15549442140351,14.696938456699069,25.337718918639855,0.0,11.74734012447073,10.295630140987,4.58257569495584,14.177446878757825,,22.715633383201094,15.524174696260024,5.830951894845301,10.04987562112089,17.74823934929885,5.385164807134504,12.727922061357855,11.0,18.027756377319946,2.0,6.782329983125268,9.1104335791443,3.605551275463989,1.4142135623730951,8.0,23.706539182259394,14.177446878757825,5.0990195135927845,9.433981132056603,16.278820596099706,6.082762530298219,12.727922061357855,13.076696830622021,19.261360284258224,1.4142135623730951,13.0,8.774964387392123,5.830951894845301,12.569805089976535,25.019992006393608,14.177446878757825
economist,3.0,24.55605831561735,22.0,3.0,3.0,22.0,24.55605831561735,3.0,20.591260281974,5.916079783099616,26.019223662515376,10.04987562112089,23.366642891095847,4.242640687119285,12.84523257866513,23.345235059857504,19.235384061671343,19.44222209522358,16.76305461424021,18.027756377319946,5.0990195135927845,22.715633383201094,,8.06225774829855,15.84297951775486,23.021728866442675,18.027756377319946,19.6468827043885,24.413111231467404,15.165750888103101,19.924858845171276,3.7416573867739413,19.235384061671343,15.329709716755891,2.449489742783178,7.0710678118654755,7.0,4.123105625617661,2.0,6.164414002968976,22.715633383201094,15.524174696260024,5.830951894845301,10.04987562112089,17.74823934929885,5.385164807134504,12.727922061357855,11.0,18.027756377319946,2.0,6.782329983125268,9.1104335791443,3.605551275463989
fox,1.4142135623730951,17.029386365926403,3.0,4.242640687119285,4.242640687119285,3.0,17.029386365926403,1.4142135623730951,6.164414002968976,11.445523142259598,9.0,12.083045973594572,26.19160170741759,15.297058540778355,22.22611077089287,21.047565179849187,18.138357147217054,4.58257569495584,4.0,3.0,9.433981132056603,15.524174696260024,8.06225774829855,,10.0,2.449489742783178,18.867962264113206,20.024984394500787,13.341664064126334,16.15549442140351,21.42428528562855,11.180339887498949,17.4928556845359,3.0,19.313207915827967,10.0,13.379088160259652,15.524174696260024,18.138357147217054,6.782329983125268,13.92838827718412,15.329709716755891,8.06225774829855,15.84297951775486,23.021728866442675,18.027756377319946,19.6468827043885,24.413111231467404,15.165750888103101,19.924858845171276,3.7416573867739413,19.235384061671343,15.329709716755891
globalresearch,6.4031242374328485,22.0,4.242640687119285,15.329709716755891,15.329709716755891,4.242640687119285,22.0,6.4031242374328485,30.380915061926625,0.0,11.704699910719626,20.591260281974,17.291616465790582,6.0,21.6794833886788,22.825424421026653,11.74734012447073,8.12403840463596,18.973665961010276,7.211102550927978,16.278820596099706,5.830951894845301,15.84297951775486,10.0,,24.331050121192877,23.08679276123039,24.758836806279895,26.019223662515376,25.13961017995307,20.615528128088304,17.549928774784245,29.832867780352597,18.110770276274835,13.601470508735444,25.495097567963924,5.0990195135927845,23.08679276123039,5.916079783099616,8.0,10.099504938362077,13.92838827718412,1.0,9.0,10.0,2.449489742783178,18.867962264113206,20.024984394500787,13.341664064126334,16.15549442140351,21.42428528562855,11.180339887498949,17.4928556845359
guardian,24.55605831561735,3.0,15.329709716755891,10.954451150103322,10.954451150103322,15.329709716755891,3.0,24.55605831561735,1.4142135623730951,34.597687784012386,3.1622776601683795,13.0,7.810249675906654,4.123105625617661,14.866068747318506,22.67156809750927,14.730919862656235,24.0,9.0,16.76305461424021,6.082762530298219,10.04987562112089,23.021728866442675,2.449489742783178,24.331050121192877,,6.0,13.638181696985855,15.0,7.14142842854285,17.916472867168917,23.790754506740637,18.24828759089466,20.639767440550294,24.779023386727733,15.811388300841896,21.470910553583888,2.0,21.633307652783937,15.0,24.351591323771842,23.874672772626646,23.0,24.1039415863879,18.681541692269406,24.041630560342615,24.331050121192877,23.08679276123039,24.758836806279895,26.019223662515376,25.13961017995307,20.615528128088304,17.549928774784245
huffingtonpost,17.029386365926403,4.242640687119285,10.954451150103322,6.0,6.0,10.954451150103322,4.242640687119285,17.029386365926403,3.0,3.1622776601683795,12.68857754044952,18.24828759089466,13.92838827718412,18.81488772222678,5.744562646538029,18.138357147217054,19.4164878389476,14.866068747318506,4.58257569495584,14.317821063276353,12.727922061357855,17.74823934929885,18.027756377319946,18.867962264113206,23.08679276123039,6.0,,13.076696830622021,22.22611077089287,20.149441679609886,18.466185312619388,22.47220505424423,26.92582403567252,19.849433241279208,15.066519173319364,11.40175425099138,24.859605789312106,13.638181696985855,7.681145747868608,24.779023386727733,7.0710678118654755,18.466185312619388,26.419689627245813,5.0,3.1622776601683795,13.0,15.066519173319364,18.681541692269406,6.0,13.638181696985855,15.0,7.14142842854285,17.916472867168917
infowars,22.0,15.329709716755891,6.0,18.681541692269406,18.681541692269406,6.0,15.329709716755891,22.0,1.4142135623730951,20.591260281974,10.099504938362077,18.275666882497067,13.341664064126334,13.638181696985855,17.46424919657298,22.9128784747792,10.04987562112089,4.242640687119285,6.708203932499369,5.830951894845301,13.076696830622021,5.385164807134504,19.6468827043885,20.024984394500787,24.758836806279895,13.638181696985855,13.076696830622021,,18.681541692269406,12.68857754044952,21.77154105707724,18.973665961010276,17.916472867168917,21.840329667841555,25.0,17.204650534085253,14.594519519326424,10.0,22.22611077089287,13.2664991614216,6.082762530298219,24.372115213907882,8.12403840463596,17.916472867168917,26.19160170741759,7.874007874011811,22.825424421026653,24.20743687382041,19.0,19.4164878389476,13.076696830622021,22.22611077089287,20.149441679609886
intercept,3.0,10.954451150103322,18.681541692269406,19.4164878389476,19.4164878389476,18.681541692269406,10.954451150103322,3.0,6.4031242374328485,6.164414002968976,5.916079783099616,15.297058540778355,5.0,9.0,3.605551275463989,24.0,16.55294535724685,9.0,20.518284528683193,8.12403840463596,19.261360284258224,12.727922061357855,24.413111231467404,13.341664064126334,26.019223662515376,15.0,22.22611077089287,18.681541692269406,,4.242640687119285,6.0,10.862780491200215,3.3166247903554,5.0,6.164414002968976,2.0,20.149441679609886,16.881943016134134,9.899494936611665,13.152946437965905,18.35755975068582,8.54400374531753,15.297058540778355,7.14142842854285,19.261360284258224,6.164414002968976,3.1622776601683795,25.80697580112788,9.38083151964686,22.38302928559939,23.790754506740637,18.466185312619388,18.681541692269406
lewrockwell,4.242640687119285,6.0,19.4164878389476,15.066519173319364,15.066519173319364,19.4164878389476,6.0,4.242640687119285,24.55605831561735,30.380915061926625,11.445523142259598,26.019223662515376,19.82422760159901,18.275666882497067,8.94427190999916,14.035668847618199,5.196152422706632,17.291616465790582,12.328828005937952,9.0,1.4142135623730951,11.0,15.165750888103101,16.15549442140351,25.13961017995307,7.14142842854285,20.149441679609886,12.68857754044952,4.242640687119285,,5.385164807134504,9.055385138137417,10.954451150103322,13.490737563232042,4.358898943540674,9.0,10.862780491200215,4.898979485566356,15.165750888103101,17.804493814764857,13.341664064126334,14.594519519326424,19.519221295943137,10.63014581273465,15.297058540778355,5.196152422706632,16.822603841260722,10.862780491200215,20.808652046684813,21.470910553583888,9.1104335791443,24.351591323771842,4.242640687119285
mintpress,15.329709716755891,18.681541692269406,15.066519173319364,24.1039415863879,24.1039415863879,15.066519173319364,18.681541692269406,15.329709716755891,17.029386365926403,1.4142135623730951,0.0,9.0,10.04987562112089,17.69180601295413,16.278820596099706,10.770329614269007,19.672315572906,5.0,7.54983443527075,1.7320508075688772,13.0,18.027756377319946,19.924858845171276,21.42428528562855,20.615528128088304,17.916472867168917,18.466185312619388,21.77154105707724,6.0,5.385164807134504,,19.1049731745428,21.118712081942874,14.866068747318506,15.329709716755891,9.0,18.439088914585774,16.30950643030009,14.317821063276353,18.627936010197157,25.553864678361276,17.832554500127006,11.0,8.12403840463596,22.67156809750927,9.486832980505138,5.0,21.2602916254693,7.211102550927978,14.317821063276353,6.0,19.82422760159901,20.615528128088304
motherjones,10.954451150103322,19.4164878389476,24.1039415863879,10.099504938362077,10.099504938362077,24.1039415863879,19.4164878389476,10.954451150103322,22.0,3.0,34.597687784012386,11.704699910719626,12.083045973594572,23.366642891095847,16.15549442140351,5.0990195135927845,8.12403840463596,12.083045973594572,10.0,19.209372712298546,8.774964387392123,2.0,3.7416573867739413,11.180339887498949,17.549928774784245,23.790754506740637,22.47220505424423,18.973665961010276,10.862780491200215,9.055385138137417,19.1049731745428,,23.08679276123039,6.0,11.445523142259598,2.0,4.242640687119285,8.602325267042627,5.0,4.58257569495584,4.0,4.242640687119285,21.540659228538015,16.401219466856727,7.615773105863909,11.357816691600547,18.411952639521967,6.4031242374328485,13.638181696985855,9.0,18.027756377319946,4.0,17.291616465790582
nationalreview,6.0,15.066519173319364,10.099504938362077,15.524174696260024,15.524174696260024,10.099504938362077,15.066519173319364,6.0,3.0,1.4142135623730951,3.1622776601683795,3.1622776601683795,20.591260281974,26.19160170741759,4.242640687119285,14.696938456699069,20.71231517720798,13.0,13.92838827718412,19.339079605813716,5.830951894845301,6.782329983125268,19.235384061671343,17.4928556845359,29.832867780352597,18.24828759089466,26.92582403567252,17.916472867168917,3.3166247903554,10.954451150103322,21.118712081942874,23.08679276123039,,12.083045973594572,24.041630560342615,7.14142842854285,12.649110640673518,1.7320508075688772,3.0,8.54400374531753,6.164414002968976,3.1622776601683795,3.3166247903554,5.0,21.79449471770337,15.297058540778355,7.280109889280518,11.045361017187261,17.08800749063506,6.782329983125268,13.74772708486752,10.099504938362077,19.026297590440446
