,aljazeera,alternet,americanconservative,americanthinker,ap,atlantic,bbc,breitbart,buzzfeed,canary,cbs,cnn,commondreams,conversation,counterpunch,dailycaller,dailykos,dailymail,economist,federalist,fox,guardian,huffingtonpost,independent,infowars,intercept,mintpress,motherjones,nationalreview,nbc,npr,nypost,nytimes,opednews,pjmedia,rawstory,redstate,reuters,rt,slate,spectator,truthdig,usatoday,vice,vox,wapo,wsj
fox,27.09243436828813,13.638181696985855,23.194827009486403,25.079872407968907,25.079872407968907,23.194827009486403,13.638181696985855,27.09243436828813,36.72873534441391,3.0,33.015148038438355,21.400934559032695,18.384776310850235,18.681541692269406,6.0,30.430248109405877,24.535688292770594,6.708203932499369,8.12403840463596,8.06225774829855,,15.811388300841896,11.661903789690601,20.0,12.083045973594572,20.149441679609886,7.615773105863909,7.810249675906654,21.72556098240043,11.40175425099138,10.63014581273465,7.615773105863909,19.672315572906,9.899494936611665,21.047565179849187,11.180339887498949,8.06225774829855,23.08679276123039,8.06225774829855,22.516660498395403,1.0,14.628738838327793,26.248809496813376,7.0,4.123105625617661,23.790754506740637,14.035668847618199
guardian,0.0,6.708203932499369,25.079872407968907,4.0,4.0,25.079872407968907,6.708203932499369,0.0,4.0,20.615528128088304,28.160255680657446,15.066519173319364,7.211102550927978,32.863353450309965,23.021728866442675,27.09243436828813,22.494443758403985,16.673332000533065,18.05547008526779,23.08679276123039,15.811388300841896,,26.49528259898354,4.47213595499958,1.4142135623730951,29.832867780352597,4.0,21.400934559032695,6.0,18.627936010197157,32.341923257592455,0.0,7.280109889280518,10.0,9.848857801796104,20.149441679609886,16.64331697709324,18.384776310850235,15.811388300841896,11.661903789690601,20.0,12.083045973594572,20.149441679609886,7.615773105863909,7.810249675906654,21.72556098240043,11.40175425099138
huffingtonpost,17.46424919657298,23.194827009486403,4.0,18.0,18.0,4.0,23.194827009486403,17.46424919657298,33.13608305156178,23.345235059857504,19.261360284258224,27.09243436828813,19.672315572906,1.4142135623730951,10.198039027185569,14.7648230602334,29.13760456866693,31.25699921617557,9.899494936611665,8.06225774829855,11.661903789690601,26.49528259898354,,35.6931365951495,19.72308292331602,33.18132004607411,29.444863728670914,27.331300737432898,31.76476034853718,34.132096331752024,27.94637722496424,14.89966442575134,21.42428528562855,29.816103031751148,11.40175425099138,7.0,7.0710678118654755,3.0,22.494443758403985,7.0,26.49528259898354,4.47213595499958,1.4142135623730951,29.832867780352597,4.0,21.400934559032695,6.0
independent,13.638181696985855,25.079872407968907,18.0,18.275666882497067,18.275666882497067,18.0,25.079872407968907,13.638181696985855,14.866068747318506,29.832867780352597,7.280109889280518,6.0,33.31666249791537,30.099833886584822,22.869193252058544,28.6705423736629,6.4031242374328485,3.0,15.524174696260024,22.516660498395403,20.0,4.47213595499958,35.6931365951495,,38.41874542459709,31.827660925679098,30.854497241083024,31.591137997862628,28.178005607210743,21.118712081942874,25.729360660537214,18.0,24.535688292770594,20.615528128088304,25.495097567963924,27.964262908219126,29.816103031751148,21.61018278497431,27.748873851023216,25.03996805109783,27.459060435491963,23.769728648009426,35.6931365951495,19.72308292331602,33.18132004607411,29.444863728670914,27.331300737432898
infowars,6.708203932499369,4.0,18.275666882497067,36.6742416417845,36.6742416417845,18.275666882497067,4.0,6.708203932499369,27.09243436828813,6.4031242374328485,31.874754901018456,16.278820596099706,4.0,34.14674215792775,36.742346141747674,37.68288736283355,8.06225774829855,23.853720883753127,31.176914536239792,1.0,12.083045973594572,1.4142135623730951,19.72308292331602,38.41874542459709,,35.22782990761707,33.67491648096547,41.72529209005013,21.77154105707724,41.400483088968905,37.20215047547655,16.0,37.22902093797257,35.07135583350036,32.526911934581186,19.1049731745428,11.661903789690601,37.013511046643494,32.51153641401772,27.964262908219126,20.149441679609886,24.06241883103193,26.19160170741759,26.70205984563738,38.41874542459709,31.827660925679098,30.854497241083024
intercept,23.194827009486403,18.0,36.6742416417845,28.442925306655784,28.442925306655784,36.6742416417845,18.0,23.194827009486403,0.0,36.72873534441391,11.0,18.627936010197157,22.22611077089287,24.041630560342615,4.47213595499958,21.77154105707724,32.202484376209235,13.114877048604,7.0710678118654755,14.628738838327793,20.149441679609886,29.832867780352597,33.18132004607411,31.827660925679098,35.22782990761707,,18.027756377319946,17.146428199482248,38.27531841800928,18.81488772222678,38.27531841800928,17.52141546793523,17.0,35.0,13.076696830622021,12.041594578792296,18.411952639521967,27.202941017470888,39.66106403010388,17.05872210923198,22.58317958127243,21.42428528562855,37.013511046643494,25.612496949731394,31.827660925679098,34.0,35.22782990761707
mintpress,25.079872407968907,18.275666882497067,28.442925306655784,26.720778431774775,26.720778431774775,28.442925306655784,18.275666882497067,25.079872407968907,17.46424919657298,4.0,3.0,32.341923257592455,23.853720883753127,17.349351572897472,30.59411708155671,14.730919862656235,8.06225774829855,25.019992006393608,22.561028345356956,26.248809496813376,7.615773105863909,4.0,29.444863728670914,30.854497241083024,33.67491648096547,18.027756377319946,,9.899494936611665,15.0,14.560219778561036,20.024984394500787,19.79898987322333,15.264337522473747,20.12461179749811,16.15549442140351,15.0,16.15549442140351,22.825424421026653,10.63014581273465,6.782329983125268,17.233687939614086,15.652475842498529,40.90232267243512,22.47220505424423,39.97499218261337,17.05872210923198,20.615528128088304
motherjones,4.0,36.6742416417845,26.720778431774775,8.06225774829855,8.06225774829855,26.720778431774775,36.6742416417845,4.0,13.638181696985855,33.13608305156178,20.615528128088304,33.015148038438355,37.013511046643494,8.48528137423857,4.242640687119285,11.575836902790225,26.248809496813376,23.021728866442675,10.0,7.0,7.810249675906654,21.400934559032695,27.331300737432898,31.591137997862628,41.72529209005013,17.146428199482248,9.899494936611665,,17.0,16.55294535724685,7.0,8.94427190999916,28.231188426986208,16.1245154965971,32.69556544854363,9.848857801796104,9.219544457292887,37.0,11.357816691600547,19.72308292331602,15.652475842498529,22.045407685048602,37.960505792204614,10.63014581273465,23.45207879911715,21.93171219946131,18.466185312619388
nationalreview,18.0,28.442925306655784,8.06225774829855,13.0,13.0,8.06225774829855,28.442925306655784,18.0,6.708203932499369,14.866068747318506,23.345235059857504,28.160255680657446,21.400934559032695,29.832867780352597,20.83266665599966,26.49528259898354,9.219544457292887,26.19160170741759,25.865034312755125,4.123105625617661,21.72556098240043,6.0,31.76476034853718,28.178005607210743,21.77154105707724,38.27531841800928,15.0,17.0,,30.59411708155671,23.194827009486403,30.01666203960727,24.041630560342615,27.65863337187866,35.185224171518364,37.48332962798263,30.886890422961002,33.52610922848042,29.832867780352597,32.526911934581186,30.854497241083024,24.779023386727733,30.0,18.627936010197157,29.223278392404914,30.59411708155671,22.0
nbc,18.275666882497067,26.720778431774775,13.0,13.038404810405298,13.038404810405298,13.0,26.720778431774775,18.275666882497067,23.194827009486403,27.09243436828813,29.832867780352597,19.261360284258224,15.066519173319364,18.384776310850235,7.0710678118654755,4.242640687119285,24.041630560342615,25.96150997149434,6.4031242374328485,23.790754506740637,11.40175425099138,18.627936010197157,34.132096331752024,21.118712081942874,41.400483088968905,18.81488772222678,14.560219778561036,16.55294535724685,30.59411708155671,,19.339079605813716,30.01666203960727,25.079872407968907,31.04834939252005,23.0,27.018512172212592,37.027017163147235,37.013511046643494,35.02855977627399,32.14031735997639,29.0,37.8021163428716,30.28200785945344,24.06241883103193,30.805843601498726,22.22611077089287,35.0
