,aljazeera,alternet,ap,atlantic,axios,bbc,breitbart,businessinsider,buzzfeed,canary,cbs,cnn,commondreams,consortium,conversation,counterpunch,dailycaller,dailymail,dailywire,economist,federalist,fox,guardian,infowars,intercept,lewrockwell,mintpress,nationalreview,nbc,npr,nypost,nytimes,pjmedia,rawstory,redstate,reuters,rt,shadowproof,slate,truthdig,usatoday,veteranstoday,vox,wapo,wsj
federalist,17.029386365926403,16.401219466856727,12.165525060596439,18.439088914585774,18.439088914585774,12.165525060596439,16.401219466856727,17.029386365926403,16.15549442140351,16.401219466856727,13.92838827718412,21.0,7.0710678118654755,20.615528128088304,14.071247279470288,20.83266665599966,13.92838827718412,18.0,12.24744871391589,18.973665961010276,,8.831760866327848,8.48528137423857,5.0990195135927845,12.083045973594572,18.33030277982336,11.045361017187261,16.401219466856727,7.3484692283495345,5.744562646538029,15.811388300841896,14.7648230602334,14.2828568570857,13.038404810405298,11.832159566199232,19.748417658131498,18.973665961010276,13.92838827718412,20.248456731316587,25.92296279363144,17.029386365926403,11.180339887498949,8.831760866327848,15.0,12.165525060596439
fox,19.6468827043885,12.165525060596439,18.439088914585774,17.0,17.0,18.439088914585774,12.165525060596439,19.6468827043885,16.278820596099706,14.035668847618199,16.15549442140351,22.9128784747792,16.06237840420901,11.224972160321824,20.149441679609886,18.867962264113206,17.69180601295413,16.522711641858304,16.792855623746664,13.92838827718412,8.831760866327848,,21.61018278497431,12.041594578792296,13.076696830622021,2.23606797749979,17.233687939614086,22.15851980616034,7.810249675906654,22.22611077089287,12.041594578792296,10.488088481701515,12.0,5.830951894845301,7.0710678118654755,17.320508075688775,12.083045973594572,15.362291495737216,8.831760866327848,8.48528137423857,5.0990195135927845,12.083045973594572,18.33030277982336,11.045361017187261,16.401219466856727
guardian,9.055385138137417,12.165525060596439,17.0,17.4928556845359,17.4928556845359,17.0,12.165525060596439,9.055385138137417,14.45683229480096,16.278820596099706,15.811388300841896,17.204650534085253,17.74823934929885,4.58257569495584,17.204650534085253,19.748417658131498,20.346989949375804,6.6332495807108,6.324555320336759,20.248456731316587,8.48528137423857,21.61018278497431,,18.466185312619388,9.848857801796104,11.357816691600547,9.219544457292887,13.601470508735444,9.848857801796104,16.76305461424021,18.138357147217054,11.74734012447073,9.0,8.602325267042627,7.14142842854285,14.798648586948742,5.385164807134504,13.0,23.895606290697042,9.848857801796104,21.61018278497431,12.041594578792296,13.076696830622021,2.23606797749979,17.233687939614086
infowars,16.401219466856727,18.439088914585774,17.4928556845359,13.416407864998739,13.416407864998739,17.4928556845359,18.439088914585774,16.401219466856727,17.4928556845359,15.231546211727817,12.0,16.15549442140351,17.146428199482248,15.0996688705415,22.47220505424423,16.186414056238647,20.09975124224178,3.0,20.615528128088304,25.92296279363144,5.0990195135927845,12.041594578792296,18.466185312619388,,14.89966442575134,11.661903789690601,12.24744871391589,19.078784028338912,18.384776310850235,12.727922061357855,19.44222209522358,25.019992006393608,15.620499351813308,11.704699910719626,8.717797887081348,14.45683229480096,15.684387141358123,8.54400374531753,13.892443989449804,13.152946437965905,6.4031242374328485,10.63014581273465,18.466185312619388,9.848857801796104,11.357816691600547
intercept,12.165525060596439,17.0,13.416407864998739,14.45683229480096,14.45683229480096,13.416407864998739,17.0,12.165525060596439,17.029386365926403,15.231546211727817,15.264337522473747,13.892443989449804,14.247806848775006,20.248456731316587,12.0,21.447610589527216,20.248456731316587,23.790754506740637,12.96148139681572,17.029386365926403,12.083045973594572,13.076696830622021,9.848857801796104,14.89966442575134,,11.74734012447073,14.560219778561036,18.16590212458495,14.0,17.146428199482248,16.492422502470642,14.89966442575134,22.045407685048602,28.705400188814647,20.639767440550294,14.177446878757825,5.477225575051661,12.206555615733702,13.601470508735444,13.601470508735444,11.045361017187261,1.4142135623730951,14.560219778561036,14.422205101855956,14.89966442575134
lewrockwell,12.165525060596439,17.4928556845359,14.45683229480096,5.385164807134504,5.385164807134504,14.45683229480096,17.4928556845359,12.165525060596439,19.6468827043885,16.15549442140351,13.152946437965905,18.439088914585774,18.81488772222678,7.615773105863909,5.0,22.58317958127243,9.695359714832659,4.0,10.246950765959598,11.180339887498949,18.33030277982336,2.23606797749979,11.357816691600547,11.661903789690601,11.74734012447073,,15.132745950421556,3.0,14.866068747318506,21.840329667841555,15.394804318340652,8.06225774829855,6.4031242374328485,14.317821063276353,15.394804318340652,22.38302928559939,21.0,17.146428199482248,8.06225774829855,5.477225575051661,8.12403840463596,13.45362404707371,15.588457268119896,12.328828005937952,7.483314773547883
mintpress,18.439088914585774,13.416407864998739,5.385164807134504,7.0710678118654755,7.0710678118654755,5.385164807134504,13.416407864998739,18.439088914585774,9.055385138137417,16.278820596099706,16.401219466856727,7.0,22.737634001804146,20.46948949045872,11.575836902790225,2.23606797749979,18.49324200890693,21.400934559032695,15.165750888103101,8.831760866327848,11.045361017187261,17.233687939614086,9.219544457292887,12.24744871391589,14.560219778561036,15.132745950421556,,7.0710678118654755,18.439088914585774,12.0,10.488088481701515,18.973665961010276,10.099504938362077,18.2208671582886,17.029386365926403,16.55294535724685,20.639767440550294,27.16615541441225,21.633307652783937,10.246950765959598,6.6332495807108,13.30413469565007,12.36931687685298,16.278820596099706,7.483314773547883
nationalreview,17.0,14.45683229480096,7.0710678118654755,14.7648230602334,14.7648230602334,7.0710678118654755,14.45683229480096,17.0,16.401219466856727,14.45683229480096,14.035668847618199,13.92838827718412,23.958297101421877,10.862780491200215,12.569805089976535,13.038404810405298,21.77154105707724,19.28730152198591,18.973665961010276,15.0,16.401219466856727,22.15851980616034,13.601470508735444,19.078784028338912,18.16590212458495,3.0,7.0710678118654755,,12.083045973594572,5.0990195135927845,14.0,16.97056274847714,18.05547008526779,8.48528137423857,14.89966442575134,20.688160865577203,20.248456731316587,12.409673645990857,20.049937655763422,24.859605789312106,13.416407864998739,14.177446878757825,11.832159566199232,16.522711641858304,12.36931687685298
nbc,17.4928556845359,5.385164807134504,14.7648230602334,2.8284271247461903,2.8284271247461903,14.7648230602334,5.385164807134504,17.4928556845359,12.165525060596439,17.4928556845359,16.278820596099706,16.15549442140351,21.0,9.1104335791443,18.973665961010276,17.0,6.0,22.045407685048602,14.89966442575134,12.165525060596439,7.3484692283495345,7.810249675906654,9.848857801796104,18.384776310850235,14.0,14.866068747318506,18.439088914585774,12.083045973594572,,13.0,12.083045973594572,5.0990195135927845,14.0,16.97056274847714,18.05547008526779,8.48528137423857,14.89966442575134,20.688160865577203,20.248456731316587,12.409673645990857,20.049937655763422,24.859605789312106,13.416407864998739,14.177446878757825,11.832159566199232
npr,13.416407864998739,7.0710678118654755,2.8284271247461903,14.0,14.0,2.8284271247461903,7.0710678118654755,13.416407864998739,12.165525060596439,17.029386365926403,15.231546211727817,15.811388300841896,22.9128784747792,7.0710678118654755,17.72004514666935,2.449489742783178,20.12461179749811,18.05547008526779,6.6332495807108,22.22611077089287,5.744562646538029,22.22611077089287,16.76305461424021,12.727922061357855,17.146428199482248,21.840329667841555,12.0,5.0990195135927845,13.0,,15.297058540778355,15.165750888103101,13.152946437965905,24.596747752497688,13.601470508735444,11.357816691600547,25.553864678361276,23.430749027719962,25.079872407968907,5.0,6.4031242374328485,14.247806848775006,15.588457268119896,20.518284528683193,19.519221295943137
