,aljazeera,alternet,americanconservative,americanspectator,americanthinker,ap,atlantic,bbc,breitbart,businessinsider,buzzfeed,canary,cbs,cnn,commondreams,conversation,counterpunch,dailycaller,dailykos,dailymail,dailywire,economist,federalist,fox,freebeacon,guardian,huffingtonpost,independent,infowars,intercept,jacobinmag,jpost,lewrockwell,mintpress,motherjones,nationalreview,nbc,newyorker,npr,nypost,nytimes,observerny,pjmedia,rawstory,redstate,rt,slate,spectator,townhall,truthdig,usatoday,veteranstoday,vice,vox,wapo,wsj
guardian,13.0,17.204650534085253,18.193405398660254,2.8284271247461903,2.8284271247461903,18.193405398660254,17.204650534085253,13.0,10.198039027185569,8.0,13.0,11.40175425099138,14.071247279470288,8.54400374531753,0.0,1.0,9.0,5.0,3.0,11.40175425099138,12.727922061357855,12.767145334803704,6.0,8.0,1.0,,13.601470508735444,14.866068747318506,15.556349186104045,11.40175425099138,12.529964086141668,15.556349186104045,10.0,3.605551275463989,15.556349186104045,14.352700094407323,12.083045973594572,8.0,15.556349186104045,15.556349186104045,0.0,6.0,12.727922061357855,0.0,0.0,3.0,1.0,0.0,8.0,5.0,0.0,11.045361017187261,12.041594578792296,0.0,12.727922061357855,6.0
huffingtonpost,16.278820596099706,14.7648230602334,2.8284271247461903,13.0,13.0,2.8284271247461903,14.7648230602334,16.278820596099706,0.0,13.0,13.0,0.0,15.427248620541512,5.385164807134504,8.54400374531753,6.708203932499369,8.0,0.0,1.0,0.0,6.0,12.727922061357855,5.0990195135927845,5.0,0.0,13.601470508735444,,12.0,12.36931687685298,12.041594578792296,12.0,4.0,13.0,12.0,1.4142135623730951,9.848857801796104,12.0,9.486832980505138,13.416407864998739,14.212670403551895,12.0,12.0,15.556349186104045,15.556349186104045,12.083045973594572,14.352700094407323,15.556349186104045,15.556349186104045,13.601470508735444,14.866068747318506,15.556349186104045,11.40175425099138,12.529964086141668,15.556349186104045,10.0,3.605551275463989
independent,13.0,18.193405398660254,13.0,12.165525060596439,12.165525060596439,13.0,18.193405398660254,13.0,13.0,11.180339887498949,13.0,13.152946437965905,12.727922061357855,12.041594578792296,11.045361017187261,5.0,9.055385138137417,11.045361017187261,8.06225774829855,0.0,11.40175425099138,0.0,9.219544457292887,0.0,8.0,14.866068747318506,12.0,,7.0710678118654755,7.0710678118654755,8.06225774829855,7.280109889280518,7.0710678118654755,1.4142135623730951,9.219544457292887,7.0710678118654755,4.47213595499958,10.04987562112089,7.0710678118654755,9.273618495495704,9.899494936611665,12.649110640673518,7.0710678118654755,7.0710678118654755,11.045361017187261,12.0,12.0,6.0,9.486832980505138,12.0,12.0,12.36931687685298,12.041594578792296,12.0,4.0,13.0
infowars,17.204650534085253,2.8284271247461903,12.165525060596439,13.341664064126334,13.341664064126334,12.165525060596439,2.8284271247461903,17.204650534085253,16.401219466856727,11.180339887498949,5.385164807134504,15.620499351813308,12.727922061357855,12.041594578792296,9.273618495495704,5.0,10.0,12.041594578792296,4.0,2.0,0.0,14.071247279470288,6.0,11.045361017187261,5.0,15.556349186104045,12.36931687685298,7.0710678118654755,,7.0710678118654755,9.273618495495704,9.273618495495704,10.04987562112089,9.433981132056603,9.273618495495704,10.862780491200215,11.0,9.273618495495704,12.884098726725126,14.730919862656235,9.273618495495704,7.0710678118654755,11.575836902790225,15.033296378372908,9.273618495495704,9.273618495495704,5.0990195135927845,12.649110640673518,7.0710678118654755,7.0710678118654755,1.4142135623730951,9.273618495495704,7.0710678118654755,7.0710678118654755,8.06225774829855,7.280109889280518
intercept,14.7648230602334,13.0,13.341664064126334,16.76305461424021,16.76305461424021,13.341664064126334,13.0,14.7648230602334,13.0,17.804493814764857,18.193405398660254,2.8284271247461903,5.830951894845301,12.727922061357855,12.083045973594572,11.045361017187261,12.083045973594572,0.0,1.0,3.0,0.0,15.427248620541512,9.486832980505138,12.041594578792296,0.0,11.40175425099138,12.041594578792296,7.0710678118654755,7.0710678118654755,,6.708203932499369,15.0,3.0,3.0,4.242640687119285,3.1622776601683795,3.0,8.54400374531753,5.830951894845301,3.0,11.445523142259598,12.409673645990857,3.0,15.0,6.708203932499369,11.789826122551595,3.0,3.0,10.295630140987,13.490737563232042,17.4928556845359,9.273618495495704,9.273618495495704,9.899494936611665,7.0710678118654755,9.273618495495704
jacobinmag,18.193405398660254,12.165525060596439,16.76305461424021,15.652475842498529,15.652475842498529,16.76305461424021,12.165525060596439,18.193405398660254,16.278820596099706,10.198039027185569,17.69180601295413,16.401219466856727,6.0,6.0,12.806248474865697,12.041594578792296,8.0,12.727922061357855,11.0,8.54400374531753,3.0,12.727922061357855,8.48528137423857,0.0,11.045361017187261,12.529964086141668,12.0,8.06225774829855,9.273618495495704,6.708203932499369,,16.278820596099706,12.529964086141668,14.52583904633395,16.278820596099706,16.278820596099706,14.422205101855956,15.620499351813308,16.278820596099706,11.704699910719626,13.416407864998739,16.278820596099706,10.04987562112089,4.47213595499958,16.278820596099706,14.52583904633395,13.0,9.0,16.278820596099706,16.278820596099706,12.206555615733702,7.681145747868608,12.36931687685298,15.84297951775486,3.0,3.0
jpost,2.8284271247461903,13.341664064126334,15.652475842498529,17.69180601295413,17.69180601295413,15.652475842498529,13.341664064126334,2.8284271247461903,13.0,0.0,8.0,4.0,6.0,11.40175425099138,11.045361017187261,0.0,8.0,6.0,11.313708498984761,2.0,1.0,12.727922061357855,11.40175425099138,12.727922061357855,12.041594578792296,15.556349186104045,4.0,7.280109889280518,9.273618495495704,15.0,16.278820596099706,,0.0,0.0,6.0,12.727922061357855,0.0,0.0,3.0,1.0,0.0,8.0,5.0,0.0,11.045361017187261,12.041594578792296,0.0,12.727922061357855,6.0,11.40175425099138,0.0,0.0,16.55294535724685,18.027756377319946,13.0,11.0
lewrockwell,13.0,16.76305461424021,17.69180601295413,11.180339887498949,11.180339887498949,17.69180601295413,16.76305461424021,13.0,17.204650534085253,13.0,13.0,13.0,11.40175425099138,0.0,11.045361017187261,12.727922061357855,5.0,11.40175425099138,1.0,3.0,0.0,0.0,6.0,6.0,0.0,10.0,13.0,7.0710678118654755,10.04987562112089,3.0,12.529964086141668,0.0,,9.0,11.180339887498949,11.180339887498949,11.704699910719626,15.84297951775486,11.180339887498949,11.180339887498949,8.246211251235321,10.198039027185569,11.180339887498949,12.529964086141668,6.324555320336759,11.180339887498949,13.45362404707371,6.324555320336759,11.180339887498949,15.84297951775486,5.385164807134504,1.0,11.180339887498949,11.180339887498949,16.278820596099706,3.0
mintpress,12.165525060596439,15.652475842498529,11.180339887498949,13.0,13.0,11.180339887498949,15.652475842498529,12.165525060596439,14.7648230602334,16.401219466856727,11.180339887498949,13.0,11.40175425099138,0.0,12.041594578792296,6.0,11.704699910719626,0.0,12.767145334803704,11.180339887498949,8.0,3.0,6.0,11.40175425099138,12.727922061357855,3.605551275463989,12.0,1.4142135623730951,9.433981132056603,3.0,14.52583904633395,0.0,9.0,,9.486832980505138,14.352700094407323,12.727922061357855,12.727922061357855,9.486832980505138,0.0,12.727922061357855,12.727922061357855,13.076696830622021,12.767145334803704,12.727922061357855,9.055385138137417,13.674794331177344,12.727922061357855,9.273618495495704,12.767145334803704,12.727922061357855,0.0,14.071247279470288,15.427248620541512,12.727922061357855,12.727922061357855
motherjones,13.341664064126334,17.69180601295413,13.0,13.0,13.0,13.0,17.69180601295413,13.341664064126334,18.193405398660254,13.0,11.180339887498949,13.0,0.0,14.071247279470288,12.767145334803704,11.40175425099138,8.94427190999916,0.0,5.0,10.0,5.0,1.0,12.727922061357855,0.0,6.0,15.556349186104045,1.4142135623730951,9.219544457292887,9.273618495495704,4.242640687119285,16.278820596099706,6.0,11.180339887498949,9.486832980505138,,14.035668847618199,12.767145334803704,9.219544457292887,16.822603841260722,16.822603841260722,13.674794331177344,9.219544457292887,16.822603841260722,16.822603841260722,15.427248620541512,16.30950643030009,16.822603841260722,13.076696830622021,14.7648230602334,16.822603841260722,12.041594578792296,9.486832980505138,16.822603841260722,9.219544457292887,14.52583904633395,12.206555615733702
