,aljazeera,alternet,americanconservative,americanspectator,ap,atlantic,bbc,breitbart,buzzfeed,cbs,cnn,commondreams,conversation,counterpunch,dailycaller,dailykos,dailymail,dailywire,economist,federalist,fox,guardian,huffingtonpost,infowars,intercept,jacobinmag,motherjones,nationalreview,nbc,npr,nypost,nytimes,pbs,pjmedia,rawstory,redstate,rt,slate,spectator,townhall,truthdig,usatoday,vice,vox,wapo,wsj
conversation,1.4142135623730951,3.1622776601683795,6.782329983125268,10.04987562112089,10.04987562112089,6.782329983125268,3.1622776601683795,1.4142135623730951,3.0,5.0990195135927845,1.4142135623730951,26.324893162176366,,5.0990195135927845,23.53720459187964,9.539392014169456,13.601470508735444,13.601470508735444,10.04987562112089,10.344080432788601,26.324893162176366,28.337254630609507,28.337254630609507,27.367864366808018,28.30194339616981,5.0990195135927845,5.0990195135927845,1.4142135623730951,2.0,0.0,4.242640687119285,5.0990195135927845,4.242640687119285,5.0990195135927845,1.4142135623730951,22.360679774997898,10.816653826391969,35.24202037341219,3.0,5.656854249492381,9.055385138137417,1.4142135623730951,1.4142135623730951,5.656854249492381,5.656854249492381,3.1622776601683795
counterpunch,5.656854249492381,16.61324772583615,10.04987562112089,5.0990195135927845,5.0990195135927845,10.04987562112089,16.61324772583615,5.656854249492381,5.656854249492381,1.4142135623730951,2.0,28.337254630609507,5.0990195135927845,,4.58257569495584,5.196152422706632,13.601470508735444,28.337254630609507,5.0990195135927845,0.0,0.0,4.242640687119285,5.0990195135927845,23.53720459187964,9.539392014169456,13.601470508735444,13.601470508735444,10.04987562112089,10.344080432788601,26.324893162176366,28.337254630609507,28.337254630609507,27.367864366808018,28.30194339616981,5.0990195135927845,5.0990195135927845,1.4142135623730951,2.0,0.0,4.242640687119285,5.0990195135927845,4.242640687119285,5.0990195135927845,1.4142135623730951,22.360679774997898,10.816653826391969
dailycaller,5.656854249492381,6.782329983125268,5.0990195135927845,5.0990195135927845,5.0990195135927845,5.0990195135927845,6.782329983125268,5.656854249492381,9.055385138137417,22.360679774997898,0.0,28.337254630609507,23.53720459187964,4.58257569495584,,11.874342087037917,8.306623862918075,8.660254037844387,7.54983443527075,8.0,23.194827009486403,3.3166247903554,7.54983443527075,7.54983443527075,4.58257569495584,5.196152422706632,13.601470508735444,28.337254630609507,5.0990195135927845,0.0,0.0,4.242640687119285,5.0990195135927845,23.53720459187964,9.539392014169456,13.601470508735444,13.601470508735444,10.04987562112089,10.344080432788601,26.324893162176366,28.337254630609507,28.337254630609507,27.367864366808018,28.30194339616981,5.0990195135927845,5.0990195135927845
dailykos,3.1622776601683795,10.04987562112089,5.0990195135927845,27.018512172212592,27.018512172212592,5.0990195135927845,10.04987562112089,3.1622776601683795,1.4142135623730951,10.816653826391969,4.242640687119285,27.367864366808018,9.539392014169456,5.196152422706632,11.874342087037917,,4.242640687119285,4.242640687119285,0.0,1.4142135623730951,6.0,11.874342087037917,2.0,23.194827009486403,7.681145747868608,11.874342087037917,11.874342087037917,8.306623862918075,8.660254037844387,7.54983443527075,8.0,23.194827009486403,3.3166247903554,7.54983443527075,7.54983443527075,4.58257569495584,5.196152422706632,13.601470508735444,28.337254630609507,5.0990195135927845,0.0,0.0,4.242640687119285,5.0990195135927845,23.53720459187964,9.539392014169456
dailymail,16.61324772583615,5.0990195135927845,27.018512172212592,17.916472867168917,17.916472867168917,27.018512172212592,5.0990195135927845,16.61324772583615,1.4142135623730951,35.24202037341219,5.0990195135927845,28.30194339616981,13.601470508735444,13.601470508735444,8.306623862918075,4.242640687119285,,10.04987562112089,12.449899597988733,12.449899597988733,11.180339887498949,12.041594578792296,8.306623862918075,4.58257569495584,4.242640687119285,10.04987562112089,27.367864366808018,1.4142135623730951,4.242640687119285,4.242640687119285,0.0,1.4142135623730951,6.0,11.874342087037917,2.0,23.194827009486403,7.681145747868608,11.874342087037917,11.874342087037917,8.306623862918075,8.660254037844387,7.54983443527075,8.0,23.194827009486403,3.3166247903554,7.54983443527075
dailywire,6.782329983125268,5.0990195135927845,17.916472867168917,10.04987562112089,10.04987562112089,17.916472867168917,5.0990195135927845,6.782329983125268,5.656854249492381,3.0,4.242640687119285,5.0990195135927845,13.601470508735444,28.337254630609507,8.660254037844387,4.242640687119285,10.04987562112089,,12.36931687685298,18.867962264113206,19.026297590440446,19.026297590440446,19.6468827043885,20.784609690826528,11.180339887498949,9.899494936611665,7.0710678118654755,12.449899597988733,11.40175425099138,16.492422502470642,10.04987562112089,12.449899597988733,12.449899597988733,11.180339887498949,12.041594578792296,8.306623862918075,4.58257569495584,4.242640687119285,10.04987562112089,27.367864366808018,1.4142135623730951,4.242640687119285,4.242640687119285,0.0,1.4142135623730951,6.0
economist,10.04987562112089,27.018512172212592,10.04987562112089,10.04987562112089,10.04987562112089,10.04987562112089,27.018512172212592,10.04987562112089,5.656854249492381,5.656854249492381,5.0990195135927845,5.0990195135927845,10.04987562112089,5.0990195135927845,7.54983443527075,0.0,12.449899597988733,12.36931687685298,,14.247806848775006,27.65863337187866,5.656854249492381,1.4142135623730951,1.4142135623730951,5.0990195135927845,6.0,10.246950765959598,19.6468827043885,19.261360284258224,16.583123951777,19.026297590440446,20.46948949045872,12.36931687685298,18.867962264113206,19.026297590440446,19.026297590440446,19.6468827043885,20.784609690826528,11.180339887498949,9.899494936611665,7.0710678118654755,12.449899597988733,11.40175425099138,16.492422502470642,10.04987562112089,12.449899597988733
federalist,5.0990195135927845,17.916472867168917,10.04987562112089,5.0990195135927845,5.0990195135927845,10.04987562112089,17.916472867168917,5.0990195135927845,3.1622776601683795,9.055385138137417,1.4142135623730951,1.4142135623730951,10.344080432788601,0.0,8.0,1.4142135623730951,12.449899597988733,18.867962264113206,14.247806848775006,,1.4142135623730951,14.798648586948742,29.546573405388315,6.0,1.4142135623730951,1.4142135623730951,5.0990195135927845,5.656854249492381,18.0,11.874342087037917,5.0990195135927845,12.449899597988733,7.681145747868608,1.4142135623730951,14.247806848775006,27.65863337187866,5.656854249492381,1.4142135623730951,1.4142135623730951,5.0990195135927845,6.0,10.246950765959598,19.6468827043885,19.261360284258224,16.583123951777,19.026297590440446
fox,5.0990195135927845,10.04987562112089,5.0990195135927845,5.656854249492381,5.656854249492381,5.0990195135927845,10.04987562112089,5.0990195135927845,16.61324772583615,1.4142135623730951,22.360679774997898,2.0,26.324893162176366,0.0,23.194827009486403,6.0,11.180339887498949,19.026297590440446,27.65863337187866,1.4142135623730951,,3.3166247903554,5.0990195135927845,9.539392014169456,26.324893162176366,0.0,5.0990195135927845,5.0990195135927845,1.4142135623730951,2.0,2.0,20.0,13.601470508735444,5.0990195135927845,13.076696830622021,8.660254037844387,1.4142135623730951,14.798648586948742,29.546573405388315,6.0,1.4142135623730951,1.4142135623730951,5.0990195135927845,5.656854249492381,18.0,11.874342087037917
guardian,27.018512172212592,10.04987562112089,5.656854249492381,11.224972160321824,11.224972160321824,5.656854249492381,10.04987562112089,27.018512172212592,6.782329983125268,1.4142135623730951,10.816653826391969,0.0,28.337254630609507,4.242640687119285,3.3166247903554,11.874342087037917,12.041594578792296,19.026297590440446,5.656854249492381,14.798648586948742,3.3166247903554,,11.874342087037917,7.54983443527075,0.0,13.601470508735444,28.337254630609507,5.0990195135927845,0.0,0.0,4.242640687119285,5.0990195135927845,6.0,5.656854249492381,18.867962264113206,10.04987562112089,1.4142135623730951,7.681145747868608,3.3166247903554,5.0990195135927845,9.539392014169456,26.324893162176366,0.0,5.0990195135927845,5.0990195135927845,1.4142135623730951
