,aljazeera,alternet,ap,atlantic,axios,bbc,breitbart,businessinsider,buzzfeed,canary,cbs,cnn,commondreams,consortium,conversation,counterpunch,dailycaller,dailymail,dailywire,economist,federalist,fox,guardian,infowars,intercept,lewrockwell,mintpress,nationalreview,nbc,npr,nypost,nytimes,pjmedia,rawstory,redstate,reuters,rt,shadowproof,slate,truthdig,usatoday,veteranstoday,vox,wapo,wsj
federalist,60.59869892038341,62.052103792799485,71.85233188065581,57.337036206360594,57.337036206360594,71.85233188065581,62.052103792799485,60.59869892038341,62.62064374430807,62.052103792799485,67.77355282975994,51.41179459481151,83.63950022490779,52.30135641790498,67.44301651799513,51.798957780022256,67.77355282975994,58.35296679555273,71.66278315232111,56.10017242842855,100.0,79.56574233035035,80.36740026988936,88.2022758337376,72.0431657292691,57.58873730450691,74.44408238678304,62.052103792799485,82.99766989139266,86.7086671508113,63.4168103570238,65.83827354181504,66.95341034547691,69.8327289960014,72.62364764812122,54.307610780916924,56.10017242842855,67.77355282975994,53.15065834289135,40.02141709866556,60.59869892038341,74.13177852601804,79.56574233035035,65.29413899629394,71.85233188065581
fox,54.54253464702508,71.85233188065581,57.337036206360594,60.66669086246645,60.66669086246645,57.337036206360594,71.85233188065581,54.54253464702508,62.33530100583307,67.52533519203436,62.62064374430807,46.985921630633634,62.836088514306134,74.02851176222671,53.37975185101185,56.344741615901064,59.06604264065884,61.771004423556654,61.14596579112963,67.77355282975994,79.56574233035035,100.0,50.0,72.13907281903028,69.74413182725523,94.82635570520361,60.12600145243386,48.7312994373021,81.92923735624956,48.574912595494524,72.13907281903028,75.73345726396644,72.23531119703514,86.50878626788017,83.63950022490779,59.92512361410513,72.0431657292691,64.45589644336856,79.56574233035035,80.36740026988936,88.2022758337376,72.0431657292691,57.58873730450691,74.44408238678304,62.052103792799485
guardian,79.04833747071848,71.85233188065581,60.66669086246645,59.5263588036405,59.5263588036405,60.66669086246645,71.85233188065581,79.04833747071848,66.55087918818326,62.33530100583307,63.4168103570238,60.19318599644665,58.93547147218183,89.39718432612673,60.19318599644665,54.307610780916924,52.92267966487727,84.65249080326396,85.36672414280952,53.15065834289135,80.36740026988936,50.0,100.0,57.27434261810353,77.21246067237321,73.72114617304926,78.66851810318029,68.52995033852136,77.21246067237321,61.214917104043046,58.0328465342071,72.81989643179065,79.17648339777637,80.09659299822333,83.47670517273845,65.76001060657772,87.54021458143603,69.92158713012141,44.712160631718945,77.21246067237321,50.0,72.13907281903028,69.74413182725523,94.82635570520361,60.12600145243386
infowars,62.052103792799485,57.337036206360594,59.5263588036405,68.95813423122166,68.95813423122166,59.5263588036405,57.337036206360594,62.052103792799485,59.5263588036405,64.75840495361658,72.23531119703514,62.62064374430807,60.32789641324954,65.06353273179997,48.00551832937459,62.549104241049825,53.49472181184589,93.0588277992588,52.30135641790498,40.02141709866556,88.2022758337376,72.13907281903028,57.27434261810353,100.0,65.52628782920067,73.01757253576034,71.66278315232111,55.856958226182826,57.46270058476025,70.55110040483402,55.01606282399917,42.11064234081777,63.8584747124991,72.91855412056492,79.82942121817015,66.55087918818326,63.71065599624735,80.23153290665772,67.85671799335888,69.56771127565096,85.18493734841294,75.40477579827355,57.27434261810353,77.21246067237321,73.72114617304926
intercept,71.85233188065581,60.66669086246645,68.95813423122166,66.55087918818326,66.55087918818326,68.95813423122166,60.66669086246645,71.85233188065581,60.59869892038341,64.75840495361658,64.68253490875809,67.85671799335888,67.03450639325088,53.15065834289135,72.23531119703514,50.376147201216945,53.15065834289135,44.954758727717724,70.01070854933278,60.59869892038341,72.0431657292691,69.74413182725523,77.21246067237321,65.52628782920067,100.0,72.81989643179065,66.31166907878992,57.9691150571484,67.60786306320767,60.32789641324954,61.84108513432398,65.52628782920067,48.993009674177976,33.583624732749406,52.245273337296226,67.19729994922696,87.32721136708753,71.7573984977559,68.52995033852136,68.52995033852136,74.44408238678304,96.72790004498155,66.31166907878992,66.63099695786978,65.52628782920067
lewrockwell,71.85233188065581,59.5263588036405,66.55087918818326,87.54021458143603,87.54021458143603,66.55087918818326,59.5263588036405,71.85233188065581,54.54253464702508,62.62064374430807,69.56771127565096,57.337036206360594,56.46754146080411,82.37920247680829,88.43137966543131,47.748753895375074,77.56761289040577,90.74510373234504,76.29138340031912,74.13177852601804,57.58873730450691,94.82635570520361,73.72114617304926,73.01757253576034,72.81989643179065,100.0,64.98700149601824,93.0588277992588,65.60401895893501,49.467503618184885,64.3806707432277,81.34616021409988,85.18493734841294,66.87251282013307,64.3806707432277,48.21184645147368,51.41179459481151,60.32789641324954,81.34616021409988,87.32721136708753,81.2032168226623,68.87202625507615,63.93261125269463,71.47449392582126,82.68567450815114
mintpress,57.337036206360594,68.95813423122166,87.54021458143603,83.63950022490779,83.63950022490779,87.54021458143603,68.95813423122166,57.337036206360594,79.04833747071848,62.33530100583307,62.052103792799485,83.80393153160384,47.39138898534962,52.63924952848784,73.21670756334608,94.82635570520361,57.21174088873189,50.48414265632012,64.91063717737747,79.56574233035035,74.44408238678304,60.12600145243386,78.66851810318029,71.66278315232111,66.31166907878992,64.98700149601824,100.0,83.63950022490779,57.337036206360594,72.23531119703514,75.73345726396644,56.10017242842855,76.63253236019752,57.84194113582954,60.59869892038341,61.701051948629946,52.245273337296226,37.145012412155445,49.94649543680466,76.29138340031912,84.65249080326396,69.21790336521236,71.380813850743,62.33530100583307,82.68567450815114
nationalreview,60.66669086246645,66.55087918818326,83.63950022490779,65.83827354181504,65.83827354181504,83.63950022490779,66.55087918818326,60.66669086246645,62.052103792799485,66.55087918818326,67.52533519203436,67.77355282975994,44.56711139417057,74.86652334390904,70.9169394469065,69.8327289960014,49.626661482439836,55.37450628275924,56.10017242842855,65.29413899629394,62.052103792799485,48.7312994373021,68.52995033852136,55.856958226182826,57.9691150571484,93.0588277992588,83.63950022490779,100.0,72.0431657292691,88.2022758337376,67.60786306320767,60.734800539778696,58.224624324274885,80.36740026988936,65.52628782920067,52.13330430513108,53.15065834289135,71.28743942272581,53.609976705740166,42.481731791280495,68.95813423122166,67.19729994922696,72.62364764812122,61.771004423556654,71.380813850743
nbc,59.5263588036405,87.54021458143603,65.83827354181504,93.45580008996312,93.45580008996312,65.83827354181504,87.54021458143603,59.5263588036405,71.85233188065581,59.5263588036405,62.33530100583307,62.62064374430807,51.41179459481151,78.92097056791478,56.10017242842855,60.66669086246645,86.11765559851757,48.993009674177976,65.52628782920067,71.85233188065581,82.99766989139266,81.92923735624956,77.21246067237321,57.46270058476025,67.60786306320767,65.60401895893501,57.337036206360594,72.0431657292691,100.0,69.92158713012141,72.0431657292691,88.2022758337376,67.60786306320767,60.734800539778696,58.224624324274885,80.36740026988936,65.52628782920067,52.13330430513108,53.15065834289135,71.28743942272581,53.609976705740166,42.481731791280495,68.95813423122166,67.19729994922696,72.62364764812122
npr,68.95813423122166,83.63950022490779,93.45580008996312,67.60786306320767,67.60786306320767,93.45580008996312,83.63950022490779,68.95813423122166,71.85233188065581,60.59869892038341,64.75840495361658,63.4168103570238,46.985921630633634,83.63950022490779,59.00070507735315,94.33255663046423,53.437201346832495,58.224624324274885,84.65249080326396,48.574912595494524,86.7086671508113,48.574912595494524,61.214917104043046,70.55110040483402,60.32789641324954,49.467503618184885,72.23531119703514,88.2022758337376,69.92158713012141,100.0,64.60682750121278,64.91063717737747,69.56771127565096,43.08991275723971,68.52995033852136,73.72114617304926,40.875408291018644,45.78771206874867,41.97209561455655,88.43137966543131,85.18493734841294,67.03450639325088,63.93261125269463,52.5263512742019,54.837907920161214
nypost,66.55087918818326,65.83827354181504,67.60786306320767,47.748753895375074,47.748753895375074,67.60786306320767,65.83827354181504,66.55087918818326,57.337036206360594,54.54253464702508,64.75840495361658,72.23531119703514,60.19318599644665,62.836088514306134,52.30135641790498,74.86652334390904,62.69232042819978,45.4431911110482,88.2022758337376,76.86275933086262,63.4168103570238,72.13907281903028,58.0328465342071,55.01606282399917,61.84108513432398,64.3806707432277,75.73345726396644,67.60786306320767,72.0431657292691,64.60682750121278,100.0,56.962244551971786,47.18826617955006,71.9475865298736,62.9804149293802,53.725518661725246,73.61948678444523,46.73407185974886,31.520021213155434,83.63950022490779,39.48826365451047,48.574912595494524,47.238973568890465,71.28743942272581,53.609976705740166
nytimes,87.54021458143603,93.45580008996312,47.748753895375074,83.31549847893488,83.31549847893488,47.748753895375074,93.45580008996312,87.54021458143603,60.66669086246645,79.04833747071848,62.62064374430807,64.68253490875809,62.62064374430807,58.93547147218183,74.02851176222671,67.44301651799513,59.328442507507816,40.46935901341151,73.61948678444523,54.307610780916924,65.83827354181504,75.73345726396644,72.81989643179065,42.11064234081777,65.52628782920067,81.34616021409988,56.10017242842855,60.734800539778696,88.2022758337376,64.91063717737747,56.962244551971786,100.0,48.2635570520361,62.26430245273031,61.214917104043046,45.100832159764735,55.37450628275924,61.56152890713298,52.245273337296226,48.36713361828252,64.75840495361658,57.9691150571484,73.01757253576034,39.04753141894746,42.761627701485985
pjmedia,83.63950022490779,67.60786306320767,83.31549847893488,54.307610780916924,54.307610780916924,83.31549847893488,67.60786306320767,83.63950022490779,59.5263588036405,62.052103792799485,62.33530100583307,69.56771127565096,67.85671799335888,60.32789641324954,89.39718432612673,53.37975185101185,51.798957780022256,87.54021458143603,68.44501077874139,74.65442273417506,66.95341034547691,72.23531119703514,79.17648339777637,63.8584747124991,48.993009674177976,85.18493734841294,76.63253236019752,58.224624324274885,67.60786306320767,69.56771127565096,47.18826617955006,48.2635570520361,100.0,97.68627593308626,73.41733430162259,64.00690049479714,83.15583453939496,63.343716998149176,76.86275933086262,63.8584747124991,64.60682750121278,92.68336207140476,67.27900044981558,50.053561879327326,65.99533978278531
rawstory,65.83827354181504,47.748753895375074,54.307610780916924,68.61511977658485,68.61511977658485,54.307610780916924,47.748753895375074,65.83827354181504,68.95813423122166,71.85233188065581,66.55087918818326,62.052103792799485,57.337036206360594,67.03450639325088,65.06353273179997,60.19318599644665,56.344741615901064,67.77355282975994,52.245273337296226,73.61948678444523,69.8327289960014,86.50878626788017,80.09659299822333,72.91855412056492,33.583624732749406,66.87251282013307,57.84194113582954,80.36740026988936,60.734800539778696,43.08991275723971,71.9475865298736,62.26430245273031,97.68627593308626,100.0,52.245273337296226,56.283471047666,46.43341512669215,55.01606282399917,72.91855412056492,50.0,62.9804149293802,53.725518661725246,60.59869892038341,59.5263588036405,64.45589644336856
