,aljazeera,alternet,americanconservative,americanspectator,americanthinker,antiwar,ap,atlantic,axios,bbc,bloomberg,breitbart,businessinsider,buzzfeed,canary,cbs,cnbc,cnn,commondreams,consortium,conversation,counterpunch,dailycaller,dailykos,dailymail,dailywire,defenseone,economist,federalist,foreignaffairs,fox,freebeacon,globalresearch,guardian,huffingtonpost,independent,infowars,intercept,jacobinmag,jpost,koreaherald,lewrockwell,mintpress,motherjones,msnbc,nationalreview,nbc,neweasternoutlook,newyorker,npr,nypost,nytimes,observerny,offguardian,opednews,peoplesdaily,pjmedia,propublica,psychologytoday,rawstory,redstate,reuters,rt,shadowproof,slate,snopes,spectator,strategicculture,techcrunch,time,townhall,truthdig,usatoday,verge,vice,voltairenetwork,vox,wapo,wsj
nbc,54.48369000704547,100.0,81.4902074646901,97.68627593308626,97.68627593308626,81.4902074646901,100.0,54.48369000704547,52.92267966487727,100.0,83.80393153160384,100.0,88.43137966543131,57.46270058476025,97.68627593308626,100.0,72.23531119703514,65.83827354181504,71.00912053632923,74.5490352639489,54.48369000704547,57.21174088873189,59.99197082725847,93.0588277992588,75.73345726396644,74.5490352639489,57.46270058476025,57.39982205906211,95.37255186617253,90.74510373234504,52.63924952848784,55.254706084068175,57.46270058476025,75.73345726396644,57.39982205906211,47.90266069833669,57.21174088873189,57.39982205906211,74.13177852601804,63.125306229268496,100.0,54.48369000704547,90.74510373234504,75.40477579827355,94.82635570520361,95.37255186617253,100.0,65.76001060657772,57.21174088873189,83.80393153160384,57.21174088873189,65.29413899629394,81.4902074646901,53.609976705740166,95.37255186617253,81.4902074646901,95.37255186617253,56.46754146080411,57.46270058476025,88.43137966543131,83.80393153160384,57.46270058476025,69.56771127565096,53.609976705740166,53.609976705740166,85.36672414280952,100.0,57.46270058476025,57.21174088873189,57.46270058476025,54.48369000704547,79.17648339777637,60.19318599644665,55.73585225986386,57.21174088873189,50.430115518215366,57.21174088873189,59.06604264065884,50.430115518215366
neweasternoutlook,63.125306229268496,55.917635975515644,97.68627593308626,57.39982205906211,57.39982205906211,97.68627593308626,55.917635975515644,63.125306229268496,77.09530031487091,55.917635975515644,56.90009613627778,83.80393153160384,97.68627593308626,65.52628782920067,94.82635570520361,65.60401895893501,96.72790004498155,78.92097056791478,83.80393153160384,95.37255186617253,65.83827354181504,95.37255186617253,82.99766989139266,86.11765559851757,83.63950022490779,69.8327289960014,88.2022758337376,57.39982205906211,59.06604264065884,95.37255186617253,69.47988341994812,55.07560479208904,52.63924952848784,83.63950022490779,97.68627593308626,45.100832159764735,95.37255186617253,81.92923735624956,86.11765559851757,85.18493734841294,55.917635975515644,88.43137966543131,95.37255186617253,62.052103792799485,43.79983768607648,54.48369000704547,65.76001060657772,100.0,54.48369000704547,63.125306229268496,55.917635975515644,100.0,55.917635975515644,81.4902074646901,97.68627593308626,57.39982205906211,88.43137966543131,97.68627593308626,88.43137966543131,56.90009613627778,54.48369000704547,95.37255186617253,100.0,58.80531416156176,65.52628782920067,57.39982205906211,57.39982205906211,81.92923735624956,83.80393153160384,54.48369000704547,55.917635975515644,54.48369000704547,57.46270058476025,95.37255186617253,71.7573984977559,53.66771166687151,55.917635975515644,56.46754146080411,55.917635975515644
newyorker,55.917635975515644,81.4902074646901,57.39982205906211,88.43137966543131,88.43137966543131,57.39982205906211,81.4902074646901,55.917635975515644,97.68627593308626,100.0,100.0,100.0,54.48369000704547,54.48369000704547,65.60401895893501,74.5490352639489,96.72790004498155,65.83827354181504,88.43137966543131,97.68627593308626,96.72790004498155,100.0,65.52628782920067,81.34616021409988,86.11765559851757,63.125306229268496,92.68336207140476,81.92923735624956,67.44301651799513,55.917635975515644,57.21174088873189,56.90009613627778,57.46270058476025,86.11765559851757,73.01757253576034,53.609976705740166,100.0,83.80393153160384,86.11765559851757,88.2022758337376,54.48369000704547,79.17648339777637,90.74510373234504,83.15583453939496,52.07741789299122,95.37255186617253,57.21174088873189,54.48369000704547,100.0,83.80393153160384,95.37255186617253,85.9261659403279,100.0,55.917635975515644,100.0,47.90266069833669,55.254706084068175,86.11765559851757,57.46270058476025,55.254706084068175,57.46270058476025,95.37255186617253,95.37255186617253,56.90009613627778,55.917635975515644,92.68336207140476,74.13177852601804,86.11765559851757,86.11765559851757,65.83827354181504,57.21174088873189,95.37255186617253,100.0,95.37255186617253,88.43137966543131,54.48369000704547,65.83827354181504,96.72790004498155,100.0
npr,100.0,97.68627593308626,88.43137966543131,97.68627593308626,97.68627593308626,88.43137966543131,97.68627593308626,100.0,57.21174088873189,83.80393153160384,88.43137966543131,57.21174088873189,57.39982205906211,100.0,74.5490352639489,79.17648339777637,79.17648339777637,62.62064374430807,74.13177852601804,74.5490352639489,100.0,83.80393153160384,65.83827354181504,93.0588277992588,93.0588277992588,61.214917104043046,88.2022758337376,83.80393153160384,56.90009613627778,54.48369000704547,57.46270058476025,65.52628782920067,58.80531416156176,93.0588277992588,52.92267966487727,86.11765559851757,95.37255186617253,54.48369000704547,65.83827354181504,78.66851810318029,88.2022758337376,56.46754146080411,57.21174088873189,75.40477579827355,81.34616021409988,45.100832159764735,83.80393153160384,63.125306229268496,83.80393153160384,100.0,97.68627593308626,57.21174088873189,54.48369000704547,63.125306229268496,55.917635975515644,100.0,55.917635975515644,81.4902074646901,97.68627593308626,57.39982205906211,88.43137966543131,97.68627593308626,88.43137966543131,56.90009613627778,54.48369000704547,95.37255186617253,100.0,58.80531416156176,65.52628782920067,57.39982205906211,57.39982205906211,81.92923735624956,83.80393153160384,54.48369000704547,55.917635975515644,54.48369000704547,57.46270058476025,95.37255186617253,71.7573984977559
nypost,55.917635975515644,57.39982205906211,97.68627593308626,88.43137966543131,88.43137966543131,97.68627593308626,57.39982205906211,55.917635975515644,54.48369000704547,54.48369000704547,54.48369000704547,88.43137966543131,67.85671799335888,57.46270058476025,79.17648339777637,94.82635570520361,100.0,78.92097056791478,52.07741789299122,74.44408238678304,79.17648339777637,52.63924952848784,57.46270058476025,69.8327289960014,86.11765559851757,72.13907281903028,94.82635570520361,54.48369000704547,56.90009613627778,88.2022758337376,90.74510373234504,53.609976705740166,52.63924952848784,86.11765559851757,55.254706084068175,76.74736090592295,88.43137966543131,55.917635975515644,57.21174088873189,78.66851810318029,74.5490352639489,57.21174088873189,55.254706084068175,83.15583453939496,55.55481204523883,53.609976705740166,57.21174088873189,55.917635975515644,95.37255186617253,97.68627593308626,100.0,73.61948678444523,93.0588277992588,57.46270058476025,52.63924952848784,61.14596579112963,54.48369000704547,95.37255186617253,54.48369000704547,86.11765559851757,97.68627593308626,57.39982205906211,83.80393153160384,97.68627593308626,83.80393153160384,55.917635975515644,52.63924952848784,90.74510373234504,95.37255186617253,58.0328465342071,63.125306229268496,57.39982205906211,57.39982205906211,78.66851810318029,79.17648339777637,52.63924952848784,54.48369000704547,52.63924952848784,57.21174088873189
nytimes,81.4902074646901,88.43137966543131,88.43137966543131,56.90009613627778,56.90009613627778,88.43137966543131,88.43137966543131,81.4902074646901,63.125306229268496,52.92267966487727,95.37255186617253,53.609976705740166,100.0,57.46270058476025,74.44408238678304,79.17648339777637,94.82635570520361,63.125306229268496,54.48369000704547,100.0,100.0,61.98163410126261,57.21174088873189,81.4902074646901,81.34616021409988,74.13177852601804,58.0328465342071,55.917635975515644,84.47906711561083,74.5490352639489,57.39982205906211,55.254706084068175,69.47988341994812,81.34616021409988,56.90009613627778,45.19843075755322,54.48369000704547,54.48369000704547,95.37255186617253,76.97873620489595,81.4902074646901,90.460271283581,97.68627593308626,65.60401895893501,52.07741789299122,81.4902074646901,65.29413899629394,100.0,85.9261659403279,57.21174088873189,73.61948678444523,100.0,97.68627593308626,66.87251282013307,55.254706084068175,79.17648339777637,100.0,85.9261659403279,95.37255186617253,54.48369000704547,95.37255186617253,45.100832159764735,53.609976705740166,81.4902074646901,57.21174088873189,53.609976705740166,57.21174088873189,90.74510373234504,100.0,55.917635975515644,54.48369000704547,88.2022758337376,74.5490352639489,81.4902074646901,81.4902074646901,65.52628782920067,57.46270058476025,100.0,95.37255186617253
observerny,97.68627593308626,97.68627593308626,56.90009613627778,54.48369000704547,54.48369000704547,56.90009613627778,97.68627593308626,97.68627593308626,55.917635975515644,77.09530031487091,100.0,63.125306229268496,54.48369000704547,78.66851810318029,74.44408238678304,74.44408238678304,79.17648339777637,61.98163410126261,57.21174088873189,95.37255186617253,94.82635570520361,96.72790004498155,57.46270058476025,86.11765559851757,93.0588277992588,64.00690049479714,72.0431657292691,54.48369000704547,88.43137966543131,81.4902074646901,56.90009613627778,57.21174088873189,57.21174088873189,93.0588277992588,55.254706084068175,47.90266069833669,65.83827354181504,57.46270058476025,100.0,65.76001060657772,81.4902074646901,67.1158024321894,97.68627593308626,66.87251282013307,55.55481204523883,57.21174088873189,81.4902074646901,55.917635975515644,100.0,54.48369000704547,93.0588277992588,97.68627593308626,100.0,57.21174088873189,55.55481204523883,83.15583453939496,90.74510373234504,54.48369000704547,57.21174088873189,65.76001060657772,57.46270058476025,88.43137966543131,57.46270058476025,69.92158713012141,86.11765559851757,55.254706084068175,100.0,86.11765559851757,100.0,57.21174088873189,57.21174088873189,93.0588277992588,88.43137966543131,58.48170600064711,69.21790336521236,55.254706084068175,55.254706084068175,86.11765559851757,95.37255186617253
offguardian,57.39982205906211,88.43137966543131,54.48369000704547,95.37255186617253,95.37255186617253,54.48369000704547,88.43137966543131,57.39982205906211,100.0,97.68627593308626,55.917635975515644,83.80393153160384,54.48369000704547,77.09530031487091,95.37255186617253,95.37255186617253,74.44408238678304,65.83827354181504,54.48369000704547,57.21174088873189,79.17648339777637,95.37255186617253,54.48369000704547,85.36672414280952,69.8327289960014,74.13177852601804,89.65271141040722,57.46270058476025,55.917635975515644,81.4902074646901,96.72790004498155,57.21174088873189,57.46270058476025,69.8327289960014,55.07560479208904,56.46754146080411,96.72790004498155,95.37255186617253,95.37255186617253,85.9261659403279,65.52628782920067,97.68627593308626,59.00070507735315,80.09659299822333,90.460271283581,53.609976705740166,53.609976705740166,81.4902074646901,55.917635975515644,63.125306229268496,57.46270058476025,66.87251282013307,57.21174088873189,100.0,83.80393153160384,54.48369000704547,52.92267966487727,77.09530031487091,97.68627593308626,57.21174088873189,54.48369000704547,63.125306229268496,55.917635975515644,100.0,55.917635975515644,81.4902074646901,97.68627593308626,57.39982205906211,88.43137966543131,97.68627593308626,88.43137966543131,56.90009613627778,54.48369000704547,95.37255186617253,100.0,58.80531416156176,65.52628782920067,57.39982205906211,57.39982205906211
opednews,88.43137966543131,56.90009613627778,95.37255186617253,100.0,100.0,95.37255186617253,56.90009613627778,88.43137966543131,55.917635975515644,57.21174088873189,100.0,56.90009613627778,100.0,100.0,57.21174088873189,100.0,95.37255186617253,96.72790004498155,54.07388859505473,74.33955877013513,74.44408238678304,74.5490352639489,79.17648339777637,65.52628782920067,81.4902074646901,76.86275933086262,92.68336207140476,95.37255186617253,56.90009613627778,65.52628782920067,72.91855412056492,93.0588277992588,86.11765559851757,81.4902074646901,56.90009613627778,47.90266069833669,100.0,71.7573984977559,88.43137966543131,85.9261659403279,57.46270058476025,97.68627593308626,66.55087918818326,77.09530031487091,97.68627593308626,57.21174088873189,95.37255186617253,97.68627593308626,100.0,55.917635975515644,52.63924952848784,55.254706084068175,55.55481204523883,83.80393153160384,100.0,56.90009613627778,56.46754146080411,90.74510373234504,90.460271283581,65.60401895893501,57.21174088873189,88.43137966543131,90.74510373234504,84.47906711561083,95.37255186617253,56.90009613627778,95.37255186617253,50.430115518215366,56.46754146080411,90.74510373234504,57.21174088873189,56.46754146080411,57.21174088873189,100.0,90.74510373234504,57.39982205906211,56.90009613627778,96.72790004498155,72.91855412056492
peoplesdaily,97.68627593308626,54.48369000704547,100.0,58.80531416156176,58.80531416156176,100.0,54.48369000704547,97.68627593308626,81.4902074646901,54.48369000704547,83.80393153160384,100.0,83.80393153160384,88.43137966543131,55.917635975515644,74.44408238678304,100.0,76.74736090592295,57.21174088873189,85.9261659403279,95.37255186617253,95.37255186617253,60.19318599644665,65.83827354181504,86.11765559851757,64.00690049479714,85.9261659403279,71.7573984977559,55.917635975515644,57.46270058476025,90.74510373234504,88.43137966543131,56.46754146080411,86.11765559851757,65.52628782920067,46.33357052025051,79.17648339777637,53.66771166687151,54.48369000704547,85.9261659403279,100.0,62.193437230596714,57.21174088873189,66.87251282013307,54.307610780916924,90.74510373234504,81.4902074646901,57.39982205906211,47.90266069833669,100.0,61.14596579112963,79.17648339777637,83.15583453939496,54.48369000704547,56.90009613627778,100.0,57.21174088873189,83.80393153160384,100.0,57.46270058476025,55.79636376831898,83.80393153160384,86.11765559851757,52.63924952848784,57.46270058476025,65.76001060657772,57.21174088873189,83.80393153160384,57.21174088873189,65.29413899629394,81.4902074646901,53.609976705740166,95.37255186617253,81.4902074646901,95.37255186617253,56.46754146080411,57.46270058476025,88.43137966543131,83.80393153160384
pjmedia,88.43137966543131,95.37255186617253,58.80531416156176,65.52628782920067,65.52628782920067,58.80531416156176,95.37255186617253,88.43137966543131,97.68627593308626,63.125306229268496,54.48369000704547,88.43137966543131,100.0,97.68627593308626,57.46270058476025,76.74736090592295,79.17648339777637,96.72790004498155,64.3806707432277,88.43137966543131,100.0,97.68627593308626,55.73585225986386,65.52628782920067,63.125306229268496,97.68627593308626,92.68336207140476,53.66771166687151,57.21174088873189,100.0,90.74510373234504,58.48170600064711,53.609976705740166,86.11765559851757,53.609976705740166,56.46754146080411,100.0,55.917635975515644,65.83827354181504,80.36740026988936,95.37255186617253,52.63924952848784,57.21174088873189,85.36672414280952,52.92267966487727,100.0,95.37255186617253,88.43137966543131,55.254706084068175,55.917635975515644,54.48369000704547,100.0,90.74510373234504,52.92267966487727,56.46754146080411,57.21174088873189,100.0,63.125306229268496,67.85671799335888,63.125306229268496,53.66771166687151,63.784489936425274,62.69232042819978,55.73585225986386,62.052103792799485,80.09659299822333,63.784489936425274,63.125306229268496,67.85671799335888,63.125306229268496,67.85671799335888,66.7918123663747,64.08134338628993,78.66851810318029,56.77606737954388,64.08134338628993,56.77606737954388,71.7573984977559,63.784489936425274
