,aljazeera,alternet,ap,atlantic,breitbart,buzzfeed,cbs,cnn,commondreams,conversation,counterpunch,dailycaller,dailykos,dailymail,economist,federalist,fox,guardian,huffingtonpost,intercept,motherjones,nbc,npr,nypost,nytimes,pjmedia,rawstory,redstate,usatoday,vox,wapo,wsj
counterpunch,73.31683237152104,60.66669086246645,51.41179459481151,85.18493734841294,85.18493734841294,51.41179459481151,60.66669086246645,73.31683237152104,51.85452095955154,17.124742225572952,100.0,77.21246067237321,77.21246067237321,68.52995033852136,22.741015089087092,29.100306098763163,17.124742225572952,81.4902074646901,90.74510373234504,79.30542282081444,49.89304800613361,51.85452095955154,84.47906711561083,78.92097056791478,86.11765559851757,73.31683237152104,62.549104241049825,89.65271141040722,60.66669086246645,82.22794822168429,51.41179459481151,85.18493734841294
dailycaller,62.549104241049825,82.22794822168429,85.18493734841294,36.890021557482775,36.890021557482775,85.18493734841294,82.22794822168429,62.549104241049825,84.47906711561083,81.4902074646901,77.21246067237321,100.0,68.52995033852136,15.588699417951801,89.65271141040722,71.85233188065581,89.65271141040722,36.63605683543767,77.21246067237321,77.21246067237321,68.52995033852136,22.741015089087092,29.100306098763163,17.124742225572952,81.4902074646901,90.74510373234504,79.30542282081444,49.89304800613361,51.85452095955154,84.47906711561083,78.92097056791478,86.11765559851757
dailykos,89.65271141040722,51.41179459481151,36.890021557482775,62.90818152397119,62.90818152397119,36.890021557482775,51.41179459481151,89.65271141040722,78.92097056791478,90.74510373234504,77.21246067237321,68.52995033852136,100.0,45.149609750772925,68.52995033852136,71.85233188065581,22.498877538003505,68.52995033852136,55.07560479208904,60.66669086246645,68.52995033852136,15.588699417951801,89.65271141040722,71.85233188065581,89.65271141040722,36.63605683543767,77.21246067237321,77.21246067237321,68.52995033852136,22.741015089087092,29.100306098763163,17.124742225572952
dailymail,60.66669086246645,85.18493734841294,62.90818152397119,71.7573984977559,71.7573984977559,62.90818152397119,85.18493734841294,60.66669086246645,86.11765559851757,79.30542282081444,68.52995033852136,15.588699417951801,45.149609750772925,100.0,79.30542282081444,70.73344828561903,84.47906711561083,53.15065834289135,60.66669086246645,19.55024710479617,53.15065834289135,41.01137916868797,45.149609750772925,68.52995033852136,71.85233188065581,22.498877538003505,68.52995033852136,55.07560479208904,60.66669086246645,68.52995033852136,15.588699417951801,89.65271141040722
economist,82.22794822168429,36.890021557482775,71.7573984977559,44.23013024409141,44.23013024409141,71.7573984977559,36.890021557482775,82.22794822168429,73.31683237152104,49.89304800613361,22.741015089087092,89.65271141040722,68.52995033852136,79.30542282081444,100.0,68.87202625507615,78.66851810318029,62.052103792799485,59.5263588036405,71.380813850743,70.36987469682589,97.68627593308626,35.75508585439609,79.30542282081444,79.30542282081444,70.73344828561903,84.47906711561083,53.15065834289135,60.66669086246645,19.55024710479617,53.15065834289135,41.01137916868797
federalist,51.41179459481151,62.90818152397119,44.23013024409141,72.13907281903028,72.13907281903028,44.23013024409141,62.90818152397119,51.41179459481151,62.549104241049825,51.85452095955154,29.100306098763163,71.85233188065581,71.85233188065581,70.73344828561903,68.87202625507615,100.0,52.75241755275506,66.4709528596274,66.4709528596274,62.26430245273031,85.9261659403279,48.00551832937459,58.09667494143695,58.80531416156176,86.11765559851757,40.830154100153656,68.87202625507615,78.66851810318029,62.052103792799485,59.5263588036405,71.380813850743,70.36987469682589
fox,85.18493734841294,71.7573984977559,72.13907281903028,83.31549847893488,83.31549847893488,72.13907281903028,71.7573984977559,85.18493734841294,89.65271141040722,84.47906711561083,17.124742225572952,89.65271141040722,22.498877538003505,84.47906711561083,78.66851810318029,52.75241755275506,100.0,86.31182382406062,41.42118543312815,78.05008621421428,72.81989643179065,69.8327289960014,65.60401895893501,69.13107076215275,46.33357052025051,56.77606737954388,61.14596579112963,68.52995033852136,52.75241755275506,66.4709528596274,66.4709528596274,62.26430245273031
guardian,36.890021557482775,44.23013024409141,83.31549847893488,69.74413182725523,69.74413182725523,83.31549847893488,44.23013024409141,36.890021557482775,60.66669086246645,78.92097056791478,81.4902074646901,36.63605683543767,68.52995033852136,53.15065834289135,62.052103792799485,66.4709528596274,86.31182382406062,100.0,32.90200205950161,59.394307421159766,73.61948678444523,41.056772496558324,47.18826617955006,33.86633481928023,79.04833747071848,76.06665215256554,86.50878626788017,63.4168103570238,75.18807360060848,71.66278315232111,86.31182382406062,41.42118543312815
huffingtonpost,62.90818152397119,72.13907281903028,69.74413182725523,62.62064374430807,62.62064374430807,69.74413182725523,72.13907281903028,62.90818152397119,82.22794822168429,86.11765559851757,90.74510373234504,77.21246067237321,55.07560479208904,60.66669086246645,59.5263588036405,66.4709528596274,41.42118543312815,32.90200205950161,100.0,69.56771127565096,67.1158024321894,97.68627593308626,37.52945019332908,76.17875275875589,78.05008621421428,67.77355282975994,60.53082410507648,62.62064374430807,63.5634369576612,58.0328465342071,39.79869600962677,42.94898785164251
intercept,71.7573984977559,83.31549847893488,62.62064374430807,72.62364764812122,72.62364764812122,62.62064374430807,83.31549847893488,71.7573984977559,51.41179459481151,73.31683237152104,79.30542282081444,77.21246067237321,60.66669086246645,19.55024710479617,71.380813850743,62.26430245273031,78.05008621421428,59.394307421159766,69.56771127565096,100.0,27.93947345403748,42.156898327156554,62.69232042819978,64.68253490875809,24.422282154794406,70.73344828561903,86.91160017992622,72.23531119703514,60.395423447030225,85.00535427466639,68.44501077874139,88.43137966543131
