,aljazeera,alternet,ap,atlantic,breitbart,buzzfeed,cbs,cnn,commondreams,conversation,dailycaller,dailykos,dailymail,dailywire,economist,federalist,fox,guardian,huffingtonpost,infowars,lewrockwell,motherjones,nationalreview,nbc,npr,nypost,nytimes,pjmedia,rawstory,redstate,rt,slate,spectator,townhall,truthdig,usatoday,vice,vox,wapo,wsj
dailycaller,74.5490352639489,73.61948678444523,93.0588277992588,91.34283725407558,91.34283725407558,93.0588277992588,73.61948678444523,74.5490352639489,90.74510373234504,76.74736090592295,100.0,95.37255186617253,83.63950022490779,95.37255186617253,76.74736090592295,93.0588277992588,76.74736090592295,83.63950022490779,100.0,83.63950022490779,76.29138340031912,90.74510373234504,79.04833747071848,74.13177852601804,76.74736090592295,74.5490352639489,100.0,73.72114617304926,73.61948678444523,84.47906711561083,93.0588277992588,91.34283725407558,80.78076445356649,83.63950022490779,61.701051948629946,83.80393153160384,74.5490352639489,71.7573984977559,83.15583453939496,90.18370013494467
dailykos,100.0,84.47906711561083,91.34283725407558,80.78076445356649,80.78076445356649,91.34283725407558,84.47906711561083,100.0,79.04833747071848,83.63950022490779,95.37255186617253,100.0,89.65271141040722,84.47906711561083,86.91160017992622,90.18370013494467,86.91160017992622,76.74736090592295,95.37255186617253,83.63950022490779,95.37255186617253,76.74736090592295,93.0588277992588,76.74736090592295,83.63950022490779,100.0,83.63950022490779,76.29138340031912,90.74510373234504,79.04833747071848,74.13177852601804,76.74736090592295,74.5490352639489,100.0,73.72114617304926,73.61948678444523,84.47906711561083,93.0588277992588,91.34283725407558,80.78076445356649
dailymail,73.72114617304926,93.0588277992588,80.78076445356649,83.63950022490779,83.63950022490779,80.78076445356649,93.0588277992588,73.72114617304926,74.13177852601804,100.0,83.63950022490779,89.65271141040722,100.0,100.0,95.37255186617253,93.45580008996312,80.23153290665772,89.65271141040722,86.50878626788017,89.65271141040722,89.65271141040722,84.47906711561083,86.91160017992622,90.18370013494467,86.91160017992622,76.74736090592295,95.37255186617253,83.63950022490779,95.37255186617253,76.74736090592295,93.0588277992588,76.74736090592295,83.63950022490779,100.0,83.63950022490779,76.29138340031912,90.74510373234504,79.04833747071848,74.13177852601804,76.74736090592295
dailywire,73.61948678444523,91.34283725407558,83.63950022490779,61.701051948629946,61.701051948629946,83.63950022490779,91.34283725407558,73.61948678444523,76.74736090592295,83.63950022490779,95.37255186617253,84.47906711561083,100.0,100.0,85.18493734841294,95.9925123614105,89.65271141040722,86.91160017992622,95.37255186617253,76.74736090592295,100.0,83.63950022490779,100.0,95.37255186617253,93.45580008996312,80.23153290665772,89.65271141040722,86.50878626788017,89.65271141040722,89.65271141040722,84.47906711561083,86.91160017992622,90.18370013494467,86.91160017992622,76.74736090592295,95.37255186617253,83.63950022490779,95.37255186617253,76.74736090592295,93.0588277992588
economist,84.47906711561083,80.78076445356649,61.701051948629946,83.80393153160384,83.80393153160384,61.701051948629946,80.78076445356649,84.47906711561083,74.5490352639489,76.29138340031912,76.74736090592295,86.91160017992622,95.37255186617253,85.18493734841294,100.0,93.0588277992588,90.460271283581,93.0588277992588,95.9925123614105,87.97753708423154,86.31182382406062,92.32624540163198,78.54340569959523,95.9925123614105,85.18493734841294,95.9925123614105,89.65271141040722,86.91160017992622,95.37255186617253,76.74736090592295,100.0,83.63950022490779,100.0,95.37255186617253,93.45580008996312,80.23153290665772,89.65271141040722,86.50878626788017,89.65271141040722,89.65271141040722
federalist,93.0588277992588,83.63950022490779,83.80393153160384,74.5490352639489,74.5490352639489,83.80393153160384,83.63950022490779,93.0588277992588,100.0,90.74510373234504,93.0588277992588,90.18370013494467,93.45580008996312,95.9925123614105,93.0588277992588,100.0,76.29138340031912,96.72790004498155,82.99766989139266,96.72790004498155,94.33255663046423,93.0588277992588,90.460271283581,90.460271283581,91.65774923946745,83.63950022490779,93.0588277992588,90.460271283581,93.0588277992588,95.9925123614105,87.97753708423154,86.31182382406062,92.32624540163198,78.54340569959523,95.9925123614105,85.18493734841294,95.9925123614105,89.65271141040722,86.91160017992622,95.37255186617253
fox,91.34283725407558,61.701051948629946,74.5490352639489,71.7573984977559,71.7573984977559,74.5490352639489,61.701051948629946,91.34283725407558,73.72114617304926,79.04833747071848,76.74736090592295,86.91160017992622,80.23153290665772,89.65271141040722,90.460271283581,76.29138340031912,100.0,95.37255186617253,75.84401156437751,90.74510373234504,82.37920247680829,90.74510373234504,92.32624540163198,97.68627593308626,96.72790004498155,87.32721136708753,85.00535427466639,92.68336207140476,76.29138340031912,96.72790004498155,82.99766989139266,96.72790004498155,94.33255663046423,93.0588277992588,90.460271283581,90.460271283581,91.65774923946745,83.63950022490779,93.0588277992588,90.460271283581
guardian,80.78076445356649,83.80393153160384,71.7573984977559,83.15583453939496,83.15583453939496,71.7573984977559,83.80393153160384,80.78076445356649,73.61948678444523,74.13177852601804,83.63950022490779,76.74736090592295,89.65271141040722,86.91160017992622,93.0588277992588,96.72790004498155,95.37255186617253,100.0,89.65271141040722,85.36672414280952,90.460271283581,86.11765559851757,96.72790004498155,86.11765559851757,88.2022758337376,88.43137966543131,87.97753708423154,90.74510373234504,95.37255186617253,90.74510373234504,95.37255186617253,75.84401156437751,90.74510373234504,82.37920247680829,90.74510373234504,92.32624540163198,97.68627593308626,96.72790004498155,87.32721136708753,85.00535427466639
huffingtonpost,83.63950022490779,74.5490352639489,83.15583453939496,90.18370013494467,90.18370013494467,83.15583453939496,74.5490352639489,83.63950022490779,84.47906711561083,76.74736090592295,100.0,95.37255186617253,86.50878626788017,95.37255186617253,95.9925123614105,82.99766989139266,75.84401156437751,89.65271141040722,100.0,89.65271141040722,86.91160017992622,95.37255186617253,76.74736090592295,100.0,83.63950022490779,100.0,83.31549847893488,85.73724696291063,93.0588277992588,87.97753708423154,86.11765559851757,86.91160017992622,89.65271141040722,85.36672414280952,90.460271283581,86.11765559851757,96.72790004498155,86.11765559851757,88.2022758337376,88.43137966543131
infowars,61.701051948629946,71.7573984977559,90.18370013494467,76.40455166747519,76.40455166747519,90.18370013494467,71.7573984977559,61.701051948629946,93.0588277992588,74.5490352639489,83.63950022490779,83.63950022490779,89.65271141040722,76.74736090592295,87.97753708423154,96.72790004498155,90.74510373234504,85.36672414280952,89.65271141040722,100.0,100.0,89.65271141040722,86.91160017992622,95.37255186617253,76.74736090592295,100.0,83.63950022490779,100.0,86.11765559851757,90.74510373234504,96.72790004498155,93.0588277992588,95.9925123614105,100.0,89.65271141040722,86.91160017992622,95.37255186617253,76.74736090592295,100.0,83.63950022490779
