,aljazeera,alternet,americanconservative,americanspectator,ap,atlantic,axios,bbc,breitbart,businessinsider,buzzfeed,canary,cbs,cnbc,cnn,commondreams,conversation,counterpunch,dailycaller,dailykos,dailymail,dailywire,economist,federalist,fivethirtyeight,fox,guardian,huffingtonpost,independent,infowars,intercept,jacobinmag,jpost,lewrockwell,mintpress,motherjones,msnbc,nationalreview,nbc,newyorker,npr,nypost,nytimes,opednews,pjmedia,propublica,psychologytoday,rawstory,redstate,reuters,rt,shadowproof,slate,snopes,spectator,time,townhall,truthdig,usatoday,verge,veteranstoday,vice,vox,wapo,wsj
economist,93.0588277992588,90.18370013494467,86.91160017992622,72.23531119703514,72.23531119703514,86.91160017992622,90.18370013494467,93.0588277992588,88.43137966543131,77.09530031487091,73.51821764733582,71.85233188065581,100.0,67.19729994922696,83.63950022490779,79.30542282081444,79.30542282081444,90.460271283581,85.18493734841294,86.11765559851757,72.0431657292691,90.18370013494467,100.0,80.09659299822333,90.18370013494467,77.09530031487091,70.18975069548344,80.09659299822333,77.09530031487091,67.85671799335888,71.85233188065581,77.09530031487091,100.0,83.15583453939496,82.37920247680829,83.63950022490779,83.15583453939496,90.460271283581,77.09530031487091,80.09659299822333,90.18370013494467,77.09530031487091,70.18975069548344,80.09659299822333,77.09530031487091,67.85671799335888,71.85233188065581,77.09530031487091,100.0,83.15583453939496,95.37255186617253,88.43137966543131,81.92923735624956,90.74510373234504,81.4902074646901,90.74510373234504,90.74510373234504,72.0431657292691,81.4902074646901,90.74510373234504,85.18493734841294,88.2022758337376,90.74510373234504,82.37920247680829,88.43137966543131
federalist,100.0,77.09530031487091,72.23531119703514,79.17648339777637,79.17648339777637,72.23531119703514,77.09530031487091,100.0,79.17648339777637,100.0,79.17648339777637,85.18493734841294,77.09530031487091,72.23531119703514,100.0,86.91160017992622,72.23531119703514,82.68567450815114,79.17648339777637,81.92923735624956,81.4902074646901,77.09530031487091,80.09659299822333,100.0,69.65579333803032,79.82942121817015,79.82942121817015,69.65579333803032,75.73345726396644,79.82942121817015,69.65579333803032,62.90818152397119,68.78615581953284,69.65579333803032,84.30755988829243,80.23153290665772,100.0,82.37920247680829,83.63950022490779,83.15583453939496,90.460271283581,77.09530031487091,80.09659299822333,90.18370013494467,77.09530031487091,70.18975069548344,80.09659299822333,77.09530031487091,67.85671799335888,71.85233188065581,77.09530031487091,100.0,83.15583453939496,82.37920247680829,83.63950022490779,83.15583453939496,90.460271283581,77.09530031487091,80.09659299822333,90.18370013494467,77.09530031487091,70.18975069548344,80.09659299822333,77.09530031487091,67.85671799335888
fivethirtyeight,72.23531119703514,86.91160017992622,79.17648339777637,100.0,100.0,79.17648339777637,86.91160017992622,72.23531119703514,100.0,72.23531119703514,100.0,77.09530031487091,79.17648339777637,69.92158713012141,77.09530031487091,77.21246067237321,62.836088514306134,72.23531119703514,83.15583453939496,88.2022758337376,90.74510373234504,70.18975069548344,90.18370013494467,69.65579333803032,100.0,90.460271283581,82.99766989139266,74.02851176222671,91.34283725407558,82.99766989139266,80.36740026988936,74.02851176222671,82.99766989139266,72.7215955555241,73.21670756334608,82.99766989139266,88.2022758337376,79.17648339777637,84.30755988829243,84.30755988829243,75.95507416846307,78.2953443453301,80.23153290665772,91.65774923946745,69.65579333803032,79.82942121817015,79.82942121817015,69.65579333803032,75.73345726396644,79.82942121817015,69.65579333803032,62.90818152397119,68.78615581953284,69.65579333803032,84.30755988829243,80.23153290665772,100.0,82.37920247680829,83.63950022490779,83.15583453939496,90.460271283581,77.09530031487091,80.09659299822333,90.18370013494467,77.09530031487091
fox,90.18370013494467,72.23531119703514,100.0,79.17648339777637,79.17648339777637,100.0,72.23531119703514,90.18370013494467,78.54340569959523,100.0,88.43137966543131,79.17648339777637,88.43137966543131,80.09659299822333,79.17648339777637,79.04833747071848,100.0,86.91160017992622,100.0,86.11765559851757,85.18493734841294,80.09659299822333,77.09530031487091,79.82942121817015,90.460271283581,100.0,90.460271283581,74.13177852601804,75.08042916287204,89.65271141040722,76.86275933086262,75.08042916287204,62.26430245273031,89.65271141040722,75.08042916287204,76.74736090592295,88.2022758337376,75.08042916287204,73.61948678444523,90.460271283581,82.37920247680829,88.2022758337376,88.2022758337376,84.30755988829243,82.99766989139266,79.17648339777637,90.460271283581,82.99766989139266,74.02851176222671,91.34283725407558,82.99766989139266,80.36740026988936,74.02851176222671,82.99766989139266,72.7215955555241,73.21670756334608,82.99766989139266,88.2022758337376,79.17648339777637,84.30755988829243,84.30755988829243,75.95507416846307,78.2953443453301,80.23153290665772,91.65774923946745
guardian,77.09530031487091,79.17648339777637,79.17648339777637,72.23531119703514,72.23531119703514,79.17648339777637,79.17648339777637,77.09530031487091,93.0588277992588,71.85233188065581,67.85671799335888,83.15583453939496,88.43137966543131,72.23531119703514,62.836088514306134,86.91160017992622,72.23531119703514,100.0,76.74736090592295,83.63950022490779,88.2022758337376,77.09530031487091,70.18975069548344,79.82942121817015,82.99766989139266,90.460271283581,100.0,86.11765559851757,93.0588277992588,79.69715371057988,72.23531119703514,100.0,79.30542282081444,72.23531119703514,62.836088514306134,100.0,72.23531119703514,69.92158713012141,80.09659299822333,72.23531119703514,80.09659299822333,93.0588277992588,70.9169394469065,73.01757253576034,73.61948678444523,73.61948678444523,83.31549847893488,86.91160017992622,90.460271283581,74.13177852601804,75.08042916287204,89.65271141040722,76.86275933086262,75.08042916287204,62.26430245273031,89.65271141040722,75.08042916287204,76.74736090592295,88.2022758337376,75.08042916287204,73.61948678444523,90.460271283581,82.37920247680829,88.2022758337376,88.2022758337376
huffingtonpost,86.91160017992622,100.0,72.23531119703514,72.23531119703514,72.23531119703514,72.23531119703514,100.0,86.91160017992622,100.0,88.43137966543131,80.09659299822333,100.0,67.85671799335888,80.09659299822333,72.81989643179065,90.18370013494467,69.92158713012141,72.81989643179065,79.69715371057988,93.0588277992588,90.74510373234504,67.85671799335888,80.09659299822333,69.65579333803032,74.02851176222671,74.13177852601804,86.11765559851757,100.0,90.74510373234504,86.11765559851757,79.17648339777637,76.74736090592295,100.0,72.23531119703514,86.91160017992622,100.0,72.81989643179065,72.23531119703514,100.0,88.43137966543131,83.63950022490779,100.0,77.09530031487091,79.17648339777637,89.65271141040722,74.02851176222671,79.82942121817015,80.09659299822333,80.09659299822333,81.4902074646901,86.11765559851757,93.0588277992588,79.69715371057988,72.23531119703514,100.0,79.30542282081444,72.23531119703514,62.836088514306134,100.0,72.23531119703514,69.92158713012141,80.09659299822333,72.23531119703514,80.09659299822333,93.0588277992588
independent,72.23531119703514,79.17648339777637,72.23531119703514,72.23531119703514,72.23531119703514,72.23531119703514,79.17648339777637,72.23531119703514,72.23531119703514,79.17648339777637,77.09530031487091,78.17237080795053,76.17875275875589,93.0588277992588,67.03450639325088,85.18493734841294,80.09659299822333,72.23531119703514,87.54021458143603,82.68567450815114,82.37920247680829,71.85233188065581,77.09530031487091,75.73345726396644,91.34283725407558,75.08042916287204,93.0588277992588,90.74510373234504,100.0,77.09530031487091,90.74510373234504,86.11765559851757,79.17648339777637,76.74736090592295,100.0,72.23531119703514,86.91160017992622,100.0,72.81989643179065,72.23531119703514,100.0,88.43137966543131,83.63950022490779,100.0,77.09530031487091,79.17648339777637,72.23531119703514,75.08042916287204,82.99766989139266,69.65579333803032,77.09530031487091,77.09530031487091,90.74510373234504,86.11765559851757,79.17648339777637,76.74736090592295,100.0,72.23531119703514,86.91160017992622,100.0,72.81989643179065,72.23531119703514,100.0,88.43137966543131,83.63950022490779
infowars,79.17648339777637,72.23531119703514,72.23531119703514,100.0,100.0,72.23531119703514,72.23531119703514,79.17648339777637,90.18370013494467,100.0,100.0,73.51821764733582,83.63950022490779,88.43137966543131,65.83827354181504,72.81989643179065,72.23531119703514,100.0,76.74736090592295,79.17648339777637,88.43137966543131,77.09530031487091,67.85671799335888,79.82942121817015,82.99766989139266,89.65271141040722,79.69715371057988,86.11765559851757,77.09530031487091,100.0,80.09659299822333,80.09659299822333,81.4902074646901,86.11765559851757,93.0588277992588,79.69715371057988,72.23531119703514,100.0,79.30542282081444,72.23531119703514,62.836088514306134,100.0,72.23531119703514,69.92158713012141,80.09659299822333,72.23531119703514,80.09659299822333,93.0588277992588,100.0,72.23531119703514,75.08042916287204,82.99766989139266,69.65579333803032,77.09530031487091,77.09530031487091,90.74510373234504,86.11765559851757,79.17648339777637,76.74736090592295,100.0,72.23531119703514,86.91160017992622,100.0,72.81989643179065,72.23531119703514
intercept,100.0,72.23531119703514,100.0,76.86275933086262,76.86275933086262,100.0,72.23531119703514,100.0,77.09530031487091,78.54340569959523,72.23531119703514,79.17648339777637,71.85233188065581,83.63950022490779,72.81989643179065,72.23531119703514,80.09659299822333,88.43137966543131,78.17237080795053,93.0588277992588,93.0588277992588,100.0,71.85233188065581,69.65579333803032,80.36740026988936,76.86275933086262,72.23531119703514,79.17648339777637,90.74510373234504,80.09659299822333,100.0,80.23153290665772,83.15583453939496,83.15583453939496,88.43137966543131,93.0588277992588,100.0,82.68567450815114,79.17648339777637,93.0588277992588,85.18493734841294,79.17648339777637,67.19729994922696,93.0588277992588,79.17648339777637,76.17875275875589,85.18493734841294,79.17648339777637,83.15583453939496,100.0,72.23531119703514,72.23531119703514,100.0,89.65271141040722,74.02851176222671,79.82942121817015,80.09659299822333,80.09659299822333,81.4902074646901,86.11765559851757,93.0588277992588,79.69715371057988,72.23531119703514,100.0,79.30542282081444
jacobinmag,79.17648339777637,72.23531119703514,76.86275933086262,72.23531119703514,72.23531119703514,76.86275933086262,72.23531119703514,79.17648339777637,86.91160017992622,93.0588277992588,100.0,100.0,85.18493734841294,100.0,70.18975069548344,100.0,93.0588277992588,83.63950022490779,79.69715371057988,85.18493734841294,83.15583453939496,83.15583453939496,77.09530031487091,62.90818152397119,74.02851176222671,75.08042916287204,100.0,76.74736090592295,86.11765559851757,80.09659299822333,80.23153290665772,100.0,84.30755988829243,75.95507416846307,82.37920247680829,82.37920247680829,100.0,95.37255186617253,88.43137966543131,81.92923735624956,90.74510373234504,81.4902074646901,90.74510373234504,90.74510373234504,72.0431657292691,81.4902074646901,90.74510373234504,85.18493734841294,88.2022758337376,90.74510373234504,82.37920247680829,88.43137966543131,93.0588277992588,79.17648339777637,79.17648339777637,93.0588277992588,90.460271283581,79.17648339777637,80.23153290665772,83.15583453939496,83.15583453939496,88.43137966543131,93.0588277992588,100.0,82.68567450815114
jpost,72.23531119703514,100.0,72.23531119703514,80.36740026988936,80.36740026988936,72.23531119703514,100.0,72.23531119703514,72.23531119703514,100.0,71.85233188065581,88.43137966543131,77.09530031487091,77.09530031487091,67.19729994922696,88.43137966543131,86.91160017992622,100.0,76.74736090592295,79.17648339777637,86.11765559851757,95.37255186617253,100.0,68.78615581953284,82.99766989139266,62.26430245273031,79.30542282081444,100.0,79.17648339777637,81.4902074646901,83.15583453939496,84.30755988829243,100.0,74.13177852601804,77.92847911309141,85.18493734841294,88.43137966543131,88.43137966543131,75.40477579827355,78.66851810318029,82.37920247680829,85.00535427466639,67.85671799335888,83.80393153160384,80.23153290665772,67.85671799335888,63.343716998149176,83.80393153160384,67.85671799335888,60.734800539778696,67.85671799335888,67.85671799335888,88.43137966543131,82.37920247680829,88.43137966543131,81.4902074646901,90.74510373234504,90.74510373234504,81.4902074646901,83.31549847893488,84.30755988829243,75.95507416846307,82.37920247680829,82.37920247680829,100.0
lewrockwell,72.23531119703514,76.86275933086262,80.36740026988936,80.09659299822333,80.09659299822333,80.36740026988936,76.86275933086262,72.23531119703514,79.17648339777637,72.23531119703514,88.43137966543131,67.85671799335888,79.17648339777637,79.17648339777637,72.23531119703514,83.63950022490779,73.61948678444523,77.09530031487091,68.44501077874139,67.19729994922696,86.11765559851757,88.43137966543131,83.15583453939496,69.65579333803032,72.7215955555241,89.65271141040722,72.23531119703514,72.23531119703514,76.74736090592295,86.11765559851757,83.15583453939496,75.95507416846307,74.13177852601804,100.0,83.63950022490779,92.68336207140476,72.0431657292691,70.18975069548344,72.23531119703514,72.23531119703514,86.50878626788017,88.2022758337376,87.54021458143603,72.91855412056492,80.09659299822333,83.63950022490779,78.05008621421428,80.09659299822333,64.30560358039135,83.63950022490779,80.09659299822333,83.80393153160384,95.37255186617253,80.09659299822333,72.23531119703514,87.54021458143603,75.40477579827355,82.37920247680829,83.80393153160384,67.85671799335888,67.85671799335888,83.80393153160384,74.13177852601804,77.92847911309141,85.18493734841294
mintpress,72.23531119703514,72.23531119703514,80.09659299822333,67.85671799335888,67.85671799335888,80.09659299822333,72.23531119703514,72.23531119703514,100.0,90.18370013494467,79.17648339777637,80.09659299822333,83.15583453939496,88.43137966543131,69.92158713012141,100.0,79.30542282081444,79.17648339777637,72.52604893445367,93.0588277992588,89.65271141040722,81.92923735624956,82.37920247680829,84.30755988829243,73.21670756334608,75.08042916287204,62.836088514306134,86.91160017992622,100.0,93.0588277992588,88.43137966543131,82.37920247680829,77.92847911309141,83.63950022490779,100.0,80.36740026988936,65.99533978278531,64.45589644336856,90.18370013494467,76.86275933086262,78.54340569959523,78.54340569959523,78.2953443453301,75.95507416846307,71.380813850743,83.15583453939496,80.36740026988936,65.99533978278531,82.68567450815114,80.36740026988936,87.32721136708753,65.99533978278531,80.36740026988936,71.00912053632923,68.78615581953284,80.36740026988936,78.54340569959523,71.380813850743,69.92158713012141,86.50878626788017,87.54021458143603,83.63950022490779,80.09659299822333,80.09659299822333,83.63950022490779
motherjones,100.0,80.36740026988936,67.85671799335888,90.74510373234504,90.74510373234504,67.85671799335888,80.36740026988936,100.0,79.17648339777637,77.09530031487091,100.0,77.09530031487091,100.0,88.43137966543131,80.09659299822333,77.09530031487091,86.91160017992622,79.30542282081444,76.74736090592295,79.17648339777637,86.11765559851757,90.74510373234504,83.63950022490779,80.23153290665772,82.99766989139266,76.74736090592295,100.0,100.0,72.23531119703514,79.69715371057988,93.0588277992588,82.37920247680829,85.18493734841294,92.68336207140476,80.36740026988936,100.0,72.23531119703514,72.23531119703514,100.0,89.65271141040722,74.02851176222671,79.82942121817015,80.09659299822333,80.09659299822333,81.4902074646901,86.11765559851757,93.0588277992588,79.69715371057988,72.23531119703514,100.0,79.30542282081444,72.23531119703514,62.836088514306134,100.0,72.23531119703514,69.92158713012141,80.09659299822333,72.23531119703514,80.09659299822333,93.0588277992588,66.7918123663747,68.87202625507615,78.2953443453301,71.380813850743,65.99533978278531
msnbc,76.86275933086262,80.09659299822333,90.74510373234504,79.17648339777637,79.17648339777637,90.74510373234504,80.09659299822333,76.86275933086262,72.23531119703514,86.91160017992622,78.54340569959523,100.0,78.17237080795053,67.85671799335888,72.23531119703514,79.17648339777637,77.21246067237321,72.23531119703514,90.460271283581,76.17875275875589,70.55110040483402,81.4902074646901,83.15583453939496,100.0,88.2022758337376,88.2022758337376,72.23531119703514,72.81989643179065,86.91160017992622,72.23531119703514,100.0,100.0,88.43137966543131,72.0431657292691,65.99533978278531,72.23531119703514,100.0,95.37255186617253,76.86275933086262,76.86275933086262,95.37255186617253,90.74510373234504,77.56761289040577,80.36740026988936,82.37920247680829,82.37920247680829,86.11765559851757,90.74510373234504,97.68627593308626,81.92923735624956,76.86275933086262,95.37255186617253,83.31549847893488,76.86275933086262,65.83827354181504,95.37255186617253,76.86275933086262,74.13177852601804,83.63950022490779,76.86275933086262,82.37920247680829,97.68627593308626,65.99533978278531,83.63950022490779,83.80393153160384
nationalreview,72.23531119703514,67.85671799335888,79.17648339777637,72.23531119703514,72.23531119703514,79.17648339777637,67.85671799335888,72.23531119703514,72.23531119703514,72.23531119703514,93.0588277992588,72.23531119703514,73.51821764733582,76.17875275875589,80.09659299822333,62.836088514306134,79.04833747071848,62.836088514306134,82.68567450815114,85.18493734841294,86.11765559851757,90.74510373234504,90.460271283581,82.37920247680829,79.17648339777637,75.08042916287204,69.92158713012141,72.23531119703514,100.0,100.0,82.68567450815114,95.37255186617253,88.43137966543131,70.18975069548344,64.45589644336856,72.23531119703514,95.37255186617253,100.0,79.17648339777637,72.23531119703514,100.0,100.0,72.23531119703514,75.08042916287204,82.99766989139266,69.65579333803032,77.09530031487091,77.09530031487091,90.74510373234504,86.11765559851757,79.17648339777637,76.74736090592295,100.0,72.23531119703514,86.91160017992622,100.0,72.81989643179065,72.23531119703514,100.0,88.43137966543131,83.63950022490779,100.0,77.09530031487091,79.17648339777637,95.37255186617253
nbc,80.36740026988936,90.74510373234504,72.23531119703514,100.0,100.0,72.23531119703514,90.74510373234504,80.36740026988936,72.23531119703514,79.17648339777637,100.0,100.0,79.17648339777637,83.63950022490779,93.0588277992588,72.81989643179065,86.91160017992622,100.0,72.23531119703514,79.17648339777637,86.11765559851757,90.74510373234504,77.09530031487091,83.63950022490779,84.30755988829243,73.61948678444523,80.09659299822333,100.0,72.81989643179065,79.30542282081444,79.17648339777637,88.43137966543131,75.40477579827355,72.23531119703514,90.18370013494467,100.0,76.86275933086262,79.17648339777637,100.0,81.4902074646901,93.0588277992588,100.0,72.23531119703514,72.23531119703514,100.0,89.65271141040722,74.02851176222671,79.82942121817015,80.09659299822333,80.09659299822333,81.4902074646901,86.11765559851757,93.0588277992588,79.69715371057988,72.23531119703514,100.0,79.30542282081444,72.23531119703514,62.836088514306134,100.0,72.23531119703514,69.92158713012141,80.09659299822333,72.23531119703514,80.09659299822333
