,aljazeera,alternet,americanconservative,antiwar,ap,atlantic,bbc,breitbart,businessinsider,buzzfeed,canary,cbs,cnn,commondreams,consortium,conversation,counterpunch,dailycaller,dailykos,dailymail,dailywire,economist,fox,globalresearch,guardian,huffingtonpost,independent,infowars,intercept,jacobinmag,lewrockwell,mintpress,motherjones,msnbc,nationalreview,nbc,newyorker,npr,nypost,nytimes,pjmedia,propublica,rawstory,redstate,reuters,rt,shadowproof,slate,spectator,time,townhall,truthdig,usatoday,vice,vox,wapo,wsj
globalresearch,19.0,18.027756377319946,12.0,20.199009876724155,20.199009876724155,12.0,18.027756377319946,19.0,24.351591323771842,10.0,18.138357147217054,0.0,9.219544457292887,4.123105625617661,4.123105625617661,3.0,4.123105625617661,14.0,0.0,8.06225774829855,12.206555615733702,0.0,3.7416573867739413,,23.0,0.0,8.06225774829855,4.123105625617661,5.0,8.306623862918075,5.0990195135927845,2.8284271247461903,0.0,0.0,6.4031242374328485,0.0,1.0,3.1622776601683795,8.06225774829855,3.7416573867739413,11.224972160321824,20.12461179749811,3.7416573867739413,9.433981132056603,1.0,3.0,9.848857801796104,6.6332495807108,3.1622776601683795,3.7416573867739413,3.7416573867739413,4.58257569495584,3.7416573867739413,3.0,8.94427190999916,4.123105625617661,11.357816691600547
guardian,19.209372712298546,19.697715603592208,20.199009876724155,19.0,19.0,20.199009876724155,19.697715603592208,19.209372712298546,14.0,20.024984394500787,18.547236990991408,6.4031242374328485,5.0990195135927845,10.04987562112089,4.47213595499958,10.246950765959598,5.0,23.0,6.4031242374328485,6.4031242374328485,8.831760866327848,3.4641016151377544,9.433981132056603,23.0,,11.0,20.0,3.0,8.246211251235321,2.8284271247461903,2.0,9.16515138991168,5.385164807134504,4.123105625617661,3.0,3.0,6.6332495807108,3.0,3.7416573867739413,4.123105625617661,6.6332495807108,6.4031242374328485,0.0,14.0,23.0,0.0,8.06225774829855,4.123105625617661,5.0,8.306623862918075,5.0990195135927845,2.8284271247461903,0.0,0.0,6.4031242374328485,0.0,1.0
huffingtonpost,1.0,12.0,19.0,19.209372712298546,19.209372712298546,19.0,12.0,1.0,19.0,19.0,19.0,0.0,2.8284271247461903,8.306623862918075,4.123105625617661,8.06225774829855,8.306623862918075,23.40939982143925,0.0,6.4031242374328485,6.0,10.770329614269007,1.0,0.0,11.0,,0.0,14.0,23.0,0.0,8.06225774829855,4.123105625617661,5.0,8.306623862918075,5.0990195135927845,2.8284271247461903,0.0,0.0,6.4031242374328485,0.0,3.0,2.23606797749979,2.8284271247461903,4.123105625617661,7.483314773547883,3.0,11.0,20.0,3.0,8.246211251235321,2.8284271247461903,2.0,9.16515138991168,5.385164807134504,4.123105625617661,3.0,3.0
independent,18.027756377319946,20.199009876724155,19.209372712298546,9.433981132056603,9.433981132056603,19.209372712298546,20.199009876724155,18.027756377319946,9.433981132056603,14.0,8.0,6.4031242374328485,2.8284271247461903,8.306623862918075,10.198039027185569,8.06225774829855,5.0990195135927845,20.199009876724155,9.0,9.16515138991168,6.6332495807108,7.54983443527075,3.0,8.06225774829855,20.0,0.0,,3.4641016151377544,4.123105625617661,13.601470508735444,22.360679774997898,4.123105625617661,4.0,6.6332495807108,5.656854249492381,4.898979485566356,1.0,6.4031242374328485,4.123105625617661,4.123105625617661,8.48528137423857,4.123105625617661,3.0,0.0,3.7416573867739413,4.123105625617661,6.6332495807108,6.4031242374328485,0.0,14.0,23.0,0.0,8.06225774829855,4.123105625617661,5.0,8.306623862918075,5.0990195135927845
infowars,19.697715603592208,19.0,9.433981132056603,14.0,14.0,9.433981132056603,19.0,19.697715603592208,19.0,9.433981132056603,18.138357147217054,18.027756377319946,4.123105625617661,10.954451150103322,6.4031242374328485,11.661903789690601,2.8284271247461903,18.0,14.0,6.4031242374328485,6.6332495807108,3.0,9.848857801796104,4.123105625617661,3.0,14.0,3.4641016151377544,,4.0,8.54400374531753,3.4641016151377544,12.328828005937952,21.18962010041709,3.4641016151377544,10.246950765959598,1.0,4.123105625617661,10.44030650891055,7.3484692283495345,2.0,3.4641016151377544,3.4641016151377544,4.123105625617661,3.4641016151377544,4.123105625617661,4.47213595499958,4.123105625617661,5.744562646538029,6.6332495807108,8.06225774829855,3.4641016151377544,4.123105625617661,13.601470508735444,22.360679774997898,4.123105625617661,4.0,6.6332495807108
intercept,12.0,19.209372712298546,14.0,14.0,14.0,14.0,19.209372712298546,12.0,19.209372712298546,24.351591323771842,23.93741840717165,5.0,2.8284271247461903,8.306623862918075,5.744562646538029,8.06225774829855,0.0,25.37715508089904,15.264337522473747,14.0,6.4031242374328485,4.123105625617661,6.6332495807108,5.0,8.246211251235321,23.0,4.123105625617661,4.0,,0.0,3.0,8.94427190999916,4.123105625617661,11.357816691600547,20.199009876724155,4.123105625617661,10.392304845413264,0.0,3.4641016151377544,10.770329614269007,7.54983443527075,3.0,4.123105625617661,4.123105625617661,4.47213595499958,4.123105625617661,6.4031242374328485,3.4641016151377544,3.0,3.4641016151377544,1.4142135623730951,1.0,4.0,8.54400374531753,3.4641016151377544,12.328828005937952,21.18962010041709
jacobinmag,20.199009876724155,9.433981132056603,14.0,10.0,10.0,14.0,9.433981132056603,20.199009876724155,1.0,14.0,10.0,34.132096331752024,0.0,7.3484692283495345,5.0,3.4641016151377544,0.0,22.561028345356956,11.357816691600547,23.0,6.6332495807108,4.123105625617661,3.1622776601683795,8.306623862918075,2.8284271247461903,0.0,13.601470508735444,8.54400374531753,0.0,,6.4031242374328485,6.6332495807108,4.123105625617661,11.832159566199232,9.0,5.0,14.0,9.0,11.313708498984761,6.6332495807108,4.0,12.96148139681572,9.433981132056603,9.433981132056603,9.0,9.0,10.198039027185569,9.0,1.0,6.6332495807108,4.123105625617661,2.8284271247461903,4.123105625617661,1.0,0.0,3.0,8.94427190999916
lewrockwell,19.0,14.0,10.0,16.24807680927192,16.24807680927192,10.0,14.0,19.0,18.027756377319946,19.0,20.024984394500787,18.138357147217054,6.4031242374328485,5.0990195135927845,5.0,10.770329614269007,6.4031242374328485,23.173260452512935,9.0,0.0,6.4031242374328485,4.47213595499958,3.7416573867739413,5.0990195135927845,2.0,8.06225774829855,22.360679774997898,3.4641016151377544,3.0,6.4031242374328485,,5.0,3.0,3.4641016151377544,3.0,8.717797887081348,5.0,9.0,18.0,5.0,8.94427190999916,3.4641016151377544,0.0,10.198039027185569,6.4031242374328485,5.744562646538029,5.0,5.0,7.483314773547883,5.0,6.6332495807108,7.54983443527075,8.94427190999916,9.0,6.0,9.0,6.4031242374328485
mintpress,19.209372712298546,14.0,16.24807680927192,17.233687939614086,17.233687939614086,16.24807680927192,14.0,19.209372712298546,19.697715603592208,9.433981132056603,19.0,18.547236990991408,0.0,5.0990195135927845,7.483314773547883,7.54983443527075,0.0,23.0,17.11724276862369,8.06225774829855,16.278820596099706,4.123105625617661,3.7416573867739413,2.8284271247461903,9.16515138991168,4.123105625617661,4.123105625617661,12.328828005937952,8.94427190999916,6.6332495807108,5.0,,2.0,5.0,3.0,3.4641016151377544,3.0,8.717797887081348,5.0,9.0,18.0,5.0,8.94427190999916,3.4641016151377544,0.0,10.198039027185569,6.4031242374328485,5.744562646538029,5.0,5.0,7.483314773547883,5.0,4.0,3.4641016151377544,4.123105625617661,5.656854249492381,5.0
motherjones,9.433981132056603,10.0,17.233687939614086,18.439088914585774,18.439088914585774,17.233687939614086,10.0,9.433981132056603,12.0,19.0,14.0,19.0,6.4031242374328485,9.219544457292887,5.0,3.0,10.392304845413264,23.0,13.92838827718412,4.123105625617661,24.819347291981714,10.63014581273465,4.58257569495584,0.0,5.385164807134504,5.0,4.0,21.18962010041709,4.123105625617661,4.123105625617661,3.0,2.0,,10.392304845413264,7.54983443527075,10.392304845413264,7.615773105863909,8.06225774829855,5.656854249492381,11.704699910719626,10.392304845413264,4.898979485566356,13.30413469565007,10.392304845413264,11.0,8.06225774829855,5.744562646538029,12.529964086141668,9.695359714832659,10.770329614269007,10.392304845413264,10.392304845413264,10.63014581273465,10.392304845413264,0.0,4.0,3.4641016151377544
msnbc,14.0,16.24807680927192,18.439088914585774,19.0,19.0,18.439088914585774,16.24807680927192,14.0,20.199009876724155,19.209372712298546,9.433981132056603,8.0,0.0,5.0990195135927845,4.123105625617661,4.123105625617661,8.94427190999916,22.891046284519195,14.2828568570857,5.0,6.4031242374328485,6.6332495807108,3.7416573867739413,0.0,4.123105625617661,8.306623862918075,6.6332495807108,3.4641016151377544,11.357816691600547,11.832159566199232,3.4641016151377544,5.0,10.392304845413264,,6.4031242374328485,2.8284271247461903,4.123105625617661,2.8284271247461903,3.1622776601683795,3.0,6.0,8.06225774829855,2.8284271247461903,14.2828568570857,23.173260452512935,2.8284271247461903,10.246950765959598,3.0,5.744562646538029,10.04987562112089,7.3484692283495345,0.0,2.8284271247461903,2.8284271247461903,4.123105625617661,2.8284271247461903,5.744562646538029
nationalreview,14.0,17.233687939614086,19.0,16.0,16.0,19.0,17.233687939614086,14.0,19.0,1.0,24.351591323771842,18.138357147217054,6.4031242374328485,2.8284271247461903,10.04987562112089,4.123105625617661,2.8284271247461903,23.0,14.0,8.306623862918075,3.4641016151377544,8.48528137423857,3.0,6.4031242374328485,3.0,5.0990195135927845,5.656854249492381,10.246950765959598,20.199009876724155,9.0,3.0,3.0,7.54983443527075,6.4031242374328485,,3.4641016151377544,4.123105625617661,0.0,3.0,0.0,3.7416573867739413,4.123105625617661,6.6332495807108,6.4031242374328485,0.0,14.0,23.0,0.0,8.06225774829855,4.123105625617661,5.0,8.306623862918075,5.0990195135927845,2.8284271247461903,0.0,0.0,6.4031242374328485
