,aljazeera,alternet,americanconservative,ap,atlantic,axios,bbc,breitbart,businessinsider,buzzfeed,canary,cbs,cnn,commondreams,consortium,conversation,counterpunch,dailycaller,dailykos,dailymail,economist,federalist,foreignaffairs,fox,globalresearch,guardian,huffingtonpost,infowars,intercept,jacobinmag,lewrockwell,mintpress,nationalreview,nbc,neweasternoutlook,npr,nypost,nytimes,opednews,pbs,pjmedia,rawstory,redstate,reuters,rt,slate,spectator,strategicculture,time,truthdig,usatoday,veteranstoday,vice,vox,wapo,wsj
dailykos,94.82635570520361,88.66511326092844,81.7817184788306,78.17237080795053,78.17237080795053,81.7817184788306,88.66511326092844,94.82635570520361,96.72790004498155,86.91160017992622,71.7573984977559,93.45580008996312,68.78615581953284,57.52567219503126,71.7573984977559,72.91855412056492,80.36740026988936,62.40643364532459,100.0,68.44501077874139,70.27967623763807,100.0,75.84401156437751,93.45580008996312,72.0431657292691,74.97324771840232,48.783534499833316,64.75840495361658,60.058929918827644,74.97324771840232,96.72790004498155,61.771004423556654,62.40643364532459,60.66669086246645,56.962244551971786,62.33530100583307,45.78771206874867,64.75840495361658,77.56761289040577,18.459689295371952,72.7215955555241,45.54140326789554,72.91855412056492,56.714186270377844,80.23153290665772,80.36740026988936,76.74736090592295,87.97753708423154,77.56761289040577,27.93947345403748,88.43137966543131,61.701051948629946,93.0588277992588,54.660453043713765,74.97324771840232,89.14767217266505
dailymail,80.78076445356649,39.93222956553256,78.17237080795053,82.99766989139266,82.99766989139266,78.17237080795053,39.93222956553256,80.78076445356649,92.68336207140476,81.7817184788306,72.91855412056492,72.0431657292691,93.0588277992588,53.84134983547821,82.99766989139266,100.0,76.74736090592295,60.66669086246645,68.44501077874139,100.0,56.77606737954388,96.72790004498155,46.985921630633634,67.1158024321894,86.31182382406062,63.71065599624735,70.36987469682589,91.65774923946745,60.66669086246645,80.23153290665772,74.97324771840232,35.838466699584046,79.04833747071848,57.52567219503126,68.44501077874139,70.27967623763807,100.0,75.84401156437751,93.45580008996312,72.0431657292691,74.97324771840232,48.783534499833316,64.75840495361658,60.058929918827644,74.97324771840232,96.72790004498155,61.771004423556654,62.40643364532459,60.66669086246645,56.962244551971786,62.33530100583307,45.78771206874867,64.75840495361658,77.56761289040577,18.459689295371952,72.7215955555241
economist,85.36672414280952,81.7817184788306,82.99766989139266,76.17875275875589,76.17875275875589,82.99766989139266,81.7817184788306,85.36672414280952,46.78434646098404,82.37920247680829,70.01070854933278,74.97324771840232,70.27967623763807,59.328442507507816,63.49005004938866,39.4440460846016,87.97753708423154,56.962244551971786,70.27967623763807,56.77606737954388,100.0,87.54021458143603,61.422510474723666,93.0588277992588,52.58276680063825,74.5490352639489,91.34283725407558,70.64213276976082,69.56771127565096,95.37255186617253,67.1158024321894,59.59254632331019,73.51821764733582,91.65774923946745,21.29936372625101,80.92054256716199,56.77606737954388,96.72790004498155,46.985921630633634,67.1158024321894,86.31182382406062,63.71065599624735,70.36987469682589,91.65774923946745,60.66669086246645,80.23153290665772,74.97324771840232,35.838466699584046,79.04833747071848,57.52567219503126,68.44501077874139,70.27967623763807,100.0,75.84401156437751,93.45580008996312,72.0431657292691
federalist,88.66511326092844,78.17237080795053,76.17875275875589,80.78076445356649,80.78076445356649,76.17875275875589,78.17237080795053,88.66511326092844,86.7086671508113,87.54021458143603,80.78076445356649,70.64213276976082,49.839657525357275,42.71488341252054,79.04833747071848,61.84108513432398,77.56761289040577,62.33530100583307,100.0,96.72790004498155,87.54021458143603,100.0,0.160728740374394,29.78314410165894,17.80578699833183,26.505109501842316,40.28977899466999,31.872710143978733,24.741701034575826,35.422639059508285,50.538228808282234,30.35728992650303,90.460271283581,74.5490352639489,64.45589644336856,75.73345726396644,95.37255186617253,27.791047907391476,87.54021458143603,61.422510474723666,93.0588277992588,52.58276680063825,74.5490352639489,91.34283725407558,70.64213276976082,69.56771127565096,95.37255186617253,67.1158024321894,59.59254632331019,73.51821764733582,91.65774923946745,21.29936372625101,80.92054256716199,56.77606737954388,96.72790004498155,46.985921630633634
foreignaffairs,39.93222956553256,82.99766989139266,80.78076445356649,25.92468674206473,25.92468674206473,80.78076445356649,82.99766989139266,39.93222956553256,94.82635570520361,80.23153290665772,77.68725314137961,71.9475865298736,76.74736090592295,61.701051948629946,81.06135229553963,23.577025103198924,27.93947345403748,45.78771206874867,75.84401156437751,46.985921630633634,61.422510474723666,0.160728740374394,100.0,46.58353196049138,81.34616021409988,58.09667494143695,78.17237080795053,42.11064234081777,66.23230894309214,53.15065834289135,40.60440033890858,56.714186270377844,32.94190571925482,46.58353196049138,25.888561251861685,28.423982100638177,31.872710143978733,19.65012269003823,39.39986077852898,30.35728992650303,0.160728740374394,29.78314410165894,17.80578699833183,26.505109501842316,40.28977899466999,31.872710143978733,24.741701034575826,35.422639059508285,50.538228808282234,30.35728992650303,90.460271283581,74.5490352639489,64.45589644336856,75.73345726396644,95.37255186617253,27.791047907391476
fox,81.7817184788306,76.17875275875589,25.92468674206473,83.80393153160384,83.80393153160384,25.92468674206473,76.17875275875589,81.7817184788306,80.78076445356649,96.72790004498155,44.182156153709926,89.14767217266505,56.03924272863898,48.00551832937459,77.56761289040577,53.15065834289135,88.43137966543131,64.75840495361658,93.45580008996312,67.1158024321894,93.0588277992588,29.78314410165894,46.58353196049138,100.0,91.65774923946745,79.17648339777637,23.08824823938471,76.17875275875589,49.25606965548075,74.02851176222671,58.5462255330243,86.11765559851757,83.80393153160384,80.92054256716199,80.09659299822333,79.17648339777637,12.658831829499906,46.383469582160494,39.84317426024282,53.15065834289135,77.21246067237321,36.42519454492241,46.58353196049138,81.34616021409988,58.09667494143695,78.17237080795053,42.11064234081777,66.23230894309214,53.15065834289135,40.60440033890858,56.714186270377844,32.94190571925482,46.58353196049138,25.888561251861685,28.423982100638177,31.872710143978733
globalresearch,78.17237080795053,80.78076445356649,83.80393153160384,11.200005787372147,11.200005787372147,83.80393153160384,80.78076445356649,78.17237080795053,85.36672414280952,92.68336207140476,86.91160017992622,70.9169394469065,54.660453043713765,68.44501077874139,67.94009889128412,35.838466699584046,61.701051948629946,77.56761289040577,72.0431657292691,86.31182382406062,52.58276680063825,17.80578699833183,81.34616021409988,91.65774923946745,100.0,51.85452095955154,89.91471060908508,84.47906711561083,18.623985877175077,76.86275933086262,48.62698864672996,81.2032168226623,52.07741789299122,78.05008621421428,89.91471060908508,73.21670756334608,80.92054256716199,84.47906711561083,41.01137916868797,32.82226584843191,78.66851810318029,73.61948678444523,86.11765559851757,52.5263512742019,91.65774923946745,79.17648339777637,23.08824823938471,76.17875275875589,49.25606965548075,74.02851176222671,58.5462255330243,86.11765559851757,83.80393153160384,80.92054256716199,80.09659299822333,79.17648339777637
guardian,82.99766989139266,25.92468674206473,11.200005787372147,64.3806707432277,64.3806707432277,11.200005787372147,25.92468674206473,82.99766989139266,88.66511326092844,46.78434646098404,81.7817184788306,71.7573984977559,75.84401156437751,87.54021458143603,88.43137966543131,22.085535286680123,93.0588277992588,18.459689295371952,74.97324771840232,63.71065599624735,74.5490352639489,26.505109501842316,58.09667494143695,79.17648339777637,51.85452095955154,100.0,1.8915515057296939,4.015302789970365,4.015302789970365,1.1576645332885827,-4.7838603391777035,3.7646532191969784,3.514654783528104,-2.5374011253957995,20.892288753960752,1.8915515057296939,-7.058190264844866,6.931905383498704,14.111271626189303,1.1576645332885827,90.18370013494467,37.059900677042734,32.108853973589135,83.80393153160384,81.4902074646901,78.05008621421428,51.85452095955154,89.91471060908508,84.47906711561083,18.623985877175077,76.86275933086262,48.62698864672996,81.2032168226623,52.07741789299122,78.05008621421428,89.91471060908508
huffingtonpost,76.17875275875589,83.80393153160384,64.3806707432277,80.23153290665772,80.23153290665772,64.3806707432277,83.80393153160384,76.17875275875589,39.93222956553256,86.7086671508113,82.37920247680829,72.91855412056492,93.45580008996312,64.91063717737747,58.93547147218183,39.79869600962677,54.660453043713765,72.7215955555241,48.783534499833316,70.36987469682589,91.34283725407558,40.28977899466999,78.17237080795053,23.08824823938471,89.91471060908508,1.8915515057296939,100.0,72.13907281903028,93.0588277992588,66.63099695786978,79.04833747071848,80.36740026988936,38.522823301504914,85.9261659403279,63.4168103570238,73.72114617304926,70.01070854933278,93.0588277992588,79.04833747071848,90.460271283581,71.7573984977559,80.36740026988936,-1.96149082020316,-1.0120098017904144,1.6735324624370662,58.0328465342071,-3.291649624870363,-1.1179479638914858,1.8915515057296939,4.015302789970365,4.015302789970365,1.1576645332885827,-4.7838603391777035,3.7646532191969784,3.514654783528104,-2.5374011253957995
infowars,80.78076445356649,11.200005787372147,80.23153290665772,69.8327289960014,69.8327289960014,80.23153290665772,11.200005787372147,80.78076445356649,81.7817184788306,94.82635570520361,87.54021458143603,70.01070854933278,72.0431657292691,68.78615581953284,60.59869892038341,15.27219549326768,74.97324771840232,45.54140326789554,64.75840495361658,91.65774923946745,70.64213276976082,31.872710143978733,42.11064234081777,76.17875275875589,84.47906711561083,4.015302789970365,72.13907281903028,100.0,76.74736090592295,74.44408238678304,76.86275933086262,45.78771206874867,91.65774923946745,77.21246067237321,14.392209524191713,70.55110040483402,42.52828644739765,74.02851176222671,50.10718125937994,76.86275933086262,83.80393153160384,71.85233188065581,81.2032168226623,77.21246067237321,3.1270506882794646,79.17648339777637,84.47906711561083,56.52907146829052,31.75494464578562,79.82942121817015,72.13907281903028,93.0588277992588,66.63099695786978,79.04833747071848,80.36740026988936,38.522823301504914
intercept,25.92468674206473,64.3806707432277,69.8327289960014,62.40643364532459,62.40643364532459,69.8327289960014,64.3806707432277,25.92468674206473,78.17237080795053,80.78076445356649,80.23153290665772,80.78076445356649,74.97324771840232,93.0588277992588,57.52567219503126,27.93947345403748,89.14767217266505,72.91855412056492,60.058929918827644,60.66669086246645,69.56771127565096,24.741701034575826,66.23230894309214,49.25606965548075,18.623985877175077,4.015302789970365,93.0588277992588,76.74736090592295,100.0,32.58362305725965,93.0588277992588,91.34283725407558,74.86652334390904,64.68253490875809,78.17237080795053,97.68627593308626,27.902338421144425,88.2022758337376,61.631227008159904,91.98502472282102,55.55481204523883,74.86652334390904,87.54021458143603,72.0431657292691,74.44408238678304,97.68627593308626,75.84401156437751,-3.937470907620111,92.68336207140476,90.74510373234504,32.543931339400835,31.872710143978733,76.74736090592295,74.44408238678304,76.86275933086262,45.78771206874867
jacobinmag,83.80393153160384,80.23153290665772,62.40643364532459,81.2032168226623,81.2032168226623,62.40643364532459,80.23153290665772,83.80393153160384,82.99766989139266,85.36672414280952,96.72790004498155,77.68725314137961,70.64213276976082,70.27967623763807,53.84134983547821,71.7573984977559,71.7573984977559,56.714186270377844,74.97324771840232,80.23153290665772,95.37255186617253,35.422639059508285,53.15065834289135,74.02851176222671,76.86275933086262,1.1576645332885827,66.63099695786978,74.44408238678304,32.58362305725965,100.0,80.92054256716199,23.22758123743107,64.98700149601824,58.09667494143695,70.55110040483402,85.9261659403279,54.95659956317457,65.29413899629394,62.33530100583307,76.86275933086262,83.80393153160384,60.32789641324954,73.72114617304926,70.55110040483402,59.460279345443624,73.21670756334608,50.809551596547095,65.29413899629394,77.09530031487091,80.23153290665772,3.376046257510057,84.30755988829243,79.04833747071848,46.53344618480014,32.58362305725965,93.0588277992588
lewrockwell,11.200005787372147,69.8327289960014,81.2032168226623,87.32721136708753,87.32721136708753,81.2032168226623,69.8327289960014,11.200005787372147,76.17875275875589,88.66511326092844,92.68336207140476,44.182156153709926,71.9475865298736,49.839657525357275,59.328442507507816,82.99766989139266,72.91855412056492,80.23153290665772,96.72790004498155,74.97324771840232,67.1158024321894,50.538228808282234,40.60440033890858,58.5462255330243,48.62698864672996,-4.7838603391777035,79.04833747071848,76.86275933086262,93.0588277992588,80.92054256716199,100.0,66.7918123663747,60.32789641324954,28.573722887871998,81.92923735624956,78.54340569959523,69.8327289960014,80.78076445356649,64.3806707432277,83.15583453939496,42.06442328542387,90.18370013494467,77.92847911309141,80.36740026988936,60.395423447030225,69.8327289960014,73.72114617304926,69.47988341994812,61.701051948629946,83.15583453939496,65.21710036431148,51.35673712059805,74.97324771840232,4.883706928261866,56.10017242842855,59.5263588036405
mintpress,64.3806707432277,62.40643364532459,87.32721136708753,86.7086671508113,86.7086671508113,87.32721136708753,62.40643364532459,64.3806707432277,80.78076445356649,39.93222956553256,46.78434646098404,86.91160017992622,89.14767217266505,76.74736090592295,42.71488341252054,63.49005004938866,100.0,80.36740026988936,61.771004423556654,35.838466699584046,59.59254632331019,30.35728992650303,56.714186270377844,86.11765559851757,81.2032168226623,3.7646532191969784,80.36740026988936,45.78771206874867,91.34283725407558,23.22758123743107,66.7918123663747,100.0,85.18493734841294,78.17237080795053,41.7878795816762,34.47624946350897,89.65271141040722,93.0588277992588,71.7573984977559,60.19318599644665,79.04833747071848,93.45580008996312,23.192724291815548,83.15583453939496,57.21174088873189,91.65774923946745,52.3575055175118,71.7573984977559,86.50878626788017,68.87202625507615,76.74736090592295,93.45580008996312,77.09530031487091,83.31549847893488,61.98163410126261,76.74736090592295
nationalreview,80.23153290665772,81.2032168226623,86.7086671508113,4.434512962922477,4.434512962922477,86.7086671508113,81.2032168226623,80.23153290665772,25.92468674206473,81.7817184788306,86.7086671508113,81.7817184788306,70.9169394469065,56.03924272863898,61.701051948629946,79.04833747071848,39.4440460846016,76.74736090592295,62.40643364532459,79.04833747071848,73.51821764733582,90.460271283581,32.94190571925482,83.80393153160384,52.07741789299122,3.514654783528104,38.522823301504914,91.65774923946745,74.86652334390904,64.98700149601824,60.32789641324954,85.18493734841294,100.0,4.182766768424296,62.33530100583307,61.491956956825376,66.87251282013307,24.174775515701775,75.73345726396644,71.380813850743,66.87251282013307,88.2022758337376,58.224624324274885,76.17875275875589,48.88816477356607,85.18493734841294,85.36672414280952,73.51821764733582,61.14596579112963,66.87251282013307,67.77355282975994,67.19729994922696,55.07560479208904,76.17875275875589,79.17648339777637,60.395423447030225
nbc,69.8327289960014,87.32721136708753,4.434512962922477,88.66511326092844,88.66511326092844,4.434512962922477,87.32721136708753,69.8327289960014,83.80393153160384,78.17237080795053,94.82635570520361,82.37920247680829,71.7573984977559,54.660453043713765,48.00551832937459,81.06135229553963,61.84108513432398,87.97753708423154,60.66669086246645,57.52567219503126,91.65774923946745,74.5490352639489,46.58353196049138,80.92054256716199,78.05008621421428,-2.5374011253957995,85.9261659403279,77.21246067237321,64.68253490875809,58.09667494143695,28.573722887871998,78.17237080795053,4.182766768424296,100.0,16.70593359110545,-18.362308081179577,14.142441552228957,8.703133826952891,24.210084120402918,-11.203268942754585,29.06256337908104,31.95133370145521,9.76476139036423,41.46689657123807,7.624729617941261,29.213655002425554,14.86249942426866,30.54972663054466,42.85523098946269,32.58362305725965,7.219953411480329,9.76476139036423,21.129493819413003,9.527767578110302,7.7697230684555585,29.213655002425554
neweasternoutlook,62.40643364532459,86.7086671508113,88.66511326092844,94.33255663046423,94.33255663046423,88.66511326092844,86.7086671508113,62.40643364532459,11.200005787372147,82.99766989139266,80.78076445356649,87.54021458143603,72.91855412056492,75.84401156437751,68.44501077874139,77.56761289040577,23.577025103198924,77.56761289040577,56.962244551971786,68.44501077874139,21.29936372625101,64.45589644336856,25.888561251861685,80.09659299822333,89.91471060908508,20.892288753960752,63.4168103570238,14.392209524191713,78.17237080795053,70.55110040483402,81.92923735624956,41.7878795816762,62.33530100583307,16.70593359110545,100.0,71.7573984977559,91.98502472282102,7.422120290194767,73.72114617304926,80.78076445356649,58.0328465342071,35.46410125379265,72.23531119703514,65.29413899629394,93.0588277992588,64.45589644336856,76.63253236019752,73.41733430162259,40.830154100153656,79.69715371057988,61.422510474723666,66.55087918818326,76.86275933086262,93.0588277992588,71.66278315232111,97.68627593308626
