,aljazeera,alternet,americanconservative,americanspectator,ap,atlantic,bbc,breitbart,buzzfeed,cbs,cnn,commondreams,conversation,counterpunch,dailycaller,dailykos,dailymail,dailywire,economist,federalist,fox,guardian,huffingtonpost,infowars,intercept,jacobinmag,motherjones,nationalreview,nbc,npr,nypost,nytimes,pbs,pjmedia,rawstory,redstate,rt,slate,spectator,townhall,truthdig,usatoday,vice,vox,wapo,wsj
cnn,79.04833747071848,86.91160017992622,92.68336207140476,61.56152890713298,61.56152890713298,92.68336207140476,86.91160017992622,79.04833747071848,74.97324771840232,88.2022758337376,100.0,88.2022758337376,96.72790004498155,95.37255186617253,100.0,90.18370013494467,88.2022758337376,90.18370013494467,88.2022758337376,96.72790004498155,48.2635570520361,74.97324771840232,18.459689295371952,93.0588277992588,86.91160017992622,79.04833747071848,96.72790004498155,96.72790004498155,86.91160017992622,86.91160017992622,92.68336207140476,61.56152890713298,84.30755988829243,76.74736090592295,88.2022758337376,88.2022758337376,37.48661813494996,58.5462255330243,76.74736090592295,76.74736090592295,88.2022758337376,86.91160017992622,74.02851176222671,32.86212211664014,73.61948678444523,88.2022758337376
commondreams,96.72790004498155,86.91160017992622,61.56152890713298,84.30755988829243,84.30755988829243,61.56152890713298,86.91160017992622,96.72790004498155,18.459689295371952,90.18370013494467,88.2022758337376,100.0,39.091461131739656,34.43541197089603,34.43541197089603,36.678313554485385,34.51711242385158,88.2022758337376,88.2022758337376,96.72790004498155,95.37255186617253,100.0,90.18370013494467,88.2022758337376,90.18370013494467,88.2022758337376,96.72790004498155,48.2635570520361,74.97324771840232,18.459689295371952,93.0588277992588,86.91160017992622,79.04833747071848,96.72790004498155,96.72790004498155,86.91160017992622,86.91160017992622,92.68336207140476,61.56152890713298,84.30755988829243,76.74736090592295,88.2022758337376,88.2022758337376,37.48661813494996,58.5462255330243,76.74736090592295
conversation,96.72790004498155,92.68336207140476,84.30755988829243,76.74736090592295,76.74736090592295,84.30755988829243,92.68336207140476,96.72790004498155,93.0588277992588,88.2022758337376,96.72790004498155,39.091461131739656,100.0,88.2022758337376,45.54140326789554,77.92847911309141,68.52995033852136,68.52995033852136,76.74736090592295,76.06665215256554,39.091461131739656,34.43541197089603,34.43541197089603,36.678313554485385,34.51711242385158,88.2022758337376,88.2022758337376,96.72790004498155,95.37255186617253,100.0,90.18370013494467,88.2022758337376,90.18370013494467,88.2022758337376,96.72790004498155,48.2635570520361,74.97324771840232,18.459689295371952,93.0588277992588,86.91160017992622,79.04833747071848,96.72790004498155,96.72790004498155,86.91160017992622,86.91160017992622,92.68336207140476
counterpunch,86.91160017992622,61.56152890713298,76.74736090592295,88.2022758337376,88.2022758337376,76.74736090592295,61.56152890713298,86.91160017992622,86.91160017992622,96.72790004498155,95.37255186617253,34.43541197089603,88.2022758337376,100.0,89.39718432612673,87.97753708423154,68.52995033852136,34.43541197089603,88.2022758337376,100.0,100.0,90.18370013494467,88.2022758337376,45.54140326789554,77.92847911309141,68.52995033852136,68.52995033852136,76.74736090592295,76.06665215256554,39.091461131739656,34.43541197089603,34.43541197089603,36.678313554485385,34.51711242385158,88.2022758337376,88.2022758337376,96.72790004498155,95.37255186617253,100.0,90.18370013494467,88.2022758337376,90.18370013494467,88.2022758337376,96.72790004498155,48.2635570520361,74.97324771840232
dailycaller,86.91160017992622,84.30755988829243,88.2022758337376,88.2022758337376,88.2022758337376,88.2022758337376,84.30755988829243,86.91160017992622,79.04833747071848,48.2635570520361,100.0,34.43541197089603,45.54140326789554,89.39718432612673,100.0,72.52604893445367,80.78076445356649,79.96256180705257,82.53176636589998,81.4902074646901,46.33357052025051,92.32624540163198,82.53176636589998,82.53176636589998,89.39718432612673,87.97753708423154,68.52995033852136,34.43541197089603,88.2022758337376,100.0,100.0,90.18370013494467,88.2022758337376,45.54140326789554,77.92847911309141,68.52995033852136,68.52995033852136,76.74736090592295,76.06665215256554,39.091461131739656,34.43541197089603,34.43541197089603,36.678313554485385,34.51711242385158,88.2022758337376,88.2022758337376
dailykos,92.68336207140476,76.74736090592295,88.2022758337376,37.48661813494996,37.48661813494996,88.2022758337376,76.74736090592295,92.68336207140476,96.72790004498155,74.97324771840232,90.18370013494467,36.678313554485385,77.92847911309141,87.97753708423154,72.52604893445367,100.0,90.18370013494467,90.18370013494467,100.0,96.72790004498155,86.11765559851757,72.52604893445367,95.37255186617253,46.33357052025051,82.22794822168429,72.52604893445367,72.52604893445367,80.78076445356649,79.96256180705257,82.53176636589998,81.4902074646901,46.33357052025051,92.32624540163198,82.53176636589998,82.53176636589998,89.39718432612673,87.97753708423154,68.52995033852136,34.43541197089603,88.2022758337376,100.0,100.0,90.18370013494467,88.2022758337376,45.54140326789554,77.92847911309141
dailymail,61.56152890713298,88.2022758337376,37.48661813494996,58.5462255330243,58.5462255330243,37.48661813494996,88.2022758337376,61.56152890713298,96.72790004498155,18.459689295371952,88.2022758337376,34.51711242385158,68.52995033852136,68.52995033852136,80.78076445356649,90.18370013494467,100.0,76.74736090592295,71.1943676694738,71.1943676694738,74.13177852601804,72.13907281903028,80.78076445356649,89.39718432612673,90.18370013494467,76.74736090592295,36.678313554485385,96.72790004498155,90.18370013494467,90.18370013494467,100.0,96.72790004498155,86.11765559851757,72.52604893445367,95.37255186617253,46.33357052025051,82.22794822168429,72.52604893445367,72.52604893445367,80.78076445356649,79.96256180705257,82.53176636589998,81.4902074646901,46.33357052025051,92.32624540163198,82.53176636589998
dailywire,84.30755988829243,88.2022758337376,58.5462255330243,76.74736090592295,76.74736090592295,58.5462255330243,88.2022758337376,84.30755988829243,86.91160017992622,93.0588277992588,90.18370013494467,88.2022758337376,68.52995033852136,34.43541197089603,79.96256180705257,90.18370013494467,76.74736090592295,100.0,71.380813850743,56.344741615901064,55.97839736073509,55.97839736073509,54.54253464702508,51.91014833692616,74.13177852601804,77.09530031487091,83.63950022490779,71.1943676694738,73.61948678444523,61.84108513432398,76.74736090592295,71.1943676694738,71.1943676694738,74.13177852601804,72.13907281903028,80.78076445356649,89.39718432612673,90.18370013494467,76.74736090592295,36.678313554485385,96.72790004498155,90.18370013494467,90.18370013494467,100.0,96.72790004498155,86.11765559851757
economist,76.74736090592295,37.48661813494996,76.74736090592295,76.74736090592295,76.74736090592295,76.74736090592295,37.48661813494996,76.74736090592295,86.91160017992622,86.91160017992622,88.2022758337376,88.2022758337376,76.74736090592295,88.2022758337376,82.53176636589998,100.0,71.1943676694738,71.380813850743,100.0,67.03450639325088,36.00555430954088,86.91160017992622,96.72790004498155,96.72790004498155,88.2022758337376,86.11765559851757,76.29138340031912,54.54253464702508,55.43452714881531,61.631227008159904,55.97839736073509,52.63924952848784,71.380813850743,56.344741615901064,55.97839736073509,55.97839736073509,54.54253464702508,51.91014833692616,74.13177852601804,77.09530031487091,83.63950022490779,71.1943676694738,73.61948678444523,61.84108513432398,76.74736090592295,71.1943676694738
federalist,88.2022758337376,58.5462255330243,76.74736090592295,88.2022758337376,88.2022758337376,76.74736090592295,58.5462255330243,88.2022758337376,92.68336207140476,79.04833747071848,96.72790004498155,96.72790004498155,76.06665215256554,100.0,81.4902074646901,96.72790004498155,71.1943676694738,56.344741615901064,67.03450639325088,100.0,96.72790004498155,65.76001060657772,31.637382017119663,86.11765559851757,96.72790004498155,96.72790004498155,88.2022758337376,86.91160017992622,58.35296679555273,72.52604893445367,88.2022758337376,71.1943676694738,82.22794822168429,96.72790004498155,67.03450639325088,36.00555430954088,86.91160017992622,96.72790004498155,96.72790004498155,88.2022758337376,86.11765559851757,76.29138340031912,54.54253464702508,55.43452714881531,61.631227008159904,55.97839736073509
