,aljazeera,alternet,ap,atlantic,bbc,breitbart,businessinsider,buzzfeed,cbs,cnn,commondreams,conversation,dailycaller,dailykos,dailymail,dailywire,economist,federalist,fox,guardian,huffingtonpost,independent,infowars,intercept,motherjones,nationalreview,nbc,npr,nypost,nytimes,observerny,pjmedia,rawstory,redstate,rt,slate,spectator,time,townhall,usatoday,vice,vox,wapo,wsj
huffingtonpost,42.156898327156554,67.60786306320767,60.59869892038341,41.10220080966804,41.10220080966804,60.59869892038341,67.60786306320767,42.156898327156554,100.0,72.23531119703514,67.60786306320767,42.90209017652353,48.88816477356607,73.61948678444523,39.267497739389015,47.238973568890465,50.430115518215366,44.37430076468648,66.87251282013307,59.00070507735315,100.0,42.668177235509695,100.0,47.34053483039722,71.380813850743,44.23013024409141,44.37430076468648,73.61948678444523,95.37255186617253,67.60786306320767,54.54253464702508,59.00070507735315,41.60424467627212,54.54253464702508,70.73344828561903,34.88603303599027,59.00070507735315,57.337036206360594,87.54021458143603,47.18826617955006,72.23531119703514,85.36672414280952,54.54253464702508,86.50878626788017
independent,69.47988341994812,95.37255186617253,41.10220080966804,50.48414265632012,50.48414265632012,41.10220080966804,95.37255186617253,69.47988341994812,59.59254632331019,59.00070507735315,96.72790004498155,64.75840495361658,65.60401895893501,95.37255186617253,83.15583453939496,50.48414265632012,39.53251355903553,73.61948678444523,42.90209017652353,57.337036206360594,42.668177235509695,100.0,50.48414265632012,42.668177235509695,100.0,47.34053483039722,71.380813850743,44.23013024409141,44.37430076468648,73.61948678444523,95.37255186617253,67.60786306320767,59.00070507735315,95.37255186617253,100.0,50.430115518215366,95.37255186617253,50.48414265632012,42.668177235509695,100.0,47.34053483039722,71.380813850743,44.23013024409141,44.37430076468648
infowars,88.43137966543131,60.59869892038341,50.48414265632012,95.37255186617253,95.37255186617253,50.48414265632012,60.59869892038341,88.43137966543131,48.574912595494524,93.0588277992588,88.43137966543131,41.01137916868797,97.68627593308626,67.60786306320767,41.10220080966804,49.94649543680466,47.54424725811911,95.37255186617253,41.01137916868797,87.54021458143603,100.0,50.48414265632012,100.0,95.37255186617253,50.48414265632012,42.668177235509695,100.0,47.34053483039722,71.380813850743,44.23013024409141,44.37430076468648,73.61948678444523,95.37255186617253,67.60786306320767,100.0,59.00070507735315,95.37255186617253,100.0,50.430115518215366,95.37255186617253,50.48414265632012,42.668177235509695,100.0,47.34053483039722
intercept,67.60786306320767,41.10220080966804,95.37255186617253,100.0,100.0,95.37255186617253,41.10220080966804,67.60786306320767,59.00070507735315,100.0,96.72790004498155,60.058929918827644,66.87251282013307,58.0328465342071,40.379501390966865,67.52533519203436,42.668177235509695,67.60786306320767,69.13107076215275,47.18826617955006,47.34053483039722,42.668177235509695,95.37255186617253,100.0,50.430115518215366,100.0,47.54424725811911,42.668177235509695,95.37255186617253,44.56711139417057,66.87251282013307,42.90209017652353,41.01137916868797,69.13107076215275,100.0,62.9804149293802,100.0,100.0,59.00070507735315,95.37255186617253,100.0,50.430115518215366,95.37255186617253,50.48414265632012
motherjones,95.37255186617253,50.48414265632012,100.0,100.0,100.0,100.0,50.48414265632012,95.37255186617253,42.156898327156554,42.156898327156554,87.54021458143603,69.13107076215275,91.65774923946745,67.52533519203436,42.668177235509695,59.59254632331019,95.37255186617253,50.430115518215366,100.0,72.23531119703514,71.380813850743,100.0,50.48414265632012,50.430115518215366,100.0,50.48414265632012,55.79636376831898,47.54424725811911,100.0,47.238973568890465,50.48414265632012,49.94649543680466,67.52533519203436,59.59254632331019,90.74510373234504,67.27900044981558,47.54424725811911,60.59869892038341,95.37255186617253,95.37255186617253,95.37255186617253,54.54253464702508,100.0,95.37255186617253
nationalreview,60.59869892038341,95.37255186617253,100.0,100.0,100.0,100.0,95.37255186617253,60.59869892038341,69.47988341994812,100.0,68.95813423122166,90.18370013494467,55.07560479208904,49.098070527897775,33.02178435901955,90.74510373234504,44.56711139417057,55.79636376831898,62.9804149293802,85.36672414280952,44.23013024409141,47.34053483039722,42.668177235509695,100.0,50.48414265632012,100.0,40.920697146158446,41.10220080966804,87.97753708423154,40.920697146158446,48.574912595494524,96.72790004498155,41.10220080966804,57.46270058476025,39.091461131739656,85.18493734841294,42.668177235509695,40.11073745038585,40.920697146158446,32.78243321276369,47.54424725811911,50.48414265632012,50.48414265632012,50.48414265632012
nbc,41.10220080966804,100.0,100.0,59.00070507735315,59.00070507735315,100.0,100.0,41.10220080966804,88.43137966543131,59.59254632331019,72.23531119703514,62.9804149293802,49.467503618184885,57.84194113582954,47.34053483039722,67.27900044981558,66.87251282013307,88.43137966543131,50.430115518215366,54.54253464702508,44.37430076468648,71.380813850743,100.0,47.54424725811911,55.79636376831898,40.920697146158446,100.0,53.725518661725246,60.058929918827644,60.59869892038341,69.56771127565096,60.058929918827644,72.23531119703514,58.09667494143695,60.59869892038341,42.761627701485985,58.80531416156176,61.214917104043046,62.9804149293802,60.19318599644665,60.058929918827644,50.48414265632012,48.574912595494524,40.920697146158446
npr,50.48414265632012,100.0,59.00070507735315,95.37255186617253,95.37255186617253,59.00070507735315,100.0,50.48414265632012,67.60786306320767,48.574912595494524,59.00070507735315,67.60786306320767,42.90209017652353,44.56711139417057,71.380813850743,47.54424725811911,42.90209017652353,50.430115518215366,95.37255186617253,86.50878626788017,73.61948678444523,44.23013024409141,47.34053483039722,42.668177235509695,47.54424725811911,41.10220080966804,53.725518661725246,100.0,95.37255186617253,54.54253464702508,100.0,95.37255186617253,50.430115518215366,100.0,47.54424725811911,42.668177235509695,95.37255186617253,44.56711139417057,66.87251282013307,42.90209017652353,41.01137916868797,69.13107076215275,100.0,62.9804149293802
nypost,95.37255186617253,100.0,95.37255186617253,100.0,100.0,95.37255186617253,100.0,95.37255186617253,95.37255186617253,59.00070507735315,93.0588277992588,96.72790004498155,42.90209017652353,56.714186270377844,44.23013024409141,60.59869892038341,41.01137916868797,55.79636376831898,50.48414265632012,95.37255186617253,95.37255186617253,44.37430076468648,71.380813850743,95.37255186617253,100.0,87.97753708423154,60.058929918827644,95.37255186617253,100.0,67.60786306320767,67.60786306320767,86.50878626788017,62.9804149293802,67.60786306320767,39.53251355903553,62.9804149293802,60.59869892038341,33.02178435901955,67.60786306320767,56.714186270377844,91.65774923946745,42.90209017652353,60.058929918827644,90.18370013494467
nytimes,100.0,59.00070507735315,100.0,50.430115518215366,50.430115518215366,100.0,59.00070507735315,100.0,60.59869892038341,42.156898327156554,100.0,88.43137966543131,64.75840495361658,48.88816477356607,44.37430076468648,42.668177235509695,69.13107076215275,46.53344618480014,42.668177235509695,50.430115518215366,67.60786306320767,73.61948678444523,44.23013024409141,44.56711139417057,47.238973568890465,40.920697146158446,60.59869892038341,54.54253464702508,67.60786306320767,100.0,88.43137966543131,88.43137966543131,88.43137966543131,60.66669086246645,87.54021458143603,88.43137966543131,59.00070507735315,87.54021458143603,59.06604264065884,49.89304800613361,88.43137966543131,48.62698864672996,71.85233188065581,51.68802312875502
