,aljazeera,alternet,americanconservative,americanthinker,antiwar,ap,atlantic,axios,bbc,breitbart,businessinsider,buzzfeed,canary,cbs,cnbc,cnn,commondreams,consortium,conversation,counterpunch,dailycaller,dailykos,dailymail,dailywire,economist,federalist,fivethirtyeight,foreignaffairs,fox,globalresearch,guardian,huffingtonpost,infowars,intercept,jacobinmag,lewrockwell,mintpress,motherjones,nationalreview,nbc,neweasternoutlook,newyorker,npr,nypost,nytimes,observerny,offguardian,opednews,pbs,peoplesdaily,pjmedia,rawstory,redstate,reuters,rt,shadowproof,slate,socialistproject,spectator,strategicculture,time,townhall,truthdig,usatoday,veteranstoday,vice,vox,wapo,wsj
counterpunch,3.605551275463989,21.72556098240043,6.782329983125268,22.93468988235943,22.93468988235943,6.782329983125268,21.72556098240043,3.605551275463989,22.561028345356956,21.470910553583888,23.0,20.248456731316587,33.74907406137241,24.351591323771842,17.944358444926362,18.275666882497067,25.317977802344327,20.024984394500787,13.638181696985855,,8.660254037844387,28.600699292150182,22.9128784747792,23.62202362203543,25.41653005427767,27.294688127912362,8.48528137423857,15.264337522473747,11.180339887498949,24.166091947189145,17.233687939614086,6.164414002968976,5.477225575051661,11.180339887498949,13.638181696985855,21.18962010041709,20.591260281974,16.06237840420901,26.095976701399778,13.19090595827292,25.632011235952593,20.71231517720798,9.273618495495704,12.68857754044952,6.4031242374328485,3.1622776601683795,23.043437243605826,20.09975124224178,20.024984394500787,24.06241883103193,28.982753492378876,2.23606797749979,22.090722034374522,14.317821063276353,29.563490998188964,21.95449840010015,23.853720883753127,25.179356624028344,5.0,6.324555320336759,29.427877939124322,25.317977802344327,20.445048300260872,28.442925306655784,20.615528128088304,12.449899597988733,11.916375287812984,25.709920264364882,15.165750888103101
dailycaller,21.118712081942874,18.547236990991408,22.93468988235943,7.615773105863909,7.615773105863909,22.93468988235943,18.547236990991408,21.118712081942874,2.449489742783178,15.811388300841896,7.810249675906654,29.88310559496787,2.23606797749979,30.430248109405877,19.924858845171276,8.366600265340756,20.445048300260872,24.06241883103193,21.18962010041709,8.660254037844387,,10.723805294763608,4.242640687119285,27.80287754891569,24.372115213907882,24.351591323771842,28.30194339616981,33.13608305156178,4.123105625617661,23.366642891095847,17.029386365926403,8.306623862918075,22.58317958127243,8.306623862918075,18.0,11.575836902790225,8.660254037844387,28.600699292150182,22.9128784747792,23.62202362203543,25.41653005427767,27.294688127912362,8.48528137423857,15.264337522473747,11.180339887498949,24.166091947189145,17.233687939614086,6.164414002968976,5.477225575051661,11.180339887498949,13.638181696985855,21.18962010041709,20.591260281974,16.06237840420901,26.095976701399778,13.19090595827292,25.632011235952593,20.71231517720798,9.273618495495704,12.68857754044952,6.4031242374328485,3.1622776601683795,23.043437243605826,20.09975124224178,20.024984394500787,24.06241883103193,28.982753492378876,2.23606797749979,22.090722034374522
dailykos,21.307275752662516,6.782329983125268,7.615773105863909,15.264337522473747,15.264337522473747,7.615773105863909,6.782329983125268,21.307275752662516,10.0,23.194827009486403,6.557438524302,15.588457268119896,25.514701644346147,4.358898943540674,19.748417658131498,11.090536506409418,28.442925306655784,28.982753492378876,20.591260281974,28.600699292150182,10.723805294763608,,17.832554500127006,11.575836902790225,7.280109889280518,28.74021572639983,22.64950330581225,23.15167380558045,27.16615541441225,29.546573405388315,6.164414002968976,18.35755975068582,8.306623862918075,15.264337522473747,5.0990195135927845,24.269322199023193,11.832159566199232,15.0,10.723805294763608,4.242640687119285,27.80287754891569,24.372115213907882,24.351591323771842,28.30194339616981,33.13608305156178,4.123105625617661,23.366642891095847,17.029386365926403,8.306623862918075,22.58317958127243,8.306623862918075,18.0,11.575836902790225,8.660254037844387,28.600699292150182,22.9128784747792,23.62202362203543,25.41653005427767,27.294688127912362,8.48528137423857,15.264337522473747,11.180339887498949,24.166091947189145,17.233687939614086,6.164414002968976,5.477225575051661,11.180339887498949,13.638181696985855,21.18962010041709
dailymail,21.72556098240043,22.93468988235943,15.264337522473747,9.273618495495704,9.273618495495704,15.264337522473747,22.93468988235943,21.72556098240043,30.757112998459398,4.123105625617661,15.0,26.19160170741759,22.715633383201094,22.40535650240808,18.05547008526779,18.384776310850235,20.615528128088304,2.23606797749979,16.06237840420901,22.9128784747792,4.242640687119285,17.832554500127006,,26.68332812825267,7.0,14.247806848775006,18.05547008526779,17.0,30.757112998459398,30.01666203960727,17.804493814764857,31.78049716414141,21.37755832643195,31.400636936215164,5.744562646538029,3.1622776601683795,16.97056274847714,6.708203932499369,22.090722034374522,8.06225774829855,17.832554500127006,11.575836902790225,7.280109889280518,28.74021572639983,22.64950330581225,23.15167380558045,27.16615541441225,29.546573405388315,6.164414002968976,18.35755975068582,8.306623862918075,15.264337522473747,5.0990195135927845,24.269322199023193,11.832159566199232,15.0,10.723805294763608,4.242640687119285,27.80287754891569,24.372115213907882,24.351591323771842,28.30194339616981,33.13608305156178,4.123105625617661,23.366642891095847,17.029386365926403,8.306623862918075,22.58317958127243,8.306623862918075
dailywire,18.547236990991408,7.615773105863909,9.273618495495704,6.164414002968976,6.164414002968976,9.273618495495704,7.615773105863909,18.547236990991408,3.605551275463989,17.233687939614086,18.24828759089466,23.895606290697042,20.322401432901575,20.46948949045872,25.317977802344327,27.0,12.449899597988733,22.090722034374522,26.095976701399778,23.62202362203543,27.80287754891569,11.575836902790225,26.68332812825267,,31.464265445104548,22.737634001804146,18.275666882497067,16.673332000533065,20.904544960366874,23.57965224510319,28.89636655359978,29.563490998188964,10.770329614269007,17.97220075561143,23.45207879911715,15.84297951775486,24.596747752497688,22.0,24.43358344574123,10.04987562112089,19.44222209522358,34.07345007480164,26.68332812825267,7.0,14.247806848775006,18.05547008526779,17.0,30.757112998459398,30.01666203960727,17.804493814764857,31.78049716414141,21.37755832643195,31.400636936215164,5.744562646538029,3.1622776601683795,16.97056274847714,6.708203932499369,22.090722034374522,8.06225774829855,17.832554500127006,11.575836902790225,7.280109889280518,28.74021572639983,22.64950330581225,23.15167380558045,27.16615541441225,29.546573405388315,6.164414002968976,18.35755975068582
economist,6.782329983125268,15.264337522473747,6.164414002968976,13.152946437965905,13.152946437965905,6.164414002968976,15.264337522473747,6.782329983125268,21.118712081942874,22.561028345356956,25.059928172283335,30.479501308256342,28.35489375751565,19.339079605813716,8.602325267042627,26.419689627245813,11.916375287812984,14.317821063276353,13.19090595827292,25.41653005427767,24.372115213907882,7.280109889280518,7.0,31.464265445104548,,4.58257569495584,21.400934559032695,9.9498743710662,16.30950643030009,10.954451150103322,5.744562646538029,26.94438717061496,21.748563170931547,21.6794833886788,28.600699292150182,32.57299494980466,2.449489742783178,24.1039415863879,19.209372712298546,22.22611077089287,24.269322199023193,19.748417658131498,17.378147196982766,21.42428528562855,31.464265445104548,22.737634001804146,18.275666882497067,16.673332000533065,20.904544960366874,23.57965224510319,28.89636655359978,29.563490998188964,10.770329614269007,17.97220075561143,23.45207879911715,15.84297951775486,24.596747752497688,22.0,24.43358344574123,10.04987562112089,19.44222209522358,34.07345007480164,26.68332812825267,7.0,14.247806848775006,18.05547008526779,17.0,30.757112998459398,30.01666203960727
federalist,22.93468988235943,9.273618495495704,13.152946437965905,22.93468988235943,22.93468988235943,13.152946437965905,9.273618495495704,22.93468988235943,21.307275752662516,2.449489742783178,21.470910553583888,20.0,25.729360660537214,15.231546211727817,21.563858652847824,19.131126469708992,25.709920264364882,29.563490998188964,25.632011235952593,27.294688127912362,24.351591323771842,28.74021572639983,14.247806848775006,22.737634001804146,4.58257569495584,,15.165750888103101,5.385164807134504,17.029386365926403,4.358898943540674,17.72004514666935,10.198039027185569,8.06225774829855,25.25866188063018,17.46424919657298,17.832554500127006,25.80697580112788,27.65863337187866,4.69041575982343,20.322401432901575,25.495097567963924,23.2163735324878,6.164414002968976,3.3166247903554,9.055385138137417,15.427248620541512,4.58257569495584,21.400934559032695,9.9498743710662,16.30950643030009,10.954451150103322,5.744562646538029,26.94438717061496,21.748563170931547,21.6794833886788,28.600699292150182,32.57299494980466,2.449489742783178,24.1039415863879,19.209372712298546,22.22611077089287,24.269322199023193,19.748417658131498,17.378147196982766,21.42428528562855,31.464265445104548,22.737634001804146,18.275666882497067,16.673332000533065
fivethirtyeight,7.615773105863909,6.164414002968976,22.93468988235943,6.164414002968976,6.164414002968976,22.93468988235943,6.164414002968976,7.615773105863909,21.72556098240043,10.0,15.811388300841896,23.0,24.1039415863879,24.879710609249457,24.1039415863879,30.54504869860253,15.165750888103101,21.95449840010015,20.71231517720798,8.48528137423857,28.30194339616981,22.64950330581225,18.05547008526779,18.275666882497067,21.400934559032695,15.165750888103101,,14.2828568570857,9.273618495495704,13.45362404707371,25.96150997149434,16.64331697709324,10.954451150103322,8.12403840463596,13.076696830622021,18.708286933869708,23.430749027719962,23.706539182259394,12.083045973594572,20.615528128088304,15.620499351813308,17.69180601295413,5.656854249492381,23.021728866442675,24.228082879171435,5.477225575051661,7.681145747868608,7.0710678118654755,15.165750888103101,5.385164807134504,17.029386365926403,4.358898943540674,17.72004514666935,10.198039027185569,8.06225774829855,25.25866188063018,17.46424919657298,17.832554500127006,25.80697580112788,27.65863337187866,4.69041575982343,20.322401432901575,25.495097567963924,23.2163735324878,6.164414002968976,3.3166247903554,9.055385138137417,15.427248620541512,4.58257569495584
foreignaffairs,15.264337522473747,13.152946437965905,6.164414002968976,2.8284271247461903,2.8284271247461903,6.164414002968976,13.152946437965905,15.264337522473747,18.547236990991408,30.757112998459398,23.194827009486403,7.810249675906654,20.248456731316587,24.698178070456937,23.108440016582687,14.560219778561036,16.0312195418814,23.853720883753127,9.273618495495704,15.264337522473747,33.13608305156178,23.15167380558045,17.0,16.673332000533065,9.9498743710662,5.385164807134504,14.2828568570857,,7.0710678118654755,10.344080432788601,14.177446878757825,4.69041575982343,17.578395831246947,7.874007874011811,16.583123951777,10.04987562112089,7.483314773547883,24.186773244895647,17.72004514666935,17.578395831246947,26.92582403567252,30.23243291566195,3.3166247903554,24.20743687382041,15.937377450509228,17.832554500127006,8.602325267042627,14.035668847618199,15.937377450509228,16.881943016134134,14.2828568570857,9.273618495495704,13.45362404707371,25.96150997149434,16.64331697709324,10.954451150103322,8.12403840463596,13.076696830622021,18.708286933869708,23.430749027719962,23.706539182259394,12.083045973594572,20.615528128088304,15.620499351813308,17.69180601295413,5.656854249492381,23.021728866442675,24.228082879171435,5.477225575051661
fox,9.273618495495704,22.93468988235943,2.8284271247461903,21.095023109728988,21.095023109728988,2.8284271247461903,22.93468988235943,9.273618495495704,6.782329983125268,3.605551275463989,4.123105625617661,6.557438524302,29.88310559496787,33.74907406137241,23.0,27.2213151776324,25.317977802344327,25.179356624028344,12.68857754044952,11.180339887498949,4.123105625617661,27.16615541441225,30.757112998459398,20.904544960366874,16.30950643030009,17.029386365926403,9.273618495495704,7.0710678118654755,,4.0,5.744562646538029,4.242640687119285,13.2664991614216,4.58257569495584,22.44994432064365,9.0,14.071247279470288,7.874007874011811,4.58257569495584,25.495097567963924,22.11334438749598,22.44994432064365,23.706539182259394,27.730849247724095,5.477225575051661,18.138357147217054,17.291616465790582,4.123105625617661,4.123105625617661,25.15949125081825,23.108440016582687,8.06225774829855,7.0710678118654755,10.344080432788601,14.177446878757825,4.69041575982343,17.578395831246947,7.874007874011811,16.583123951777,10.04987562112089,7.483314773547883,24.186773244895647,17.72004514666935,17.578395831246947,26.92582403567252,30.23243291566195,3.3166247903554,24.20743687382041,15.937377450509228
globalresearch,6.164414002968976,6.164414002968976,21.095023109728988,18.2208671582886,18.2208671582886,21.095023109728988,6.164414002968976,6.164414002968976,22.93468988235943,21.118712081942874,17.233687939614086,15.0,15.588457268119896,2.23606797749979,24.351591323771842,6.708203932499369,24.779023386727733,5.0,6.4031242374328485,24.166091947189145,23.366642891095847,29.546573405388315,30.01666203960727,23.57965224510319,10.954451150103322,4.358898943540674,13.45362404707371,10.344080432788601,4.0,,18.110770276274835,7.810249675906654,4.47213595499958,9.433981132056603,10.816653826391969,2.449489742783178,23.0,11.661903789690601,11.180339887498949,6.557438524302,1.4142135623730951,23.430749027719962,22.22611077089287,22.02271554554524,24.515301344262525,30.56141357987225,3.605551275463989,23.280893453645632,8.06225774829855,12.24744871391589,6.164414002968976,6.782329983125268,19.131126469708992,20.71231517720798,4.0,5.744562646538029,4.242640687119285,13.2664991614216,4.58257569495584,22.44994432064365,9.0,14.071247279470288,7.874007874011811,4.58257569495584,25.495097567963924,22.11334438749598,22.44994432064365,23.706539182259394,27.730849247724095
guardian,13.152946437965905,2.8284271247461903,18.2208671582886,6.164414002968976,6.164414002968976,18.2208671582886,2.8284271247461903,13.152946437965905,7.615773105863909,21.307275752662516,22.561028345356956,18.24828759089466,26.19160170741759,25.514701644346147,30.430248109405877,17.944358444926362,9.0,6.324555320336759,3.1622776601683795,17.233687939614086,17.029386365926403,6.164414002968976,17.804493814764857,28.89636655359978,5.744562646538029,17.72004514666935,25.96150997149434,14.177446878757825,5.744562646538029,18.110770276274835,,19.87460691435179,21.6794833886788,3.0,5.477225575051661,3.605551275463989,14.177446878757825,4.898979485566356,22.293496809607955,8.602325267042627,15.0,8.774964387392123,5.0990195135927845,26.28687885618983,22.181073012818835,22.561028345356956,24.55605831561735,28.142494558940577,5.385164807134504,18.110770276274835,5.385164807134504,6.48074069840786,13.601470508735444,7.681145747868608,5.196152422706632,21.656407827707714,18.110770276274835,7.810249675906654,4.47213595499958,9.433981132056603,10.816653826391969,2.449489742783178,23.0,11.661903789690601,11.180339887498949,6.557438524302,1.4142135623730951,23.430749027719962,22.22611077089287
huffingtonpost,22.93468988235943,21.095023109728988,6.164414002968976,22.825424421026653,22.825424421026653,6.164414002968976,21.095023109728988,22.93468988235943,15.264337522473747,21.72556098240043,2.449489742783178,25.059928172283335,23.895606290697042,22.715633383201094,4.358898943540674,19.924858845171276,18.275666882497067,29.427877939124322,23.043437243605826,6.164414002968976,8.306623862918075,18.35755975068582,31.78049716414141,29.563490998188964,26.94438717061496,10.198039027185569,16.64331697709324,4.69041575982343,4.242640687119285,7.810249675906654,19.87460691435179,,11.224972160321824,15.556349186104045,14.866068747318506,10.198039027185569,9.433981132056603,9.695359714832659,9.38083151964686,7.54983443527075,26.076809620810597,14.177446878757825,8.602325267042627,5.477225575051661,5.744562646538029,22.58317958127243,24.596747752497688,24.657656011875904,19.949937343260004,27.367864366808018,9.486832980505138,19.72308292331602,5.830951894845301,1.0,7.874007874011811,13.152946437965905,5.744562646538029,6.4031242374328485,19.87460691435179,21.6794833886788,3.0,5.477225575051661,3.605551275463989,14.177446878757825,4.898979485566356,22.293496809607955,8.602325267042627,15.0,8.774964387392123
infowars,6.164414002968976,18.2208671582886,22.825424421026653,18.35755975068582,18.35755975068582,22.825424421026653,18.2208671582886,6.164414002968976,9.273618495495704,18.547236990991408,10.0,21.470910553583888,30.479501308256342,20.322401432901575,22.40535650240808,19.748417658131498,8.366600265340756,25.317977802344327,20.09975124224178,5.477225575051661,22.58317958127243,8.306623862918075,21.37755832643195,10.770329614269007,21.748563170931547,8.06225774829855,10.954451150103322,17.578395831246947,13.2664991614216,4.47213595499958,21.6794833886788,11.224972160321824,,5.830951894845301,8.602325267042627,24.166091947189145,22.825424421026653,11.045361017187261,11.180339887498949,12.409673645990857,13.038404810405298,7.14142842854285,13.92838827718412,7.280109889280518,17.029386365926403,9.695359714832659,10.246950765959598,20.8806130178211,13.379088160259652,13.19090595827292,24.413111231467404,27.03701166919155,7.0710678118654755,24.06241883103193,7.280109889280518,6.708203932499369,6.324555320336759,12.206555615733702,8.12403840463596,11.575836902790225,11.224972160321824,15.556349186104045,14.866068747318506,10.198039027185569,9.433981132056603,9.695359714832659,9.38083151964686,7.54983443527075,26.076809620810597
