,aljazeera,alternet,americanconservative,americanspectator,americanthinker,ap,atlantic,bbc,breitbart,businessinsider,buzzfeed,canary,cbs,cnn,commondreams,conversation,counterpunch,dailycaller,dailykos,dailymail,dailywire,economist,federalist,fox,freebeacon,guardian,huffingtonpost,independent,infowars,intercept,jacobinmag,jpost,lewrockwell,mintpress,motherjones,nationalreview,nbc,newyorker,npr,nypost,nytimes,observerny,pjmedia,rawstory,redstate,rt,slate,spectator,townhall,truthdig,usatoday,veteranstoday,vice,vox,wapo,wsj
buzzfeed,69.92158713012141,87.54021458143603,59.06604264065884,81.4902074646901,81.4902074646901,59.06604264065884,87.54021458143603,69.92158713012141,63.8584747124991,86.11765559851757,100.0,64.30560358039135,70.55110040483402,70.55110040483402,86.50878626788017,86.11765559851757,86.11765559851757,73.61948678444523,73.61948678444523,100.0,69.56771127565096,63.8584747124991,93.45580008996312,62.052103792799485,90.74510373234504,69.92158713012141,69.92158713012141,69.92158713012141,87.54021458143603,57.905480070001445,59.06604264065884,81.4902074646901,69.92158713012141,74.13177852601804,74.13177852601804,58.80531416156176,76.40455166747519,100.0,69.92158713012141,62.052103792799485,69.92158713012141,62.33530100583307,69.92158713012141,60.19318599644665,65.83827354181504,57.905480070001445,93.45580008996312,69.92158713012141,71.85233188065581,69.13107076215275,61.214917104043046,63.784489936425274,59.06604264065884,74.13177852601804,69.92158713012141,69.92158713012141
canary,69.92158713012141,57.905480070001445,81.4902074646901,69.92158713012141,69.92158713012141,81.4902074646901,57.905480070001445,69.92158713012141,93.45580008996312,73.61948678444523,64.30560358039135,100.0,70.55110040483402,86.11765559851757,73.61948678444523,100.0,100.0,67.44301651799513,64.30560358039135,70.55110040483402,70.55110040483402,86.50878626788017,86.11765559851757,86.11765559851757,73.61948678444523,73.61948678444523,100.0,69.56771127565096,63.8584747124991,93.45580008996312,62.052103792799485,90.74510373234504,69.92158713012141,69.92158713012141,69.92158713012141,87.54021458143603,57.905480070001445,59.06604264065884,81.4902074646901,69.92158713012141,74.13177852601804,74.13177852601804,58.80531416156176,76.40455166747519,100.0,69.92158713012141,62.052103792799485,69.92158713012141,62.33530100583307,69.92158713012141,60.19318599644665,65.83827354181504,57.905480070001445,93.45580008996312,69.92158713012141,71.85233188065581
cbs,69.92158713012141,59.06604264065884,69.92158713012141,74.13177852601804,74.13177852601804,69.92158713012141,59.06604264065884,69.92158713012141,62.052103792799485,73.61948678444523,70.55110040483402,70.55110040483402,100.0,74.44408238678304,72.13907281903028,70.46034857307923,80.23153290665772,87.54021458143603,72.13907281903028,72.13907281903028,70.55110040483402,86.11765559851757,73.61948678444523,100.0,100.0,67.44301651799513,64.30560358039135,70.55110040483402,70.55110040483402,86.50878626788017,86.11765559851757,86.11765559851757,73.61948678444523,73.61948678444523,100.0,69.56771127565096,63.8584747124991,93.45580008996312,62.052103792799485,90.74510373234504,69.92158713012141,69.92158713012141,69.92158713012141,87.54021458143603,57.905480070001445,59.06604264065884,81.4902074646901,69.92158713012141,74.13177852601804,74.13177852601804,58.80531416156176,76.40455166747519,100.0,69.92158713012141,62.052103792799485,69.92158713012141
cnn,87.54021458143603,81.4902074646901,74.13177852601804,74.13177852601804,74.13177852601804,74.13177852601804,81.4902074646901,87.54021458143603,90.74510373234504,100.0,70.55110040483402,86.11765559851757,74.44408238678304,100.0,100.0,100.0,80.23153290665772,74.44408238678304,78.54340569959523,72.0431657292691,70.36987469682589,74.44408238678304,74.44408238678304,72.13907281903028,70.46034857307923,80.23153290665772,87.54021458143603,72.13907281903028,72.13907281903028,70.55110040483402,86.11765559851757,73.61948678444523,100.0,100.0,67.44301651799513,64.30560358039135,70.55110040483402,70.55110040483402,86.50878626788017,86.11765559851757,86.11765559851757,73.61948678444523,73.61948678444523,100.0,69.56771127565096,63.8584747124991,93.45580008996312,62.052103792799485,90.74510373234504,69.92158713012141,69.92158713012141,69.92158713012141,87.54021458143603,57.905480070001445,59.06604264065884,81.4902074646901
commondreams,57.905480070001445,69.92158713012141,74.13177852601804,58.80531416156176,58.80531416156176,74.13177852601804,69.92158713012141,57.905480070001445,69.92158713012141,69.56771127565096,86.50878626788017,73.61948678444523,72.13907281903028,100.0,100.0,84.47906711561083,88.43137966543131,88.43137966543131,74.44408238678304,72.13907281903028,100.0,70.55110040483402,86.11765559851757,73.61948678444523,100.0,100.0,80.23153290665772,74.44408238678304,78.54340569959523,72.0431657292691,70.36987469682589,74.44408238678304,74.44408238678304,72.13907281903028,70.46034857307923,80.23153290665772,87.54021458143603,72.13907281903028,72.13907281903028,70.55110040483402,86.11765559851757,73.61948678444523,100.0,100.0,67.44301651799513,64.30560358039135,70.55110040483402,70.55110040483402,86.50878626788017,86.11765559851757,86.11765559851757,73.61948678444523,73.61948678444523,100.0,69.56771127565096,63.8584747124991
conversation,59.06604264065884,74.13177852601804,58.80531416156176,76.40455166747519,76.40455166747519,58.80531416156176,74.13177852601804,59.06604264065884,69.92158713012141,63.8584747124991,86.11765559851757,100.0,70.46034857307923,100.0,84.47906711561083,100.0,76.86275933086262,72.0431657292691,81.4902074646901,81.4902074646901,88.43137966543131,72.91855412056492,79.30542282081444,88.43137966543131,68.36029924585942,97.68627593308626,84.47906711561083,88.43137966543131,88.43137966543131,74.44408238678304,72.13907281903028,100.0,70.55110040483402,86.11765559851757,73.61948678444523,100.0,100.0,80.23153290665772,74.44408238678304,78.54340569959523,72.0431657292691,70.36987469682589,74.44408238678304,74.44408238678304,72.13907281903028,70.46034857307923,80.23153290665772,87.54021458143603,72.13907281903028,72.13907281903028,70.55110040483402,86.11765559851757,73.61948678444523,100.0,100.0,67.44301651799513
counterpunch,81.4902074646901,74.13177852601804,76.40455166747519,100.0,100.0,76.40455166747519,74.13177852601804,81.4902074646901,69.92158713012141,93.45580008996312,86.11765559851757,100.0,80.23153290665772,80.23153290665772,88.43137966543131,76.86275933086262,100.0,70.55110040483402,86.11765559851757,73.61948678444523,100.0,100.0,78.17237080795053,81.4902074646901,92.68336207140476,79.17648339777637,81.4902074646901,79.04833747071848,76.86275933086262,72.0431657292691,81.4902074646901,81.4902074646901,88.43137966543131,72.91855412056492,79.30542282081444,88.43137966543131,68.36029924585942,97.68627593308626,84.47906711561083,88.43137966543131,88.43137966543131,74.44408238678304,72.13907281903028,100.0,70.55110040483402,86.11765559851757,73.61948678444523,100.0,100.0,80.23153290665772,74.44408238678304,78.54340569959523,72.0431657292691,70.36987469682589,74.44408238678304,74.44408238678304
dailycaller,69.92158713012141,58.80531416156176,100.0,69.92158713012141,69.92158713012141,100.0,58.80531416156176,69.92158713012141,87.54021458143603,62.052103792799485,73.61948678444523,67.44301651799513,87.54021458143603,74.44408238678304,88.43137966543131,72.0431657292691,70.55110040483402,100.0,97.68627593308626,70.46034857307923,88.43137966543131,75.84401156437751,97.68627593308626,97.68627593308626,81.4902074646901,88.43137966543131,100.0,74.44408238678304,72.13907281903028,100.0,70.55110040483402,86.11765559851757,73.61948678444523,100.0,100.0,78.17237080795053,81.4902074646901,92.68336207140476,79.17648339777637,81.4902074646901,79.04833747071848,76.86275933086262,72.0431657292691,81.4902074646901,81.4902074646901,88.43137966543131,72.91855412056492,79.30542282081444,88.43137966543131,68.36029924585942,97.68627593308626,84.47906711561083,88.43137966543131,88.43137966543131,74.44408238678304,72.13907281903028
dailykos,74.13177852601804,76.40455166747519,69.92158713012141,62.052103792799485,62.052103792799485,69.92158713012141,76.40455166747519,74.13177852601804,57.905480070001445,90.74510373234504,73.61948678444523,64.30560358039135,72.13907281903028,78.54340569959523,74.44408238678304,81.4902074646901,86.11765559851757,97.68627593308626,100.0,76.86275933086262,93.0588277992588,69.74413182725523,93.0588277992588,80.23153290665772,93.0588277992588,93.0588277992588,97.68627593308626,81.34616021409988,90.74510373234504,97.68627593308626,74.5490352639489,73.82320035985246,97.68627593308626,70.46034857307923,88.43137966543131,75.84401156437751,97.68627593308626,97.68627593308626,81.4902074646901,88.43137966543131,100.0,74.44408238678304,72.13907281903028,100.0,70.55110040483402,86.11765559851757,73.61948678444523,100.0,100.0,78.17237080795053,81.4902074646901,92.68336207140476,79.17648339777637,81.4902074646901,79.04833747071848,76.86275933086262
dailymail,74.13177852601804,100.0,62.052103792799485,69.92158713012141,69.92158713012141,62.052103792799485,100.0,74.13177852601804,59.06604264065884,69.92158713012141,100.0,70.55110040483402,72.13907281903028,72.0431657292691,72.13907281903028,81.4902074646901,73.61948678444523,70.46034857307923,76.86275933086262,100.0,74.44408238678304,72.13907281903028,100.0,70.55110040483402,86.11765559851757,73.61948678444523,100.0,100.0,95.37255186617253,93.0588277992588,80.23153290665772,95.37255186617253,93.0588277992588,74.13177852601804,76.86275933086262,93.0588277992588,69.74413182725523,93.0588277992588,80.23153290665772,93.0588277992588,93.0588277992588,97.68627593308626,81.34616021409988,90.74510373234504,97.68627593308626,74.5490352639489,73.82320035985246,97.68627593308626,70.46034857307923,88.43137966543131,75.84401156437751,97.68627593308626,97.68627593308626,81.4902074646901,88.43137966543131,100.0
