,aljazeera,alternet,americanconservative,americanspectator,americanthinker,antiwar,ap,atlantic,axios,bbc,bloomberg,breitbart,businessinsider,buzzfeed,canary,cbs,cnbc,cnn,commondreams,consortium,conversation,counterpunch,dailycaller,dailykos,dailymail,dailywire,economist,eff,factcheck,federalist,fivethirtyeight,foreignaffairs,fox,globalresearch,guardian,huffingtonpost,infowars,intercept,jacobinmag,koreaherald,lewrockwell,mintpress,motherjones,msnbc,nationalreview,nbc,neweasternoutlook,newsbud,newyorker,npr,nypost,nytimes,observerny,offguardian,opednews,pbs,peoplesdaily,pjmedia,psychologytoday,rawstory,redstate,reuters,reveal,rt,shadowproof,slate,snopes,socialistalternative,socialistproject,spectator,strategicculture,techcrunch,time,townhall,truthdig,usatoday,verge,veteranstoday,vice,voltairenetwork,vox,wapo,wsj
bloomberg,67.27900044981558,100.0,67.27900044981558,63.784489936425274,63.784489936425274,67.27900044981558,100.0,67.27900044981558,96.72790004498155,55.917635975515644,100.0,90.18370013494467,72.0431657292691,61.422510474723666,78.92097056791478,74.5490352639489,55.917635975515644,68.78615581953284,63.5634369576612,64.00690049479714,65.52628782920067,96.72790004498155,62.90818152397119,65.52628782920067,93.0588277992588,67.27900044981558,64.00690049479714,97.68627593308626,100.0,65.52628782920067,67.27900044981558,63.784489936425274,55.79636376831898,65.60401895893501,65.52628782920067,96.72790004498155,65.52628782920067,100.0,76.40455166747519,100.0,65.52628782920067,65.52628782920067,65.52628782920067,95.9925123614105,71.00912053632923,65.52628782920067,59.85838772043941,88.2022758337376,100.0,57.21174088873189,96.72790004498155,62.193437230596714,100.0,64.00690049479714,65.52628782920067,65.52628782920067,88.2022758337376,65.52628782920067,95.9925123614105,65.52628782920067,95.37255186617253,65.52628782920067,62.90818152397119,64.00690049479714,65.52628782920067,100.0,68.44501077874139,63.784489936425274,65.52628782920067,65.52628782920067,65.52628782920067,57.21174088873189,65.60401895893501,70.36987469682589,65.52628782920067,100.0,71.9475865298736,63.5634369576612,65.52628782920067,72.0431657292691,95.9925123614105,63.93261125269463,74.33955877013513
breitbart,64.00690049479714,65.52628782920067,63.784489936425274,55.79636376831898,55.79636376831898,63.784489936425274,65.52628782920067,64.00690049479714,62.90818152397119,68.78615581953284,90.18370013494467,100.0,68.87202625507615,62.26430245273031,74.13177852601804,74.33955877013513,72.13907281903028,88.43137966543131,90.18370013494467,72.0431657292691,61.422510474723666,78.92097056791478,74.5490352639489,55.917635975515644,68.78615581953284,63.5634369576612,64.00690049479714,65.52628782920067,96.72790004498155,62.90818152397119,65.52628782920067,93.0588277992588,67.27900044981558,64.00690049479714,97.68627593308626,100.0,65.52628782920067,67.27900044981558,63.784489936425274,55.79636376831898,65.60401895893501,65.52628782920067,96.72790004498155,65.52628782920067,100.0,76.40455166747519,100.0,65.52628782920067,65.52628782920067,65.52628782920067,95.9925123614105,71.00912053632923,65.52628782920067,59.85838772043941,88.2022758337376,100.0,57.21174088873189,96.72790004498155,62.193437230596714,100.0,64.00690049479714,65.52628782920067,65.52628782920067,88.2022758337376,65.52628782920067,95.9925123614105,65.52628782920067,95.37255186617253,65.52628782920067,62.90818152397119,64.00690049479714,65.52628782920067,100.0,68.44501077874139,63.784489936425274,65.52628782920067,65.52628782920067,65.52628782920067,57.21174088873189,65.60401895893501,70.36987469682589,65.52628782920067,100.0
businessinsider,97.68627593308626,67.27900044981558,55.79636376831898,65.60401895893501,65.60401895893501,55.79636376831898,67.27900044981558,97.68627593308626,65.52628782920067,63.5634369576612,72.0431657292691,68.87202625507615,100.0,74.44408238678304,97.68627593308626,70.9169394469065,63.93261125269463,76.40455166747519,74.44408238678304,72.23531119703514,68.87202625507615,62.26430245273031,74.13177852601804,74.33955877013513,72.13907281903028,88.43137966543131,90.18370013494467,72.0431657292691,61.422510474723666,78.92097056791478,74.5490352639489,55.917635975515644,68.78615581953284,63.5634369576612,64.00690049479714,65.52628782920067,96.72790004498155,62.90818152397119,65.52628782920067,93.0588277992588,67.27900044981558,64.00690049479714,97.68627593308626,100.0,65.52628782920067,67.27900044981558,63.784489936425274,55.79636376831898,65.60401895893501,65.52628782920067,96.72790004498155,65.52628782920067,100.0,76.40455166747519,100.0,65.52628782920067,65.52628782920067,65.52628782920067,95.9925123614105,71.00912053632923,65.52628782920067,59.85838772043941,88.2022758337376,100.0,57.21174088873189,96.72790004498155,62.193437230596714,100.0,64.00690049479714,65.52628782920067,65.52628782920067,88.2022758337376,65.52628782920067,95.9925123614105,65.52628782920067,95.37255186617253,65.52628782920067,62.90818152397119,64.00690049479714,65.52628782920067,100.0,68.44501077874139,63.784489936425274
buzzfeed,100.0,63.784489936425274,65.60401895893501,65.52628782920067,65.52628782920067,65.60401895893501,63.784489936425274,100.0,93.0588277992588,64.00690049479714,61.422510474723666,62.26430245273031,74.44408238678304,100.0,69.92158713012141,71.9475865298736,96.72790004498155,95.9925123614105,69.8327289960014,62.33530100583307,75.73345726396644,72.23531119703514,74.44408238678304,97.68627593308626,70.9169394469065,63.93261125269463,76.40455166747519,74.44408238678304,72.23531119703514,68.87202625507615,62.26430245273031,74.13177852601804,74.33955877013513,72.13907281903028,88.43137966543131,90.18370013494467,72.0431657292691,61.422510474723666,78.92097056791478,74.5490352639489,55.917635975515644,68.78615581953284,63.5634369576612,64.00690049479714,65.52628782920067,96.72790004498155,62.90818152397119,65.52628782920067,93.0588277992588,67.27900044981558,64.00690049479714,97.68627593308626,100.0,65.52628782920067,67.27900044981558,63.784489936425274,55.79636376831898,65.60401895893501,65.52628782920067,96.72790004498155,65.52628782920067,100.0,76.40455166747519,100.0,65.52628782920067,65.52628782920067,65.52628782920067,95.9925123614105,71.00912053632923,65.52628782920067,59.85838772043941,88.2022758337376,100.0,57.21174088873189,96.72790004498155,62.193437230596714,100.0,64.00690049479714,65.52628782920067,65.52628782920067,88.2022758337376,65.52628782920067,95.9925123614105
canary,65.52628782920067,55.79636376831898,65.52628782920067,96.72790004498155,96.72790004498155,65.52628782920067,55.79636376831898,65.52628782920067,67.27900044981558,65.52628782920067,78.92097056791478,74.13177852601804,97.68627593308626,69.92158713012141,100.0,74.02851176222671,57.21174088873189,74.44408238678304,88.43137966543131,87.97753708423154,85.73724696291063,78.66851810318029,68.95813423122166,86.31182382406062,69.92158713012141,71.9475865298736,96.72790004498155,95.9925123614105,69.8327289960014,62.33530100583307,75.73345726396644,72.23531119703514,74.44408238678304,97.68627593308626,70.9169394469065,63.93261125269463,76.40455166747519,74.44408238678304,72.23531119703514,68.87202625507615,62.26430245273031,74.13177852601804,74.33955877013513,72.13907281903028,88.43137966543131,90.18370013494467,72.0431657292691,61.422510474723666,78.92097056791478,74.5490352639489,55.917635975515644,68.78615581953284,63.5634369576612,64.00690049479714,65.52628782920067,96.72790004498155,62.90818152397119,65.52628782920067,93.0588277992588,67.27900044981558,64.00690049479714,97.68627593308626,100.0,65.52628782920067,67.27900044981558,63.784489936425274,55.79636376831898,65.60401895893501,65.52628782920067,96.72790004498155,65.52628782920067,100.0,76.40455166747519,100.0,65.52628782920067,65.52628782920067,65.52628782920067,95.9925123614105,71.00912053632923,65.52628782920067,59.85838772043941,88.2022758337376,100.0
cbs,67.27900044981558,65.60401895893501,96.72790004498155,65.52628782920067,65.52628782920067,96.72790004498155,65.60401895893501,67.27900044981558,64.00690049479714,96.72790004498155,74.5490352639489,74.33955877013513,70.9169394469065,71.9475865298736,74.02851176222671,100.0,62.26430245273031,74.13177852601804,74.33955877013513,72.13907281903028,72.91855412056492,65.52628782920067,64.00690049479714,62.33530100583307,73.01757253576034,65.60401895893501,74.02851176222671,57.21174088873189,74.44408238678304,88.43137966543131,87.97753708423154,85.73724696291063,78.66851810318029,68.95813423122166,86.31182382406062,69.92158713012141,71.9475865298736,96.72790004498155,95.9925123614105,69.8327289960014,62.33530100583307,75.73345726396644,72.23531119703514,74.44408238678304,97.68627593308626,70.9169394469065,63.93261125269463,76.40455166747519,74.44408238678304,72.23531119703514,68.87202625507615,62.26430245273031,74.13177852601804,74.33955877013513,72.13907281903028,88.43137966543131,90.18370013494467,72.0431657292691,61.422510474723666,78.92097056791478,74.5490352639489,55.917635975515644,68.78615581953284,63.5634369576612,64.00690049479714,65.52628782920067,96.72790004498155,62.90818152397119,65.52628782920067,93.0588277992588,67.27900044981558,64.00690049479714,97.68627593308626,100.0,65.52628782920067,67.27900044981558,63.784489936425274,55.79636376831898,65.60401895893501,65.52628782920067,96.72790004498155,65.52628782920067,100.0
cnbc,63.784489936425274,65.52628782920067,65.52628782920067,100.0,100.0,65.52628782920067,65.52628782920067,63.784489936425274,97.68627593308626,62.90818152397119,55.917635975515644,72.13907281903028,63.93261125269463,96.72790004498155,57.21174088873189,62.26430245273031,100.0,90.74510373234504,97.68627593308626,81.2032168226623,74.44408238678304,57.21174088873189,62.33530100583307,85.73724696291063,95.9925123614105,97.68627593308626,100.0,68.87202625507615,62.26430245273031,74.13177852601804,74.33955877013513,72.13907281903028,72.91855412056492,65.52628782920067,64.00690049479714,62.33530100583307,73.01757253576034,65.60401895893501,74.02851176222671,57.21174088873189,74.44408238678304,88.43137966543131,87.97753708423154,85.73724696291063,78.66851810318029,68.95813423122166,86.31182382406062,69.92158713012141,71.9475865298736,96.72790004498155,95.9925123614105,69.8327289960014,62.33530100583307,75.73345726396644,72.23531119703514,74.44408238678304,97.68627593308626,70.9169394469065,63.93261125269463,76.40455166747519,74.44408238678304,72.23531119703514,68.87202625507615,62.26430245273031,74.13177852601804,74.33955877013513,72.13907281903028,88.43137966543131,90.18370013494467,72.0431657292691,61.422510474723666,78.92097056791478,74.5490352639489,55.917635975515644,68.78615581953284,63.5634369576612,64.00690049479714,65.52628782920067,96.72790004498155,62.90818152397119,65.52628782920067,93.0588277992588,67.27900044981558
cnn,55.79636376831898,96.72790004498155,100.0,76.40455166747519,76.40455166747519,100.0,96.72790004498155,55.79636376831898,100.0,65.52628782920067,68.78615581953284,88.43137966543131,76.40455166747519,95.9925123614105,74.44408238678304,74.13177852601804,90.74510373234504,100.0,95.9925123614105,69.8327289960014,62.33530100583307,75.73345726396644,72.23531119703514,74.44408238678304,63.784489936425274,67.27900044981558,71.00912053632923,64.00690049479714,65.52628782920067,63.784489936425274,90.74510373234504,97.68627593308626,81.2032168226623,74.44408238678304,57.21174088873189,62.33530100583307,85.73724696291063,95.9925123614105,97.68627593308626,100.0,68.87202625507615,62.26430245273031,74.13177852601804,74.33955877013513,72.13907281903028,72.91855412056492,65.52628782920067,64.00690049479714,62.33530100583307,73.01757253576034,65.60401895893501,74.02851176222671,57.21174088873189,74.44408238678304,88.43137966543131,87.97753708423154,85.73724696291063,78.66851810318029,68.95813423122166,86.31182382406062,69.92158713012141,71.9475865298736,96.72790004498155,95.9925123614105,69.8327289960014,62.33530100583307,75.73345726396644,72.23531119703514,74.44408238678304,97.68627593308626,70.9169394469065,63.93261125269463,76.40455166747519,74.44408238678304,72.23531119703514,68.87202625507615,62.26430245273031,74.13177852601804,74.33955877013513,72.13907281903028,88.43137966543131,90.18370013494467,72.0431657292691
commondreams,65.60401895893501,65.52628782920067,76.40455166747519,100.0,100.0,76.40455166747519,65.52628782920067,65.60401895893501,65.52628782920067,93.0588277992588,63.5634369576612,90.18370013494467,74.44408238678304,69.8327289960014,88.43137966543131,74.33955877013513,97.68627593308626,95.9925123614105,100.0,61.98163410126261,60.53082410507648,76.63253236019752,74.97324771840232,72.0431657292691,65.99533978278531,71.66278315232111,64.00690049479714,95.9925123614105,65.52628782920067,88.43137966543131,100.0,96.72790004498155,95.9925123614105,69.8327289960014,62.33530100583307,75.73345726396644,72.23531119703514,74.44408238678304,63.784489936425274,67.27900044981558,71.00912053632923,64.00690049479714,65.52628782920067,63.784489936425274,90.74510373234504,97.68627593308626,81.2032168226623,74.44408238678304,57.21174088873189,62.33530100583307,85.73724696291063,95.9925123614105,97.68627593308626,100.0,68.87202625507615,62.26430245273031,74.13177852601804,74.33955877013513,72.13907281903028,72.91855412056492,65.52628782920067,64.00690049479714,62.33530100583307,73.01757253576034,65.60401895893501,74.02851176222671,57.21174088873189,74.44408238678304,88.43137966543131,87.97753708423154,85.73724696291063,78.66851810318029,68.95813423122166,86.31182382406062,69.92158713012141,71.9475865298736,96.72790004498155,95.9925123614105,69.8327289960014,62.33530100583307,75.73345726396644,72.23531119703514,74.44408238678304
consortium,65.52628782920067,100.0,100.0,65.52628782920067,65.52628782920067,100.0,100.0,65.52628782920067,67.27900044981558,67.27900044981558,64.00690049479714,72.0431657292691,72.23531119703514,62.33530100583307,87.97753708423154,72.13907281903028,81.2032168226623,69.8327289960014,61.98163410126261,100.0,65.52628782920067,67.27900044981558,65.60401895893501,90.18370013494467,95.9925123614105,81.4902074646901,76.63253236019752,57.08681139919045,62.40643364532459,75.73345726396644,60.53082410507648,83.63950022490779,68.19155297838017,62.40643364532459,61.98163410126261,60.53082410507648,76.63253236019752,74.97324771840232,72.0431657292691,65.99533978278531,71.66278315232111,64.00690049479714,95.9925123614105,65.52628782920067,88.43137966543131,100.0,96.72790004498155,95.9925123614105,69.8327289960014,62.33530100583307,75.73345726396644,72.23531119703514,74.44408238678304,63.784489936425274,67.27900044981558,71.00912053632923,64.00690049479714,65.52628782920067,63.784489936425274,90.74510373234504,97.68627593308626,81.2032168226623,74.44408238678304,57.21174088873189,62.33530100583307,85.73724696291063,95.9925123614105,97.68627593308626,100.0,68.87202625507615,62.26430245273031,74.13177852601804,74.33955877013513,72.13907281903028,72.91855412056492,65.52628782920067,64.00690049479714,62.33530100583307,73.01757253576034,65.60401895893501,74.02851176222671,57.21174088873189,74.44408238678304
