,aljazeera,alternet,americanconservative,antiwar,ap,atlantic,axios,bbc,breitbart,businessinsider,buzzfeed,canary,cbs,cnbc,cnn,commondreams,consortium,conversation,counterpunch,dailycaller,dailykos,dailymail,economist,fox,globalresearch,guardian,huffingtonpost,infowars,intercept,lewrockwell,mintpress,motherjones,nationalreview,nbc,neweasternoutlook,npr,nypost,nytimes,pbs,pjmedia,rawstory,redstate,reuters,rt,slate,spectator,strategicculture,truthdig,usatoday,vice,vox,wapo,wsj
dailykos,29.706945646358307,96.72790004498155,43.184056886618926,60.59869892038341,60.59869892038341,43.184056886618926,96.72790004498155,29.706945646358307,19.950497114563127,70.64213276976082,57.71514969506818,88.43137966543131,57.71514969506818,62.33530100583307,88.2022758337376,52.07741789299122,57.77849782098372,69.92158713012141,51.798957780022256,95.37255186617253,100.0,67.19729994922696,88.2022758337376,78.17237080795053,62.33530100583307,85.9261659403279,70.55110040483402,69.74413182725523,55.43452714881531,96.72790004498155,69.92158713012141,79.69715371057988,86.50878626788017,70.9169394469065,42.11064234081777,67.19729994922696,95.37255186617253,89.39718432612673,58.288746197337225,93.0588277992588,83.31549847893488,61.214917104043046,66.87251282013307,86.50878626788017,81.2032168226623,79.17648339777637,95.9925123614105,55.55481204523883,55.254706084068175,71.380813850743,64.60682750121278,51.798957780022256,76.17875275875589
dailymail,96.72790004498155,85.18493734841294,60.59869892038341,49.098070527897775,49.098070527897775,60.59869892038341,85.18493734841294,96.72790004498155,92.68336207140476,76.63253236019752,64.60682750121278,54.13220749020478,59.06604264065884,62.62064374430807,65.99533978278531,41.37550993724744,100.0,72.81989643179065,76.17875275875589,89.39718432612673,67.19729994922696,100.0,47.442292346098505,64.08134338628993,86.50878626788017,76.74736090592295,58.93547147218183,87.54021458143603,70.55110040483402,74.5490352639489,58.288746197337225,95.37255186617253,84.30755988829243,78.92097056791478,91.65774923946745,96.72790004498155,81.4902074646901,45.149609750772925,67.19729994922696,88.2022758337376,78.17237080795053,62.33530100583307,85.9261659403279,70.55110040483402,69.74413182725523,55.43452714881531,96.72790004498155,69.92158713012141,79.69715371057988,86.50878626788017,70.9169394469065,42.11064234081777,67.19729994922696
economist,93.0588277992588,43.184056886618926,49.098070527897775,93.0588277992588,93.0588277992588,49.098070527897775,43.184056886618926,93.0588277992588,52.3575055175118,86.31182382406062,39.79869600962677,76.74736090592295,45.93603597989274,90.18370013494467,70.27967623763807,45.98556779424933,55.49462896018209,55.01606282399917,61.214917104043046,58.288746197337225,88.2022758337376,47.442292346098505,100.0,81.34616021409988,63.343716998149176,46.73407185974886,58.288746197337225,54.54253464702508,43.514796995511794,64.91063717737747,53.89937456006816,91.34283725407558,55.49462896018209,64.53128168954052,94.33255663046423,83.63950022490779,83.80393153160384,90.460271283581,95.37255186617253,85.73724696291063,47.442292346098505,64.08134338628993,86.50878626788017,76.74736090592295,58.93547147218183,87.54021458143603,70.55110040483402,74.5490352639489,58.288746197337225,95.37255186617253,84.30755988829243,78.92097056791478,91.65774923946745
fox,96.72790004498155,60.59869892038341,93.0588277992588,90.18370013494467,90.18370013494467,93.0588277992588,60.59869892038341,96.72790004498155,85.73724696291063,73.51821764733582,79.17648339777637,72.0431657292691,39.39986077852898,64.60682750121278,48.574912595494524,51.301741893447364,58.0328465342071,89.39718432612673,90.74510373234504,93.0588277992588,78.17237080795053,64.08134338628993,81.34616021409988,100.0,76.86275933086262,94.33255663046423,56.344741615901064,53.66771166687151,69.13107076215275,62.62064374430807,50.430115518215366,74.13177852601804,59.5263588036405,93.0588277992588,55.31456603583993,76.86275933086262,69.0444817302466,64.08134338628993,58.0328465342071,84.30755988829243,67.77355282975994,64.53128168954052,81.34616021409988,63.343716998149176,46.73407185974886,58.288746197337225,54.54253464702508,43.514796995511794,64.91063717737747,53.89937456006816,91.34283725407558,55.49462896018209,64.53128168954052
globalresearch,85.18493734841294,49.098070527897775,90.18370013494467,64.53128168954052,64.53128168954052,90.18370013494467,49.098070527897775,85.18493734841294,29.706945646358307,100.0,72.91855412056492,52.3575055175118,59.99197082725847,86.11765559851757,49.839657525357275,47.18826617955006,72.81989643179065,81.2032168226623,56.10017242842855,83.31549847893488,62.33530100583307,86.50878626788017,63.343716998149176,76.86275933086262,100.0,43.70466376131162,46.58353196049138,42.71488341252054,39.79869600962677,41.83387889381298,52.30135641790498,59.394307421159766,30.974975831542785,58.09667494143695,68.52995033852136,41.01137916868797,88.2022758337376,46.58353196049138,86.31182382406062,81.4902074646901,76.63253236019752,67.77355282975994,97.68627593308626,79.17648339777637,76.86275933086262,94.33255663046423,56.344741615901064,53.66771166687151,69.13107076215275,62.62064374430807,50.430115518215366,74.13177852601804,59.5263588036405
guardian,43.184056886618926,93.0588277992588,64.53128168954052,74.65442273417506,74.65442273417506,64.53128168954052,93.0588277992588,43.184056886618926,96.72790004498155,19.950497114563127,92.68336207140476,69.92158713012141,81.92923735624956,90.460271283581,65.60401895893501,47.54424725811911,65.91671618599466,44.470622394070304,79.17648339777637,61.214917104043046,85.9261659403279,76.74736090592295,46.73407185974886,94.33255663046423,43.70466376131162,100.0,86.11765559851757,68.44501077874139,65.29413899629394,83.47670517273845,58.5462255330243,44.954758727717724,57.77849782098372,52.245273337296226,42.668177235509695,63.4168103570238,50.32223751362079,95.37255186617253,49.94649543680466,65.29413899629394,43.65713708654133,44.7605950162836,46.78434646098404,44.23013024409141,56.77606737954388,44.37430076468648,43.70466376131162,46.58353196049138,42.71488341252054,39.79869600962677,41.83387889381298,52.30135641790498,59.394307421159766
huffingtonpost,60.59869892038341,90.18370013494467,74.65442273417506,86.11765559851757,86.11765559851757,74.65442273417506,90.18370013494467,60.59869892038341,93.0588277992588,92.68336207140476,70.64213276976082,57.77849782098372,67.77355282975994,56.46754146080411,86.7086671508113,58.0328465342071,55.07560479208904,65.60401895893501,89.39718432612673,66.87251282013307,70.55110040483402,58.93547147218183,58.288746197337225,56.344741615901064,46.58353196049138,86.11765559851757,100.0,69.74413182725523,48.574912595494524,53.37975185101185,57.27434261810353,48.00551832937459,37.70107290718011,54.07388859505473,65.14023198407372,73.61948678444523,42.481731791280495,68.44501077874139,82.22794822168429,42.668177235509695,83.63950022490779,57.27434261810353,38.87212826905013,88.43137966543131,92.68336207140476,69.92158713012141,65.14023198407372,56.77606737954388,86.11765559851757,68.44501077874139,65.29413899629394,83.47670517273845,58.5462255330243
infowars,49.098070527897775,64.53128168954052,86.11765559851757,56.77606737954388,56.77606737954388,86.11765559851757,64.53128168954052,49.098070527897775,96.72790004498155,52.3575055175118,76.63253236019752,57.71514969506818,69.13107076215275,68.44501077874139,59.59254632331019,46.985921630633634,76.74736090592295,90.18370013494467,84.47906711561083,86.50878626788017,69.74413182725523,87.54021458143603,54.54253464702508,53.66771166687151,42.71488341252054,68.44501077874139,69.74413182725523,100.0,56.77606737954388,70.64213276976082,49.626661482439836,56.10017242842855,58.5462255330243,49.467503618184885,42.156898327156554,60.19318599644665,66.23230894309214,76.86275933086262,48.574912595494524,69.30498160652793,85.9261659403279,43.609650467986874,81.2032168226623,58.5462255330243,39.39986077852898,81.7817184788306,47.18826617955006,43.99067070674667,56.03924272863898,55.07560479208904,69.74413182725523,48.574912595494524,53.37975185101185
intercept,93.0588277992588,74.65442273417506,56.77606737954388,55.07560479208904,55.07560479208904,56.77606737954388,74.65442273417506,93.0588277992588,85.18493734841294,85.73724696291063,86.31182382406062,64.60682750121278,88.43137966543131,79.17648339777637,91.65774923946745,44.470622394070304,61.701051948629946,79.17648339777637,52.5263512742019,81.2032168226623,55.43452714881531,70.55110040483402,43.514796995511794,69.13107076215275,39.79869600962677,65.29413899629394,48.574912595494524,56.77606737954388,100.0,90.18370013494467,86.11765559851757,74.86652334390904,92.32624540163198,88.43137966543131,85.73724696291063,95.37255186617253,53.37975185101185,60.93984214730417,77.09530031487091,69.56771127565096,57.52567219503126,80.23153290665772,64.60682750121278,83.47670517273845,55.43452714881531,85.73724696291063,92.68336207140476,40.28977899466999,78.2953443453301,48.21184645147368,44.954758727717724,57.27434261810353,56.77606737954388
lewrockwell,90.18370013494467,86.11765559851757,55.07560479208904,65.14023198407372,65.14023198407372,55.07560479208904,86.11765559851757,90.18370013494467,43.184056886618926,29.706945646358307,73.51821764733582,39.79869600962677,54.13220749020478,57.71514969506818,79.30542282081444,67.52533519203436,87.97753708423154,59.99197082725847,71.47449392582126,79.17648339777637,96.72790004498155,74.5490352639489,64.91063717737747,62.62064374430807,41.83387889381298,83.47670517273845,53.37975185101185,70.64213276976082,90.18370013494467,100.0,87.54021458143603,79.04833747071848,74.65442273417506,68.78615581953284,89.91471060908508,79.17648339777637,74.86652334390904,88.66511326092844,64.91063717737747,58.80531416156176,69.13107076215275,66.23230894309214,54.837907920161214,75.40477579827355,64.60682750121278,87.97753708423154,61.07713662431957,74.86652334390904,51.85452095955154,50.32223751362079,78.92097056791478,43.65713708654133,90.18370013494467
